"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","phylum","order","typeStatus","continentOcean","preparationType","infraspecificEpithet","class","relatedCatalogItem","individualCount","fieldNumber"
"1","2021-04-05 14:25:19-03","UNESC","CRI","9386","PreservedSpecimen","Plantae","Fabaceae","Schizolobium","parahyba","Schizolobium parahyba","(Vell.) Blake","M. Verdi","2009","11","07","M. Verdi; A.L. Tomazi & G. Klemz","3072","2009","11","07","Brasil","Santa Catarina","Nova Veneza","São Bonifácio.","-49.588611","-28.708056","49º35'19''W","28º42'29''S","124","124","Floresta Ombrófila Densa Habito: árvore","CRI003206","CRI003206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:19-03","UNESC","CRI","13675","PreservedSpecimen","Plantae","Fabaceae","Schizolobium","parahyba","Schizolobium parahyba","(Vell.) Blake","Rodrigo Camargo","2017","10","10","Alexandre Medeiros",NA,"2017","10","10","Brasil","Santa Catarina","Balneário Camboriú","Barra","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"Coleta 629 Habitat: Terrestre Habito: Arbóreo","CRI012282",NA,"8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4630","PreservedSpecimen","Plantae","Fabaceae","Schizolobium","excelsum","Schizolobium excelsum","Vogel",NA,NA,NA,NA,"L. Riedel","1125","1832","10",NA,"Brazil",NA,NA,"Corcovado","-43.212076","-22.951842",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=638049' target='other'> <mi>dwc_moreinfo</mi></a>","NY00004630","NY00004630_01",NA,NA,"Magnoliophyta","Fabales","type","South America","sheet",NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1135831","PreservedSpecimen","Plantae","Fabaceae","Schizolobium","parahyba","Schizolobium parahyba amazonicum","(Huber ex Ducke) Barneby",NA,NA,NA,NA,"W. A. Ducke","12137",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1371980' target='other'> <mi>dwc_moreinfo</mi></a>","NY01135831","NY01135831_01",NA,NA,"Magnoliophyta","Fabales",NA,"South America","sheet","amazonicum",NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1135820","PreservedSpecimen","Plantae","Fabaceae","Schizolobium","parahyba","Schizolobium parahyba amazonicum","(Huber ex Ducke) Barneby",NA,NA,NA,NA,"B. Maguire","56744","1963","09","21","Brazil","Rondônia",NA,"70-150 km along highway east of Porto Velho","-63.1854147","-9.1957093",NA,NA,"70","170","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1371974' target='other'> <mi>dwc_moreinfo</mi></a>","NY01135820","NY01135820_01",NA,NA,"Magnoliophyta","Fabales",NA,"South America","sheet","amazonicum",NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1135829","PreservedSpecimen","Plantae","Fabaceae","Schizolobium","parahyba","Schizolobium parahyba amazonicum","(Huber ex Ducke) Barneby",NA,NA,NA,NA,"W. A. Archer","7538",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1371999' target='other'> <mi>dwc_moreinfo</mi></a>","NY01135829","NY01135829_01",NA,NA,"Magnoliophyta","Fabales",NA,"South America","sheet","amazonicum",NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","582442","PreservedSpecimen","Plantae","Fabaceae","Schizolobium","parahyba","Schizolobium parahyba parahyba","(Vell.) S.F.Blake",NA,NA,NA,NA,"R. Reitz","1822","1947","08","22","Brazil","Santa Catarina","Brusque",NA,"-48.9172","-27.0983",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227278' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582442","NY00582442_01",NA,NA,"Magnoliophyta","Fabales",NA,"South America","sheet","parahyba",NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","582443","PreservedSpecimen","Plantae","Fabaceae","Schizolobium","parahyba","Schizolobium parahyba parahyba","(Vell.) S.F.Blake",NA,NA,NA,NA,"R. Reitz","3579","1948","11","22","Brazil","Santa Catarina","Brusque",NA,"-48.9172","-27.0983",NA,NA,"35","35","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227275' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582443","NY00582443_01",NA,NA,"Magnoliophyta","Fabales",NA,"South America","sheet","parahyba",NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","582436","PreservedSpecimen","Plantae","Fabaceae","Schizolobium","parahyba","Schizolobium parahyba","(Vell.) S.F.Blake",NA,NA,NA,NA,"I. Silberbauer-Gottsberger","785","1970","11","07","Brazil","São Paulo","Botucatu","Along the Highway Marechal-Rondon, 15 km North of Botacatu","-48.4397","-22.88",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171393' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582436","NY00582436_01",NA,NA,"Magnoliophyta","Fabales",NA,"South America","sheet",NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","582429","PreservedSpecimen","Plantae","Fabaceae","Schizolobium","parahyba","Schizolobium parahyba parahyba","(Vell.) S.F.Blake",NA,NA,NA,NA,"T. S. dos Santos","2201","1971","11","22","Brazil","Bahia","Uruçuca","Rod. Uruçuca a Taboquinha","-39.2842","-14.5933",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227272' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582429","NY00582429_01",NA,NA,"Magnoliophyta","Fabales",NA,"South America","sheet","parahyba",NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1135826","PreservedSpecimen","Plantae","Fabaceae","Schizolobium","parahyba","Schizolobium parahyba amazonicum","(Huber ex Ducke) Barneby",NA,NA,NA,NA,"J. M. Pires","75",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"[Collector has used this collection number more than once.] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1371973' target='other'> <mi>dwc_moreinfo</mi></a>","NY01135826","NY01135826_01",NA,NA,"Magnoliophyta","Fabales",NA,"South America","sheet","amazonicum",NA,NA,NA,NA
