"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","barcode","imagecode","phylum","identifiedBy","recordNumber","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","fieldNumber","preparationType","class","order","infraspecificEpithet","typeStatus","sex"
"1","2021-01-14 15:25:45-03","MN","R","126444","PreservedSpecimen","Plantae","Bromeliaceae","Ananas","fritzmuelleri","Ananas fritzmuelleri","Camargo","Smith, L.B. 15393; McWilliams, E.L.","1968","02","05","Brasil","São Paulo","R010004467","R010004467",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-20 09:59:09-03","UNICAMP","UEC","66453","S","Plantae","Bromeliaceae","Ananas","fritzmuelleri","Ananas fritzmuelleri","Camargo","Galli, O","1940","11","19","Brazil","São Paulo","UEC098593","UEC098593","Liliopsida","Camargo, FC","s.n.","São Paulo","Aldeinha, Paiol do Meio","-46.6300010681152","-23.5400009155273","53584","ORI, Herbáceo. 4 folhas no herbário.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-20 09:59:09-03","UNICAMP","UEC","66456","S","Plantae","Bromeliaceae","Ananas","fritzmuelleri","Ananas fritzmuelleri","Camargo","Galli, O","1940","11","19","Brazil","São Paulo","UEC098596","UEC098596","Liliopsida","Camargo, FC","s.n.","São Paulo","Circuito Itapecirica","-46.6300010681152","-23.5400009155273","53584","ORI, Herbáceo. 6 folhas no herbário.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-10-14 10:00:04-03","FURB","FURB","15479","PreservedSpecimen","Plantae","Bromeliaceae","Ananas","fritzmuelleri","Ananas fritzmuelleri","Camargo","Stival-Santos, A.; Legal, E. & Silveira, S.","2009","10","28","Brasil","Santa Catarina","FURB01120","FURB01120 FURB01120_1",NA,"Stival-Santos, A","1112","Guabiruba","Aymoré.","-49.0494444","-27.09",NA,"Florística IFFSC 579 (Erva Terrícola) Habitat: Floresta Ombrófila Densa Submontana; Estágio Avançado; beira da estrada Habito: erva terrícola; flor rosa",NA,"2009","11","17","-49.0494444","-27.0900000","256","256",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:19:20-03","MBM","MBM","151231","PreservedSpecimen","Plantae","Bromeliaceae","Ananas","fritzmuelleri","Ananas fritzmuelleri","Camargo","Silva, J.M.; Hatschbach, G.; Hatschbach, G.","1992","03","31","Brazil","Paraná","MBM151231","MBM151231",NA,"Schinini, A.","1082","Antonina","Mangue Maior Santo","-48.7118988037109","-25.4286003112793","38300","Terrícola.","auto",NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:19:20-03","MBM","MBM","156980","PreservedSpecimen","Plantae","Bromeliaceae","Ananas","fritzmuelleri","Ananas fritzmuelleri","Camargo","Hatschbach, G.; Barboza, E.; Barboza, E.","1993","03","04","Brazil","Paraná","MBM156980","MBM156980",NA,"Hatschbach, G.","59075","Paranaguá","Rio das Pedras","-48.5092010498047","-25.5200004577637","24916","Terrícola.","auto",NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"7","2015-09-03 21:41:58-03","MNHN","RECOLNAT_MNHN_P","P01764121","PreservedSpecimen",NA,"Bromeliaceae","Ananas","fritzmuelleri","Ananas fritzmuelleri","Camargo","Lourteig, A.","1967","11","23","Brasil","Santa Catarina","P01764121","P01764121_01",NA,NA,NA,"Ilhota","Camino entre Gaspar y Morro do Bau. Ilhota, Santa Catarina, Sul, Brasil, América do Sul","-48.93","-26.837",NA,". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01764121' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2376","hb",NA,NA,NA,NA,NA
"8","2015-09-03 21:41:58-03","MNHN","RECOLNAT_MNHN_P","P01764122","PreservedSpecimen",NA,"Bromeliaceae","Ananas","fritzmuelleri","Ananas fritzmuelleri","Camargo","Lourteig, A.","1967","12","23","Brasil","Santa Catarina","P01764122","P01764122_01",NA,NA,NA,"Ilhota","Camino entre Gaspar y Morro do Baú. Ilhota, Santa Catarina, Sul, Brasil, América do Sul","-48.89753","-26.83041",NA,". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01764122' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2376","hb",NA,NA,NA,NA,NA
"9","2011-04-09 06:31:00-03","MO","MOBOT","2452154","PreservedSpecimen","Plantae","Bromeliaceae","Ananas","fritzmuelleri","Ananas fritzmuelleri","Camargo","Alicia Lourteig","1967","12","23","Brazil","Santa Catarina",NA,NA,NA,NA,"Lourteig 2376",NA,"Ilhota. Gaspar to Morro do Baú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
"10","2008-05-27 22:02:00-03","MO","MOBOT","2875228","PreservedSpecimen","Plantae","Bromeliaceae","Ananas","fritzmuelleri","Ananas fritzmuelleri","Camargo","J.M. Silva","1992","3","31","Brazil","Paraná",NA,NA,NA,"A. Schinini","Silva 1082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.00000000",NA,"South America",NA,NA,NA,NA,NA,NA,NA
