"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount","class","monthIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","1104879","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Ditassa","lourteigiae","Ditassa lourteigiae","Fontella","isotype","H. S. Irwin","25458","1970","01","28","South America","Brazil","Minas Gerais","Morro das Pedras: ca. 25 km. N.E. of Patronício","1050","1050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1298096' target='other'> <mi>dwc_moreinfo</mi></a>","NY01104879","NY01104879_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 10:59:57-03","ESALQ","ESA","48139","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Apocynaceae","Minaria","lourteigiae","Minaria lourteigiae","(Fontella) T.U.P. Konno & Rapini",NA,"Souza, V.C.; Souza, J.P.; Duarte, A.R.; Mazine, F.F.","14174.0","1997","03","15",NA,"Brasil","Mato Grosso","Estrada São Félix do Araguaia. - Alto Boa Vista, ca. 13Km após o entroncamento para Luciara. 140 m.s.m. Savana parque com solo alagável. Campo.",NA,NA,NA,"Erva; flores alvas.","ESA048139",NA,"Rapini, A.","2009","São Félix do Araguaia","-510.456","-113.602","-510,456","-113,602",NA,NA,NA,NA,NA
"3","2020-12-21 16:12:28-03","MBM","MBM","188709","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","lourteigiae","Ditassa lourteigiae","Fontella",NA,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","64335","1996","01","16","Southern America","Brazil","Minas Gerais","Serra do Cabral",NA,NA,NA,NA,"MBM188709",NA,"Rapini, A.",NA,"Joaquim Felício","-44.1721992492676","-17.7574996948242",NA,NA,"37503","auto",NA,NA,NA
"4","2018-10-15 10:12:00-03","MO","MOBOT","1275912","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Minaria","lourteigiae","Minaria lourteigiae","(Fontella) T.U.P. Konno & Rapini","Isotype","Howard S. Irwin|et al.","Irwin 25458","1970","1","28","South America","Brazil","Minas Gerais","Morro das Pedras, ca 25 km NE of Patrocinio","1050.00000000",NA,NA,NA,NA,NA,"C. Bitencourt",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"5","2020-09-12 05:00:02-03","US","US","2752771","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Ditassa","lourteigiae","Ditassa lourteigiae","Fontella","Isotype","H. S. Irwin, E. Onishi, S. F. Fonsêca, R. Souza, R. G. P. Santos & J. F. Ramos","25458","1970","1","28","South America - Neotropics","Brazil","Minas Gerais","Morro das Pedras, NE of Patrocinio.","1050","1050",NA,NA,"US00610772","US00610772_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"6","2021-03-15 18:24:36-03","USP","SPF","97727","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","lourteigiae","Ditassa lourteigiae","Fontella",NA,"Sakuragui, CM","CFCR15271","1994","03","20",NA,"Brasil","Minas Gerais","Serra do Cabral, 12 km da cidade em direção à Fazenda Serra do Cabral. Campo rupestre com campo arenoso alagável adjacente.","1000","1000",NA,"Subarbusto, até 40 cm de alt., corola creme.","SPF00097727",NA,"Rapini, A","2008","Augusto de Lima","-44.328056","-18.011111","-44.328056","-18.011111",NA,NA,NA,NA,NA
"7","2019-11-13 11:15:13-03","USP","SPF","127314","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Minaria","lourteigiae","Minaria lourteigiae","(Fontella) T.U.P.Konno & Rapini",NA,"Forzza, RC","588","1998","01","11",NA,"Brasil","Minas Gerais","Serra do Cabral","1080","1080",NA,"Erva em solo arenoso. Flores creme.","SPF00127314",NA,"Rapini, A","2008","Joaquim Felício","-44.316667","-17.701111","-44.316667","-17.701111",NA,NA,NA,NA,NA
"8","2019-10-07 09:13:37-03","UEFS","HUEFS","119698","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Minaria","lourteigiae","Minaria lourteigiae","(Fontella) T.U.P.Konno & Rapini",NA,"Ribeiro, P.L.","197","2007","02","07",NA,"Brasil","Minas Gerais","Serra do Cabral 4 Km da porteira SCAL (indústria madeireira).","1170","1170",NA,"Campo rupestre, solo arenoso.","HUEFS0119698","HUEFS0119698",NA,NA,"Joaquim Felício","-44.316111","-17.703056","44W18'58''","17S42'11''",NA,NA,NA,"Asteranae",NA
"9","2019-10-07 09:13:37-03","UEFS","HUEFS","228874","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Minaria","lourteigiae","Minaria lourteigiae","(Fontella) T.U.P.Konno & Rapini",NA,"Costa, F.N.","1177","2009","12","11",NA,"Brasil","Minas Gerais","Parque Estadual da Serra do Cabral.","1070","1070",NA,"Campo rupestre próximo a vereda.","HUEFS0228874","HUEFS0228874",NA,NA,"Buenópolis","-44.253333","-17.912222","44W15'12''","17S54'44''",NA,NA,NA,"Asteranae",NA
"10","2019-10-07 09:13:37-03","UEFS","HUEFS","228875","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Minaria","lourteigiae","Minaria lourteigiae","(Fontella) T.U.P.Konno & Rapini",NA,"Costa, F.N.","1400","2011","05","12",NA,"Brasil","Minas Gerais","Extremo norte do PARNA Sempre Vivas.",NA,NA,NA,"Campo rupestre.","HUEFS0228875","HUEFS0228875","A.Rapini","2019","Olhos d' Água",NA,NA,NA,NA,NA,NA,NA,"Asteranae","04"
