"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","fieldNumber","class","individualCount","verbatimLongitude","verbatimLatitude","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","685228","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Diandrolyra","tatianae","Diandrolyra tatianae","Soderstr. & Zuloaga","E. J. Judziewicz","C. E. Calderón","2222","1972","04","16","South America","Brazil","Bahia","Ipiaú","Fazenda Boa União: ca. 20 km N of Ipiaú.","-39.67","-14.03","175","175","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=887544' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685228","NY00685228_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","685226","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Diandrolyra","tatianae","Diandrolyra tatianae","Soderstr. & Zuloaga","E. J. Judziewicz","T. R. Soderstrom","2630","1980","03","18","South America","Brazil","Rio de Janeiro","Nova Iguaçú","Reserva de Tingua or Reserva da CEDAE (Companhia Estadual de Aguas e Esgotas), Tingua.","-43.4508","-22.7594","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=887539' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685226","NY00685226_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","685222","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Diandrolyra","tatianae","Diandrolyra tatianae","Soderstr. & Zuloaga","E. J. Judziewicz","C. E. Calderón","2219","1972","04","11","South America","Brazil","Bahia","Canavieiras","Lagoa Dourada. 30 km SE of Camacã. Rd. Camacã - Canavieiras.","-39.25","-15.48","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=887521' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685222","NY00685222_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","685229","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Diandrolyra","tatianae","Diandrolyra tatianae","Soderstr. & Zuloaga","E. J. Judziewicz","C. E. Calderón","2160","1972","03","08","South America","Brazil","Bahia","Itabuna","Ferradas: Fazenda Aberta Grande, 15 km SW of Itabuna.","-39.33","-14.85","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=887546' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685229","NY00685229_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","685225","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Diandrolyra","tatianae","Diandrolyra tatianae","Soderstr. & Zuloaga","E. J. Judziewicz","T. R. Soderstrom","1920","1972","03","28","South America","Brazil","Rio de Janeiro",NA,"Guanabara. Realengo: Serra do Barata: Represa do Piraquara.","-43.43","-22.87","100","130","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=887537' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685225","NY00685225_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","685224","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Diandrolyra","tatianae","Diandrolyra tatianae","Soderstr. & Zuloaga","E. J. Judziewicz","C. E. Calderón","2164","1972","03","10","South America","Brazil","Bahia","Itabuna","Ferradas: Fazenda Aberta Grande, 14 km SW of Itabuna.","-39.33","-14.85","110","110","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=887535' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685224","NY00685224_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","685227","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Diandrolyra","tatianae","Diandrolyra tatianae","Soderstr. & Zuloaga","E. J. Judziewicz","T. R. Soderstrom","1935","1972","04","11","South America","Brazil","Rio de Janeiro",NA,"Parque Lage. Steep rocky slopes along stream running down mountain slope below Corcovado.","-43.211728","-22.95845","120","140","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=887542' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685227","NY00685227_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","180138","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Diandrolyra","tatianae","Diandrolyra tatianae","Soderstr. & Zuloaga",NA,"T. R. Soderstrom","1993","1972","05","16","South America","Brazil","São Paulo","Ubatuba","15 km. NE of Ubatuba near Praia do Lázaro","-44.92","-23.37","15","15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209900' target='other'> <mi>dwc_moreinfo</mi></a>","NY00180138","NY00180138_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","685223","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Diandrolyra","tatianae","Diandrolyra tatianae","Soderstr. & Zuloaga","E. J. Judziewicz","T. R. Soderstrom","2126","1976","04","06","South America","Brazil","Bahia","Camacan","Mun. Camacã: 12 km east of Camacã on road to Canavieiras. At edge of Rio Belém.","-39.4958000183105","-15.4191999435425","90","90","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=887523' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685223","NY00685223_01",NA,"22686","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:20:26-03","UNICAMP","UEC","175719","S","Plantae","Liliopsida",NA,"Poaceae","Diandrolyra","tatianae","Diandrolyra tatianae","Soderstr. & Zuloaga","Santos, AG","Santos, AG; Matsumoto, K","396","2002","02","17",NA,"Brazil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar, Núcleo Picinguaba. Trilha da casa da farinha.","-45.0699996948242","-23.4300003051758",NA,NA,NA,"Bambu ereta com ca. 50cm altura do solo; ocorrendo no interior da mata. inflorescências geralmente meio escondidas em meio às folhas, comum no local; vários indivíduos florescendo; crescendo junto a indivíduos de Olyra. 10-27 colmos po","UEC016888","UEC016888",NA,"34265","auto","2002","02",NA,NA,NA,NA,NA,NA
