"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","fieldNumber","typeStatus","individualCount"
"1","2020-09-23 10:41:17-03","E","E","197459","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","Tweedie, John","Temperate South America","AR","herbarium specimen of unspecif","BGBASE:203483","<a href=http://data.rbge.org.uk/herb/E00197459 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00197459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00909445","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","H. S. Irwin","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980815' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909445","Magnoliophyta","Malpighiales","(Hook. & Arn.) Nied.","26738","1970","03","02","Minas Gerais","Corinto","Ca. 13 km W of Corinto, near Minas Gerais","-44.5663","-18.352","600","600","NY00909445_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-24 17:10:47-03","UTFPR","DVPR","4316","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","Caxambu, MG; et al.",NA,"Brasil",NA,NA,"subarbusto escandente, semi-ciófilo. Flores amarelas.; Relevo: Suave-ondulado - Vegetação: Floresta Estacional Semidecidual Submontana","DVPR004316","Magnoliophyta",NA,"(Hook. & Arn.) Nied.","3442","2011","09","09","Paraná","Tuneiras do Oeste","Reserva Biológica das Perobas, estrada interna","-52.45531","-23.50042","532","532",NA,"Almeida, RF","2013","06","10","-52.45531","-23.50042",NA,NA,NA,NA,NA,NA
"4","2021-04-08 17:42:26-03","EAO","IAN","40211","PreservedSpecimen","Plantae","Malpighiaceae","Hiraea","bunchosioides","Hiraea bunchosioides","Saint-Hilaire","Southern America","Brasil",NA,NA,NA,"IAN040211","Dicotiledônea",NA,"A.Juss.","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-26 18:08:40-03","CPAN-UFMS","COR","15781","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","Francener, A.; V. Leobina & G.O. Silva",NA,"Brasil",NA,NA,"Folhas verdes membranáceas.; Com Fruto: Fruto imaturo verde e maduro amarelo.",NA,NA,NA,"(Hook. & Arn.) Nied.","1181","2012","10","22","Mato Grosso do Sul","Dourados","Rio Dourados em floresta Ciliar.","-54.8055992126465","-22.2210998535156","327","327",NA,"A. Francener",NA,NA,NA,NA,NA,"74744","auto",NA,NA,NA,NA
"6","2020-02-08 09:55:15-03","NBC","NL-BOTANY","L.3922830","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","Pedersen TM","Southern America","Paraguay",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3922830 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3922830",NA,"Malpighiales","(Hook. & Arn.) Nied.",NA,"1962","09","25",NA,NA,"Estancia,,La Soledad'. Santiago. Dep. Misiones.",NA,NA,NA,NA,"NL-L3922830",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"7","2020-02-08 09:55:15-03","NBC","NL-BOTANY","U.1368612","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","Steinbach J","Southern America","Bolivia",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1368612 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1368612",NA,"Malpighiales","(Hook. & Arn.) Nied.",NA,"1928","10","08",NA,NA,"Cerro Tres Cuces, Depart. Santa Cruz.",NA,NA,NA,NA,"NL-U1368612",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"8","2020-02-08 09:55:15-03","NBC","NL-BOTANY","U.1368613","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","Meyer T","Southern America","Argentina",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1368613 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1368613",NA,"Malpighiales","(Hook. & Arn.) Nied.",NA,"1944","02","20",NA,NA,"Bosadas.",NA,NA,NA,NA,"NL-U1368613",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"9","2019-08-27 13:30:01-03","IAP","PACA-AGP","41581","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","Rambo, B.",NA,"Brasil",NA,NA,"sem material Habitat: ad silvam primaevam scandens Fenofase: flor e fruto","PACA041581","Magnoliophyta","Geraniales","(Hook. & Arn.) Niedenzu",NA,"1949","05","16","RS","Novo Hamburgo","ad montem Ferrabraz","-51.1305999755859","-29.6783008575439",NA,NA,NA,"Emrich-Rambo","1954","08","21",NA,NA,"20722","auto","Magnoliatae",NA,NA,NA
"10","2019-08-27 13:30:01-03","IAP","PACA-AGP","39940","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","Rambo, B.",NA,"Brasil",NA,NA,"sem material Habitat: in silva primaeva scandens Fenofase: fruto","PACA039940","Magnoliophyta","Geraniales","(Hook. & Arn.) Niedenzu",NA,"1949","01","12","RS","Novo Hamburgo","ad montem Ferrabraz","-51.1305999755859","-29.6783008575439",NA,NA,NA,"Emrich-Rambo","1954","08","21",NA,NA,"20722","auto","Magnoliatae",NA,NA,NA
