"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","coordinatePrecision","geoFlag","dayIdentified","typeStatus","fieldNumber","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","02862190","PreservedSpecimen","Plantae","Magnoliophyta","Dilleniales","Dilleniaceae","Davilla","glaziovii","Davilla glaziovii","Eichler","C. N. Fraga","2903","2010","06","05","South America","Brazil","Rio de Janeiro","Campo Grande","Parque Natural Municipal do Mendanha. Campo Grande, Serra do Mendanha. Estrada para torre da Light, acima da entrada da rampa de voo livre.","-43.5247","-22.8219","675","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3234809' target='other'> <mi>dwc_moreinfo</mi></a>","NY02862190","NY02862190_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:13:36-03","UFBA","ALCB","112241","PreservedSpecimen","Plantae","Dicotyledon",NA,"Dilleniaceae","Davilla","glaziovii","Davilla glaziovii","Eichler","Fraga, CN de; Saavedra, MM","2903","2010","06","05","Southern America","Brasil","Rio de Janeiro","Mendanha","Parque Nacional do Mendanha. Campo Grande, Serra do Mendanha. Estrada para torre da Ligth, acima da entrada da rampa de voo livre.","-43.524722","-22.821944","675",NA,"em copa de árvore e/ou escandente. Caule recoberto por tricomas verde claro. Folhas verde discolores, face adaxial glabrescente verde escura, bulada; abaxial recoberta por tricomas verde claro, nervuras salientes. Inflorescência recob","ALCB021443","ALCB021443","Fraga, CN de","2010","06","-43.524722","-22.821944","675",NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:06:11-03","ESALQ","ESA","105126","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Dilleniaceae","Davilla","glaziovii","Davilla glaziovii",NA,"Rando, J.G.","205.0","2006","04","08",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,NA,"ESA105126","ESA105126","Rando, J.G.",NA,NA,NA,NA,NA,"48094","auto",NA,NA,NA,NA
"4","2020-12-21 16:22:49-03","MBM","MBM","392690","PreservedSpecimen","Plantae",NA,NA,"Dilleniaceae","Davilla","glaziovii","Davilla glaziovii","Eichl.","Fraga, C.N.; Saavedra, M.M.; Saavedra, M.M.","2903","2010","06","05","Southern America","Brazil","Rio de Janeiro","Campo Grande","Serra do Mendanha, Parque Natural Municipal do Mendanha; estrada para torre da Light, acima da entrada da rampa de voo livre","-43.524722","-22.821944","675",NA,"Liana em copa de árvore e/ou escandente; caule recoberto por tricomas verde claro; folhas verde discolores, face adaxial glabrescente verde escura, bulada; abaxial recoberta por tricomas verde claro, nervuras salientes; inflorescênci","MBM392690","MBM392690","Fraga, C.N.","2010","06","-43.524722","-22.821944","675",NA,NA,"05",NA,NA,NA
"5","2015-10-02 05:17:43-03","MNHN","RECOLNAT_MNHN_P","P00682206","PreservedSpecimen",NA,NA,NA,"Dilleniaceae","Davilla","glaziovii","Davilla glaziovii","Eichler","Glaziou, A.",NA,"1869","3","26",NA,"Brésil",NA,NA,"Serra do Coutto",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00682206' target='other'> <mi>dwc_moreinfo</mi></a>","P00682206","P00682206_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype","2916",NA
"6","2016-03-09 17:11:54-03","MNHN","RECOLNAT_MNHN_P","P00871153","PreservedSpecimen",NA,NA,NA,"Dilleniaceae","Davilla","glaziovii","Davilla glaziovii","Eichler","Fraga, C.N.|Saavedra, M.M.",NA,"2010","6","5",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Parque Natural Municipal do Mendanha. Campo Grande, Serra do Mendanha. Estrada para torre da Light, acima da entrada da rampa de vôo livre","-43.52472","-22.82194",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00871153' target='other'> <mi>dwc_moreinfo</mi></a>","P00871153","P00871153_01",NA,NA,NA,NA,NA,"675",NA,NA,NA,NA,"2903",NA
"7","2015-09-04 01:46:45-03","MNHN","RECOLNAT_MNHN_P","P03175566","PreservedSpecimen",NA,NA,NA,"Dilleniaceae","Davilla","glaziovii","Davilla glaziovii","Eichler","Glaziou, A.",NA,"1889","4","24",NA,"Brasil","Rio de Janeiro","Engenheiro Paulo de Frontin","Palmeiras","-43.6782989501953","-22.5496997833252",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03175566' target='other'> <mi>dwc_moreinfo</mi></a>","P03175566","P03175566_01",NA,NA,NA,NA,NA,NA,"14263","auto",NA,NA,"17461",NA
"8","2020-12-11 11:34:55-03","UFMG","BHCB","198312","PreservedSpecimen","Plantae","Dicotyledon",NA,"Dilleniaceae","Davilla","glaziovii","Davilla glaziovii","Eichler","Fraga, CN de; Saavedra, MM","2903","2010","06","05","Southern America","Brasil","Rio de Janeiro","Rio de Janeiro","Parque Natural Municipal de Medanha, Campo Grande, serra do Medanha, estrada para a torre da Light, acima da entrada da rampa de voo livre","-43.524722","-22.821944","675",NA,"Liana em copa de árvore ou escandente. Caule recoberto por tricomas verde claro. Folhas verdes discolores, face adaxial glabrescente, verde escura, bulada; abaxial recoberta por tricomas verde claro, nervuras salientes. Inflorescência","BHCB198312",NA,NA,"2012",NA,"-43.524722","-22.821944","675",NA,NA,NA,NA,NA,NA
"9","2020-12-11 11:34:55-03","UFMG","BHCB","198313","PreservedSpecimen","Plantae","Dicotyledon",NA,"Dilleniaceae","Davilla","glaziovii","Davilla glaziovii","Eichler","Fraga, CN de","2214","2008","08","23","Southern America","Brasil","Rio de Janeiro","Rio de Janeiro","Serra do Mendanha, estrada para a torre da Light, após rampa de voo livre","-43.525","-23.823056","680",NA,"Trepadeira volúvel. Caule com ritidoma acinzentado. Folhas buladas, face adaxial verde escuro, face abaxial verde claro. Flores com sépalas castanhas escuro, internamente castanho claro; Floresta Atlântica de encosta","BHCB198313",NA,NA,NA,NA,"-43.525","-23.823056","680",NA,NA,NA,NA,NA,NA
"10","2021-01-10 20:48:00-03","INPA","INPA","257092a","S","Plantae","Dicotyledon Core Eudicots","Dilleniales","Dilleniaceae","Davilla","glaziovii","Davilla glaziovii","Eichler","Fraga, CN de","2903","2010","06","05","Southern America","Brasil","Rio de Janeiro",NA,"Campo Grande, Serra do Mendanha. Estrada para torre da Ligth, acima da entrada da rampa de voo livre.","-43.879722","-23.371944","675",NA,NA,"INPA257092a",NA,"Fraga, CN de","2010","06","-43.879722","-23.371944","675",NA,NA,"05",NA,NA,NA
