"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","typeStatus","fieldNumber","verbatimLongitude","verbatimLatitude","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01299585","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Abarema","villifera","Abarema villifera","(Ducke) Barneby & J.W.Grimes","M. P. Morim","G. P. Nava","1073","1986","04","21","South America","Venezuela","Bolívar","Sifontes","San Isidro Kayanayen.","-61.72","5.62","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1599338' target='other'> <mi>dwc_moreinfo</mi></a>","NY01299585","NY01299585_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1098607","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Abarema","villifera","Abarema villifera","(Ducke) Barneby & J.W.Grimes",NA,"D. G. Campbell","P21922","1974","04","07","South America","Brazil","Amazonas",NA,"5km upstream from junction of Rios Cuieiras and Branquinho.","-60.29","-2.525",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1288784' target='other'> <mi>dwc_moreinfo</mi></a>","NY01098607","NY01098607_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01299588","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Abarema","villifera","Abarema villifera","(Ducke) Barneby & J.W.Grimes","M. P. Morim","B. Maguire","24629","1944","09","05","South America","Suriname",NA,NA,"Tafelberg (Table Mountain, Camp # 2) SW escarpment.","-56.1667","3.88736",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1599493' target='other'> <mi>dwc_moreinfo</mi></a>","NY01299588","NY01299588_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01299949","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Abarema","villifera","Abarema villifera","(Ducke) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","J. J. Wurdack","43351","1959","07","08","South America","Venezuela","Amazonas",NA,"Río Guainia: Along river between Comunidad and Santa Rita.",NA,NA,"100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1614268' target='other'> <mi>dwc_moreinfo</mi></a>","NY01299949","NY01299949_01","140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 19:28:00-03","NY","NYBG","01299950","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Abarema","villifera","Abarema villifera",NA,"R. C. Barneby; J. W. Grimes","R. L. Liesner","8861","1980","01","29","South America","Venezuela","Amazonas",NA,"San Carlos de Río Negro, 16 km NE of; Caño de Cholo, 4 km SW of Solano","-66.96666667","1.933333333","120","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1614271' target='other'> <mi>dwc_moreinfo</mi></a>","NY01299950","NY01299950_01 NY01299950_02","120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:08:30-03","NBC","NL-BOTANY","U 0054026","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Abarema","villifera","Abarema villifera","(Ducke) Barneby & J.W.Grimes",NA,"Maguire B",NA,"1944","01","01","Southern America","Surinam",NA,NA,"Savanne VIII",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200054026 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0054026",NA,NA,"Magnoliopsidae","Uw 2458",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:08:30-03","NBC","NL-BOTANY","L.1060738","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Abarema","villifera","Abarema villifera","(Ducke) Barneby & J.W.Grimes",NA,"Maguire B",NA,"1944","01","01","Southern America","Surinam",NA,NA,"Savanne VIII",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1060738 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1060738","NL-L1060738",NA,"Magnoliopsidae","Uw2458",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:08:30-03","NBC","NL-BOTANY","L.1060739","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Abarema","villifera","Abarema villifera","(Ducke) Barneby & J.W.Grimes",NA,"Maguire B",NA,"1944","01","01","Southern America","Surinam",NA,NA,"Savanne VIII",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1060739 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1060739","NL-L1060739",NA,"Magnoliopsidae","U 0054025 | Uw 2458",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:08:30-03","NBC","NL-BOTANY","L.1060749","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Abarema","villifera","Abarema villifera","(Ducke) Barneby & J.W.Grimes",NA,"Maguire B",NA,"1944","01","01","Southern America","Surinam",NA,NA,"Savanne VIII",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1060749 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1060749","NL-L1060749",NA,"Magnoliopsidae","Uw2458",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:08:30-03","NBC","NL-BOTANY","U 0003336","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Abarema","villifera","Abarema villifera","(Ducke) Barneby & J.W.Grimes","Barneby RC; Grimes JW","Ducke A",NA,"1936","02","23","Southern America","Brazil","Amazonas",NA,"Rio Curicuriary (affl. Rio NEgro, civit. Amazonas)",NA,NA,NA,NA,"super cataractas ad ripas inundatas<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200003336 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0003336","NL-U0003336",NA,"Magnoliopsidae","41310 A","1989","01","01","isotype",NA,NA,NA,NA
