"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","class","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","777002","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Triumfetta","grandiflora","Triumfetta grandiflora","Vahl","G. L. Esteves","L. Rossi","2152","2000","09","19","South America","Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba, Trilha dos Tropeiros","-45.4097","-23.6203","60","150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426305' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777002","NY00777002_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","777103","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Triumfetta","grandiflora","Triumfetta grandiflora","Vahl","W. A. Palacios","C. Quelal","233","1991","07","20","South America","Ecuador","Carchi","Tulcán","Tulcan Canton. Chical Reserva Etnica Awá-Camumbí","-78.27","0.88","1700","1900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426307' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","778009","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Triumfetta","grandiflora","Triumfetta grandiflora","Vahl","G. L. Esteves","F. O. Souza","27","2000","07","18","South America","Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba, Nova trilha dos Tropeiros","-45.4097","-23.6203",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426306' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778009","NY00778009_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 04:37:00-03","NY","NYBG","777105","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Triumfetta","grandiflora","Triumfetta grandiflora",NA,NA,"E. P. Killip","19399","1927","02","17","South America","Colombia","Santander",NA,"Between El Roble and Tona",NA,NA,"1500","1900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426308' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","777104","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Triumfetta","grandiflora","Triumfetta grandiflora","Vahl","W. Meijer","J. C. Solomon","13985","1985","06","11","South America","Bolivia","La Paz","Nor Yungas","Serrania de Bella Vista, 17.6 km N of the bridge at Carrasco","-67.47","-15.67","1600","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426304' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:44:11-03","EAO","IAN","149462","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malvaceae","Triumfetta","grandiflora","Triumfetta grandiflora","Vahl","Simpson, DR","Schunke-Vigo, J","4871","1971","05","08","Southern America","Peru","Mariscal Cáceres","Tocache Nuevo","En bosque secundário. camino al Caserio de Santa Rosa de Mishollo, 4km de Purto Pizana.",NA,NA,NA,NA,NA,"Arbusto de 4-5m; flores amarillo vivo; frutos pardos. Las hojas son de color verde intenso.","IAN149462",NA,"1974","07",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:44:11-03","EAO","IAN","41980","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malvaceae","Triumfetta","nemoralis","Triumfetta nemoralis","A.St.-Hil.",NA,"Saint-Hilaire","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN041980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:01:00-03","NBC","NL-BOTANY","U.1378138","PreservedSpecimen","Plantae",NA,"Malvales","Tiliaceae","Triumfetta","grandiflora","Triumfetta grandiflora","Vahl",NA,"Krukoff BA",NA,"1939","07","01","Southern America","Bolivia",NA,NA,"Department of La Paz: Province of S. Yungas: Basin of Rio Bopi, San Bartolome (near Calisaya).",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1378138 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1378138","NL-U1378138",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:13:05-03","ESALQ","ESA","128779","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Triumfetta","grandiflora","Triumfetta grandiflora",NA,"Jó-Girão, V.","Delfini, C.","801.0","2013","03","26",NA,"Brasil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA). UHE da Barra, trilha da caixa d'água para vila de moradores. Floresta Ombrófila Densa com perturbação antrópica (presença de exóticas como nêspera, Citrus, araucária).","-47.31605","-24.02021","480","480",NA,"Arbusto, ca. 80cm alt., flores amarelas, frutos imaturos verdes.","ESA128779","ESA128779","2013",NA,NA,"-47.31605","-24.02021",NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:31:35-03","MN","R","7755","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Triumfetta","grandiflora","Triumfetta grandiflora","Vahl","Ko Ko Lay","Glaziou, A.F.M.","17470","1888","07","28",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000007755","R000007755_001","1950","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
