"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","occurrenceRemarks","barcode","imagecode","typeStatus","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag"
"1","2021-02-11 17:20:58-03","UFPR","UPCB","92891","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","aff. hoehnei","Octomeria aff. hoehnei","Schltr.","Santos, T.F.","2016","10","Santos, T.F.","208","2016","10","25","Brasil","São Paulo","Cultivado no Jardim Botânico de São Paulo","UPCB0037190","UPCB0037190",NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 10:13:37-03","IBt","SP","4317","S","Plantae","Orchidaceae","Octomeria","hoehnei","Octomeria hoehnei","Schltr.",NA,NA,NA,"Hoehne, FC","s.n.","1920","08","12","Brasil","São Paulo",NA,"SP002281","SP002281","Isotype","Santo André","Alto da Serra, Estação Biológica","-46.5299987792969","-23.6599998474121","27258","auto"
