"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","phylum","continentOcean","imagecode","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","class","order","individualCount","typeStatus","relatedCatalogItem"
"1","2020-06-29 11:29:40-03","UFRJ","RFA","28151","PreservedSpecimen","Plantae","Bromeliaceae","Hohenbergia","castellanosii","Hohenbergia castellanosii","L.B.Sm. & Read","T. Wendt","2003","03","26","T. Wendt; G.K. Brown; A.P.G. Faria; L.O.F. Souza; J.L. Paixão","450","2003","03","26","Brasil","Bahia","Ituberá","Às margens da estrada que leva para a Praia de Pratigi","-39.0125","-13.708056","39º0'45''W","13º42'29''S","Terrestre, muito abundante. Ápice das folhas vermelho vivo. Brácteas escapais, primárias e florais verdes. Sépalas alvacentas; pétalas alvacentas com ápice rosado. Inflorescência passada toda verde claro. Material para DNA, flores em ál","RFA52188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:27:32-03","UFBA","ALCB","027902","PreservedSpecimen","Plantae","Bromeliaceae","Hohenbergia","castellanosii","Hohenbergia castellanosii",NA,"Leme, EMC","1998","07",NA,"Guedes, ML; Accioly, M","s/n","1995","05","18","Brasil","Bahia","Cairu","Baixo Sul, Morro de São Paulo para Boipeba","-39.033333","-13.483333","-39.033333","-13.483333","folhas verde-amareladas com ápice avermelhado.","ALCB011645","Monocotyledon","Southern America","ALCB011645 ALCB011645_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:25:52-03","MN","R","203539","PreservedSpecimen","Plantae","Bromeliaceae","Hohenbergia","castellanosii","Hohenbergia castellanosii","L.B. Sm. & Read",NA,NA,NA,NA,"Cogliatti-Carvalho, L.","79","2001","02","02","Brasil","Bahia","Esplanada","Baixio","-37.9449996948242","-11.7960996627808",NA,NA,NA,"R010001697",NA,NA,"R010001697 R010001697_1","51913","auto",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-04 11:04:41-03","UFRB","HURB","22186","PreservedSpecimen","Plantae","Bromeliaceae","Hohenbergia","castellanosii","Hohenbergia castellanosii","L.B.Sm. & Read.",NA,NA,NA,NA,"Souza, E.H.","73","2017","02","01","Brasil","Bahia","Ituberá","Proximo a praia do Pratigi; Entrada do Vilarejo","-39.013175","-13.689542","39º00'47,43W","13º41'22,35S","Acesso incorporado ao BGP073.","HURB000022186",NA,NA,"HURB000022186",NA,NA,"12","12",NA,NA,NA,NA,NA
"5","2021-03-04 11:04:41-03","UFRB","HURB","18870","PreservedSpecimen","Plantae","Bromeliaceae","Hohenbergia","castellanosii","Hohenbergia castellanosii","L.B.Sm & Read","B.P.Cavalcante; E.H.Souza","2018","11",NA,"Cavalcante, B. P.; Souza, E.H.","31","2018","11","28","Brasil","Bahia","Uruçuca","Campo Cheiroso - Rod. Itacaré- Ilheus, emtrada, lado direito; 14km ao norte de Serra Grande","-39.2844009399414","-14.5930995941162",NA,NA,"planta epífita de dorsel, folhas com máculas rosas, folhas eretas e largas, roseta tubular, inflorescências verde 2-pinadas","HURB000018870",NA,NA,"HURB000018870","33791","auto",NA,NA,NA,NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","3118719","PreservedSpecimen","Plantae","Bromeliaceae","Hohenbergia","castellanosii","Hohenbergia castellanosii","L.B. Sm. & Read",NA,NA,NA,NA,"L. R. Noblick","3095",NA,NA,NA,"Brazil","Bahia",NA,"Faz. Boa Vista - Serra de S. José. F. de Santana, BA.","-38.97","-12.25",NA,NA,NA,NA,NA,"South America - Neotropics",NA,NA,NA,NA,NA,"Monocotyledonae","Bromeliales","1",NA,NA
"7","2020-09-12 05:00:02-03","US","US","2862277","PreservedSpecimen","Plantae","Bromeliaceae","Hohenbergia","castellanosii","Hohenbergia castellanosii","L.B. Sm. & Read",NA,NA,NA,NA,"A. Castellanos","27007","1967","12","13","Brazil","Bahia",NA,"Marau to Muta.",NA,NA,NA,NA,NA,"US00091437",NA,"South America - Neotropics","US00091437_01",NA,NA,NA,NA,"Monocotyledonae","Bromeliales","1","Type fragment",NA
"8","2020-09-12 05:00:02-03","US","US","3118720","PreservedSpecimen","Plantae","Bromeliaceae","Hohenbergia","castellanosii","Hohenbergia castellanosii","L.B. Sm. & Read",NA,NA,NA,NA,"L. R. Noblick","3095",NA,NA,NA,"Brazil","Bahia",NA,"Faz. Boa Vista - Serra de S. José. F. de Santana, BA.","-38.97","-12.25",NA,NA,NA,NA,NA,"South America - Neotropics",NA,NA,NA,NA,NA,"Monocotyledonae","Bromeliales","1",NA,NA
"9","2019-10-07 09:20:36-03","UEFS","HUEFS","160215","PreservedSpecimen","Plantae","Bromeliaceae","Hohenbergia","castellanosii","Hohenbergia castellanosii","L.B.Sm. & Read",NA,NA,NA,NA,"Carvalho-Sobrinho, J.G.de","2838","2010","03","17","Brasil","Bahia","Entre Rios","Fazenda Jequitibá.","-37.838333","-12.271389","37W50'18''","12S16'17''","Restinga.","HUEFS0160215","Angiospermae",NA,"HUEFS0160215",NA,NA,"43","43","Lilianae","Poales",NA,NA,NA
"10","2019-10-07 09:20:36-03","UEFS","HUEFS","183120","PreservedSpecimen","Plantae","Bromeliaceae","Hohenbergia","castellanosii","Hohenbergia castellanosii","L.B.Sm. & Read","R.C.Forzza","2012","05",NA,"Matos, E.N.de","341","2011","07","31","Brasil","Bahia","Entre Rios","Areal de Subauma.","-37.789722","-12.251944","37W47'23''","12S15'7''","Campestre e moitas.","HUEFS0183120","Angiospermae",NA,"HUEFS0183120",NA,NA,NA,NA,"Lilianae","Poales",NA,NA,NA
"11","2020-08-10 16:07:35-03","CEPLAC","CEPEC","135039","PreservedSpecimen","Plantae","Bromeliaceae","Hohenbergia","castellanosii","Hohenbergia castellanosii",NA,"V. D. Lacerda",NA,NA,NA,"V. D. Lacerda","233","2011","12","03","Brasil","Bahia","ITACARÉ","Campo Cheiroso","-39.039722","-14.380556","39W2'23","14S22'50",NA,NA,NA,NA,NA,NA,NA,"100","100",NA,NA,NA,NA,NA
"12","2020-07-23 12:00:56-03","CEPLAC","CEPEC","10658","PreservedSpecimen","Plantae","Bromeliaceae","Hohenbergia","castellanosii","Hohenbergia castellanosii",NA,"L. B. Smith",NA,NA,NA,"T. S. dos Santos","2884","1975","02","20","Brasil","Bahia","NILO PEÇANHA","Km 5 a 12 do ramal Tiúca/São Francisco.","-39.1068992614746","-13.5993995666504",NA,NA,NA,NA,NA,NA,NA,"39303","auto",NA,NA,NA,NA,NA,"Paratipo","30/08/1985"
