"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","county","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount","dayIdentified","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","144440","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Doryopteris","subsimplex","magdalenensis","Doryopteris subsimplex magdalenensis","Brade","isotype","J. Santos Lima","13130","1934","02","28","South America","Brazil","Rio de Janeiro","Estado do Rio. Sta. Madalena, Pedra Dubois","-42.02","-21.97","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=601405' target='other'> <mi>dwc_moreinfo</mi></a>","NY00144440","NY00144440_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-25 16:51:34-03","UFBA","ALCB","97819","PreservedSpecimen","Plantae","Fern",NA,"Pteridaceae","Doryopteris","subsimplex",NA,"Doryopteris subsimplex",NA,NA,"Guedes, ML; Silva, LB da; Oliveira, MAJ de; Melo, IV de; Silva, MCR","17825","2010","10","25","Southern America","Brasil","Bahia","Recôncavo Sul, Serra da Jibóia","-39.475556","-12.853611","822","822",NA,"terrestre. Frondes monomorfficas a subdimorficas, ereta. Soros contínuos na margem , indúsio formado pela margem revoluta da lâmina.","ALCB001234","ALCB001234","Guedes, ML","2010","10","Santa Teresinha","-39.475556","-12.853611",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:42:40-03","NBC","NL-BOTANY","U.1041635","PreservedSpecimen","Plantae",NA,"Polypodiales","Adiantaceae","Doryopteris","subsimplex",NA,"Doryopteris subsimplex","(Fée) Diels",NA,"Santoshima; Brade AC",NA,"1934","03","04","Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1041635 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1041635","NL-U1041635","Cislinsky-Yesilyurt J",NA,NA,NA,NA,NA,"Pteropsida","U 0015854",NA,NA,NA,NA,NA,NA
"4","2019-08-20 10:28:58-03","UNICAMP","UEC","63587","S","Plantae","Pteridophyta",NA,"Pteridaceae","Doryopteris","subsimplex",NA,"Doryopteris subsimplex","(Fée) Diels",NA,"Schwacke","s.n.","1904",NA,NA,NA,"Brazil","Minas Gerais",NA,"-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"UEC076344","UEC076344","Schwacke",NA,NA,"Ouro Preto",NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA
"5","2019-11-01 15:28:48-03","PUC-RIO","FCAB","0182","PreservedSpecimen","Plantae",NA,"Pteridophyta","Pteridaceae","Doryopteris","subsimplex",NA,"Doryopteris subsimplex","(Fée) Diels",NA,"P. Capell S.J.","s.n.","1952","11","16",NA,"Brasil","Rio de Janeiro","N. Friburgo, super rupes graniticas e monte Colegii Anchietae.","-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,"000182",NA,"P. Capell S.J.",NA,NA,"Nova Friburgo",NA,NA,NA,NA,"33190","auto",NA,NA,NA,NA
"6","2015-09-17 00:30:53-03","MNHN","RECOLNAT_MNHN_P","P00507777","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Doryopteris","subsimplex",NA,"Doryopteris subsimplex","(Fée) Diels",NA,"Glaziou, A.",NA,"1869","3","28",NA,"Brésil",NA,"Pedra do Couto",NA,NA,NA,NA,"hb","Herb. A. Glaziou <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00507777' target='other'> <mi>dwc_moreinfo</mi></a>","P00507777","P00507777_01 P00507777_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3160",NA,NA,NA
"7","2015-09-04 00:38:24-03","MNHN","RECOLNAT_MNHN_P","P00586567","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Doryopteris","subsimplex",NA,"Doryopteris subsimplex","(Fée) Diels",NA,"Glaziou, A.",NA,"1869","3","28",NA,"Brésil",NA,"Pedra do Couto",NA,NA,NA,NA,"hb","Herbier E. Cosson <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00586567' target='other'> <mi>dwc_moreinfo</mi></a>","P00586567","P00586567_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3160",NA,NA,NA
"8","2015-09-04 17:45:40-03","MNHN","RECOLNAT_MNHN_P","P01344951","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Doryopteris","subsimplex",NA,"Doryopteris subsimplex","(Fée) Diels",NA,"Glaziou",NA,NA,NA,NA,NA,"[Brésil]",NA,"Rio-Janeiro",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01344951' target='other'> <mi>dwc_moreinfo</mi></a>","P01344951","P01344951_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6417 2",NA,NA,NA
"9","2015-09-03 18:11:10-03","MNHN","RECOLNAT_MNHN_P","P01533224","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Doryopteris","subsimplex",NA,"Doryopteris subsimplex","(Fée) Diels","isotype","Glaziou, A.",NA,"1869","3","28",NA,"Brésil",NA,"Pedra do Couto",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01533224' target='other'> <mi>dwc_moreinfo</mi></a>","P01533224","P01533224_01 P01533224_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3160",NA,NA,NA
"10","2015-09-17 00:32:02-03","MNHN","RECOLNAT_MNHN_P","P00507793","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Doryopteris","subsimplex","magdalenensis","Doryopteris subsimplex magdalenensis","Brade","isotype","Santos Lima|Brade",NA,"1934","2","28",NA,"Brésil",NA,"Estado do Rio, Sta Madalena, Pedra Dubois",NA,NA,"1100",NA,"hb","Jardim Botanico do Rio de Janeiro n°24794 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00507793' target='other'> <mi>dwc_moreinfo</mi></a>","P00507793","P00507793_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s.n. 13130",NA,NA,NA
