"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","day","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","typeStatus","fieldNumber","individualCount","previousCatalogNumber","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","617058","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Accara","elegans","Accara elegans","(DC.) Landrum","C. E. B. Proença","L. Riedel","s.n.","1825","01","South America","Brazil","S. da Carassa","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=375014' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617058","NY00617058_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1182720","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Accara","elegans","Accara elegans","(DC.) Landrum","L. R. Landrum","P. Clausen","19",NA,NA,"South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408170' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182720","NY01182720_01","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1182718","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Accara","elegans","Accara elegans","(DC.) Landrum","L. R. Landrum","H. S. Irwin","29294","1971","01","South America","Brazil","Serra do Espinhaço, ca. 12 km W. of Barão de Cocais, base of Serra da Caraça","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408167' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182718","NY01182718_01","Minas Gerais","28","-43.4927778","-20.1263","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00932461","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Accara","elegans","Accara elegans","(DC.) Landrum","C. E. B. Proença","H. S. Irwin","19936","1968","02","South America","Brazil","Serra de Itabirito, ca. 45 km S.E. of Belo Horizonte.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1005703' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932461","NY00932461_01","Minas Gerais","12","-43.8","-20.2","1600","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1182721","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Accara","elegans","Accara elegans","(DC.) Landrum","L. R. Landrum","P. Clausen","19",NA,NA,"South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408171' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182721","NY01182721_01","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1182719","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Accara","elegans","Accara elegans","(DC.) Landrum","L. R. Landrum","H. de F. Leitão Filho","9524","1978","12","South America","Brazil","Serra do Caraça.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408169' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182719","NY01182719_01","Minas Gerais","12","-43.4153","-19.9594",NA,NA,"Santa Bárbara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1738485","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Accara","elegans","Accara elegans","(DC.) Landrum","M. Sobral","R. Goldenberg","1512","2011","02","South America","Brazil","Estrada para Venda do Campo (Lavras Novas)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568136' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738485","NY01738485_01","Minas Gerais","04","-43.53175","-20.44906","1353",NA,"Ouro Preto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1182717","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Accara","elegans","Accara elegans","(DC.) Landrum","L. R. Landrum","H. S. Irwin","28880","1971","01","South America","Brazil","Serra do Espinhaço, lower cut over slopes of Serra da Caraça, sandy slopes near riacho, ca. 10 km W. of Barão de Cocais.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408165' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182717","NY01182717_01","Minas Gerais","22","-43.4927778","-20.1263","1400","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-02 16:29:05-03","CPAN-UFMS","COR","4158","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Accara","elegans","Accara elegans","(DC.) Landrum","Graziela M.Barroso","Bortolotto, I.M.; Damasceno Jr, G.A.; Leite, E.C.; Rodriguez, D.P.; Peixoto, J.L.","166","1996","01",NA,"Brasil","Morro do Urucum.",NA,"Com pseudo-gavinhas Habito: Subarbusto",NA,NA,"Mato Grosso do Sul","19","-57.608889","-19.194444","900","900","Corumbá","57º36'32''W","19º11'40''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:14:20-03","ESALQ","ESA","82107","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Accara","elegans","Accara elegans",NA,"Mazine, F.F.","Mazine, F.F. Araújo, A.O.; Duarte, A.R.; Tsuji, R.","707.0","2002","11",NA,"Brasil","Beira de estrada entre Ouro Branco e Ouro Preto - Córrego do Falcão - Mata ciliar",NA,"Arbusto 1,1 m; flores brancas.","ESA082107",NA,"Minas Gerais","13","-43.5080986022949","-20.2875003814697","1105","1105","Ouro Preto","-43,567,222","-20,441,944","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
