"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","typeStatus","class","relatedCatalogItem"
"1","2020-09-23 10:42:26-03","E","E","267813","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","harleyi","Stemodia harleyi","Atkins, S.; Sakuragui, C.M.; Harley, R.M.; Sano, P.T. & Souza, V.C.","14118","1994","02","16","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:278464","<a href=http://data.rbge.org.uk/herb/E00267813 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00267813",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:26-03","E","E","312905","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","harleyi","Stemodia harleyi","Harley, R.M.; Giulietti, A.M.; Fierro, A.F.","51257","1992","01","10","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:315224","<a href=http://data.rbge.org.uk/herb/E00312905 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00312905",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:42:26-03","E","E","324050","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","harleyi","Stemodia harleyi","Souza, V.C.; Sano, P.T.; Atkins, S.; Harley, R.M.; Sakuragui, C.M.","14590","1994","02","26","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:326592","<a href=http://data.rbge.org.uk/herb/E00324050 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00324050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:42:26-03","E","E","267802","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","harleyi","Stemodia harleyi","Atkins, S.; Sakuragui, C.M.; Harley, R.M.; Sano, P.T. & Souza, V.C.","14168","1994","02","17","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:278494","<a href=http://data.rbge.org.uk/herb/E00267802 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00267802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:42:26-03","E","E","267803","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","harleyi","Stemodia harleyi","Atkins, S.; Sakuragui, C.M.; Harley, R.M.; Sano, P.T. & Souza, V.C.","14168","1994","02","17","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:278493","<a href=http://data.rbge.org.uk/herb/E00267803 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00267803",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1145254","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","harleyi","Stemodia harleyi","V. C. Souza","CFCR14118","1994","02","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1307261' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145254","Magnoliophyta","Lamiales","B.L.Turner","Bahia","Lençóis","Ca. 1 km do início da estrada lateral que sai da Rodovia Lençois-Seabra, a 23 km NW de Lençois. Serra do Palmital. Campo rupestre com escarpa íngreme e vale do Rio Mucugezinho.","-41.3897","-12.5633","900","1000","NY01145254_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1145190","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","harleyi","Stemodia harleyi","R. M. Harley","51257","1992","01","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1306834' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145190","Magnoliophyta","Lamiales","B.L.Turner","Bahia","Abaíra","Serra ao Sul do Riacho da Taquara.","-41.92","-13.25","1920","1920","NY01145190_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","684637","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","harleyi","Stemodia harleyi","L. P. de Queiroz","5075","1998","04","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=897245' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684637","Magnoliophyta","Lamiales","B.L.Turner","Bahia","Abaíra","Distrito de Catolés. Encosta da Serra do Atalho, subida pela Boca do Leão.","-41.6633","-13.2497",NA,NA,"NY00684637_01","D. C. Zappi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","823201","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","harleyi","Stemodia harleyi","J. G. Jardim","2538","2000","01","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937417' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823201","Magnoliophyta","Lamiales","B.L.Turner","Bahia","Mucugê","10 km N da cidade na Rod. para Andaraí.","-41.3189","-12.9658",NA,NA,"NY00823201_01","N. H. Holmgren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","538939","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","harleyi","Stemodia harleyi","S. A. Mori","14369","1981","06","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=155950' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538939","Magnoliophyta","Lamiales","B.L.Turner","Bahia","Palmeiras","Pai Inaçio, BR 242, W of Lençois at km 232.","-41.5589","-12.5292",NA,NA,"NY00538939_01","D. C. Zappi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1145188","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","harleyi","Stemodia harleyi","R. M. Harley","H50738","1992","01","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1306832' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145188","Magnoliophyta","Lamiales","B.L.Turner","Bahia","Abaíra","Campo de Ouro Fino (baixo)","-41.9","-13.25","1600","1700","NY01145188_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","823200","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","harleyi","Stemodia harleyi","J. G. Jardim","2321","1999","12","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937416' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823200","Magnoliophyta","Lamiales","B.L.Turner","Bahia","Andaraí","Distrito de Igatú. Gruta do Brejão.","-41.3314","-12.8072",NA,NA,"NY00823200_01","N. H. Holmgren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1145255","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","harleyi","Stemodia harleyi","V. C. Souza","CFCR14168","1994","02","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1307264' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145255","Magnoliophyta","Lamiales","B.L.Turner","Bahia","Palmeiras","Próximo ao Rio Mucugezinho. Rod. Lençois-Seabra, ca. 21 km NW de Lençois.","-41.4528","-12.4575","900","1100","NY01145255_01","V. C. Souza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","880029","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","harleyi","Stemodia harleyi","V. C. Souza","CFCR14590","1994","02","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2528542' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880029","Magnoliophyta","Lamiales","B.L.Turner","Bahia","Abaíra","Município de Abaíra-Catolés. Serra do Barbado.","-41.6636009216309","-13.2496995925903","1750","2035","NY00880029_01",NA,"26531","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-10-09 11:22:49-03","UFBA","ALCB","034197","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","harleyi","Stemodia harleyi","Carvalho, AM de; Amorim, AMA; Sant'Ana, SC de; Jardim, JG; Souza, GR; Cruz, NB","PCD1005","1994","10","25","Southern America","Brasil",NA,NA,"1,0 m. Folhas sim ples. Flores com corola azul.; Campo aberto com arbustos esparsos. Afloramento rochoso de arenito.",NA,"Dicotyledon",NA,"B.L.Turner","Bahia","Palmeiras","Chapada Diamantina, Morro do Pai Inácio, campos aberto e rupestre","-41.470833","-12.455556","1080","1080",NA,"Harley, RM",NA,NA,"1996","04","10","-41.470833","-12.455556",NA,NA,NA,NA
"16","2019-10-09 11:22:49-03","UFBA","ALCB","034199","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","harleyi","Stemodia harleyi","Carvalho, AM de; Amorim, AMA; Sant'Ana, SC de; Jardim, JG; Souza, GR; Cruz, NB","PCD1079","1994","10","27","Southern America","Brasil",NA,NA,"crescendo nas fendas úmidas do campo rupestre. Folhas simples. Flores com pétalas azul-arroxeadas. Ocasional.; Campo rupestre com predominânca de arbusto. Afloramento rochoso de arenito.",NA,"Dicotyledon",NA,"B.L.Turner","Bahia","Lençóis","Chapada Diamantina, Serra da Chapadinha","-41.440278","-12.459722","910","910",NA,"Souza, VC; Scalon, VR",NA,NA,"1996","12",NA,"-41.440278","-12.459722",NA,NA,NA,NA
"17","2019-10-09 11:22:49-03","UFBA","ALCB","034200","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","harleyi","Stemodia harleyi","Melo, E; França, F; Oliveira, S; Nunes, TS; Souza, E; Ganev, W","PCD1166","1994","11","21","Southern America","Brasil",NA,NA,"crescendo nas fendas das rochas. Folhas simples. Flores com pétalas lilás.; Vegetação de campo rupestre. Afloramento rochoso.",NA,"Dicotyledon",NA,"B.L.Turner","Bahia","Palmeiras","Chapada Diamantina, Morro do Pai Inácio","-41.471389","-12.458611","1150","1150",NA,"Souza, VC; Scalon, VR",NA,NA,"1996","12",NA,"-41.471389","-12.458611",NA,NA,NA,NA
"18","2019-10-09 11:22:49-03","UFBA","ALCB","034204","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","harleyi","Stemodia harleyi","Melo, E; França, F; Oliveira, S; Nunes, TS; Souza, E; Ganev, W","PCD1145","1994","11","21","Southern America","Brasil",NA,NA,"rasteira. Folhas simples. Flores com corola de face interna lilás, garganta esverdeada. Frutos imaturos verdes. Frequente.; Vegetação de campo rupestre. Afloramento rochoso.",NA,"Dicotyledon",NA,"B.L.Turner","Bahia","Palmeiras","Chapada Diamantina, Morro do Pai Inácio","-41.471389","-12.458611","1150","1150",NA,"Souza, VC; Scalon, VR",NA,NA,"1996","12",NA,"-41.471389","-12.458611",NA,NA,NA,NA
