"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","continentOcean","country","locality","barcode","year","month","stateProvince","occurrenceRemarks","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","day","imagecode","order","minimumElevationInMeters","individualCount","maximumElevationInMeters","class","preparationType","fieldNumber","typeStatus","sex"
"1","2021-03-30 12:52:42-03","EAO","IAN","115975","PreservedSpecimen","Plantae","Monocotiledônea","Orchidaceae","Encyclia","argentinensis","Encyclia argentinensis","(Speg.) Hoehne","Bastos, C","2013","07","02","Vieira, L","127","Southern America","Brasil","Rio Tocantins.","IAN115975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-31 13:40:49-03","MN","R","2810","PreservedSpecimen","Plantae",NA,"Orchidaceae","Encyclia","argentinensis","Encyclia argentinensis","(Speg.) Hoehne","Bastos, C.A.","2013","10","31","Hoehne, F.C.","2142",NA,"Brasil",NA,NA,"1909","06","Mato Grosso","Comissão Rondon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:40:49-03","MN","R","2811","PreservedSpecimen","Plantae",NA,"Orchidaceae","Encyclia","argentinensis","Encyclia argentinensis","(Speg.) Hoehne","Bastos, C.A.","2013","10","31","Kuhlmann, J.G.","140",NA,"Brasil",NA,NA,"1914","12","Mato Grosso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-31 13:40:49-03","MN","R","44768","PreservedSpecimen","Plantae",NA,"Orchidaceae","Encyclia","argentinensis","Encyclia argentinensis","(Speg.) Hoehne","Bastos, C.A.","2013","10","31","Hoehne, F.C.","936",NA,"Brasil",NA,NA,"1909","12","Mato Grosso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-31 13:40:49-03","MN","R","2809","PreservedSpecimen","Plantae",NA,"Orchidaceae","Encyclia","argentinensis","Encyclia argentinensis","(Speg.) Hoehne","Bastos, C.A.","2013","10","31","Hoehne, F.C.","632",NA,"Brasil",NA,NA,"1908","10","Mato Grosso","Comissão Rondon","Cáceres","-57.6789016723633","-16.0706005096436","172193","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-07-05 11:14:18-03","FFCLRP","LBMBP","319","S","Plantae",NA,"Orchidaceae","Encyclia","argentinensis","Encyclia argentinensis","(R. Speg.) Hoehne","E.R. Pansarin",NA,NA,NA,"E.R. Pansarin",NA,NA,"Brasil",NA,NA,NA,NA,"São Paulo",NA,"Altinópolis","-47.366667","-21.016667",NA,NA,"47°22'W","21°01'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-07-05 11:14:18-03","FFCLRP","LBMBP","646","S","Plantae",NA,"Orchidaceae","Encyclia","argentinensis","Encyclia argentinensis","(R. Speg.) Hoehne","E.R. Pansarin",NA,NA,NA,"E.R. Pansarin",NA,NA,"Brasil",NA,NA,NA,NA,"São Paulo",NA,"Altinópolis","-47.366667","-21.016667",NA,NA,"47°22'W","21°01'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-07-05 11:14:18-03","FFCLRP","LBMBP","868","S","Plantae",NA,"Orchidaceae","Encyclia","saltensis","Encyclia saltensis","Hoehne","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:38:23-03","MBM","MBM","30179","PreservedSpecimen","Plantae",NA,"Orchidaceae","Epidendrum","argentinense","Epidendrum argentinense",NA,NA,NA,NA,NA,"Cabrera, A.; et al.; et al.","24228","Southern America","Argentina","De la Quinta a Palma Sola, Jujuy","MBM030179","1973","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","MBM030179",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-10-01 14:25:53-03","JBB","HEPH","16433","S","Plantae","Monocotyledon","Orchidaceae","Encyclia","argentinensis","Encyclia argentinensis","(Speg.) Hoehne","Meneguzzo, TEC","2009","11","06","Chagas, F","s.n.","Southern America","Brasil","São Bento",NA,"1999","11","Goiás","Cultivada no banco de germoplasma do Jardim Botânico de Brasília ORQ 791","Alto Paraíso de Goiás","-47.5099983215332","-14.1324996948242","44724","auto",NA,NA,"20",NA,"Asparagales",NA,NA,NA,NA,NA,NA,NA,NA
