"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","9445","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Trizeuxis","andina","Trizeuxis andina","Schltr.","isotype","R. S. Williams","1634","1902","07","26","South America","Bolivia","Huainachoirisa","1158.2","1158.2","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=351464' target='other'> <mi>dwc_moreinfo</mi></a>","NY00009445","NY00009445_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","625789","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Trizeuxis","falcata","Trizeuxis falcata","Lindl.",NA,"P. K. H. Dusén","14441","1915","01","22","South America","Brazil",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=768719' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625789","NY00625789_01","P. K. H. Dusén","Paraná","Morretes","-48.8342","-25.4769",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4170239","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Trizeuxis","falcata","Trizeuxis falcata","Lindl.",NA,"F. W. Pennell","8420","1922","07","21","South America","Colombia","east of Zarzal","970","1050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4497884' target='other'> <mi>dwc_moreinfo</mi></a>","NY04170239",NA,NA,"Valle del Cauca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4170236","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Trizeuxis","falcata","Trizeuxis falcata","Lindl.",NA,"A. L. Bernardi","1228","1954","04","10","South America","Venezuela","La Libertad (Pueblo)","150",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4497881' target='other'> <mi>dwc_moreinfo</mi></a>","NY04170236",NA,NA,"Barinas","Libertad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","625786","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Trizeuxis","falcata","Trizeuxis falcata","Lindl.",NA,"G. T. Prance","7878","1968","10","05","South America","Brazil","Trail from Rio Iaco to Rio Purus, 3km above confluence.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=768724' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625786","NY00625786_01","G. F. J. Pabst","Acre","Sena Madureira","-68.6567","-9.0658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4170233","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Trizeuxis","falcata","Trizeuxis falcata","Lindl.",NA,"G. Davidse","18368","1980","06","21","South America","Venezuela","2½ airline km SW of Los Angeles de Tucuco at Quebrada Cosira","250",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4497878' target='other'> <mi>dwc_moreinfo</mi></a>","NY04170233",NA,NA,"Zulia","Perijá","-72.82","9.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4170235","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Trizeuxis","falcata","Trizeuxis falcata","Lindl.",NA,"J. A. Steyermark","101350","1968","03","24","South America","Venezuela","along highway 25 km. east of El piñal",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4497880' target='other'> <mi>dwc_moreinfo</mi></a>","NY04170235",NA,NA,"Táchira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4170245","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Trizeuxis","falcata","Trizeuxis falcata","Lindl.",NA,"J. J. Wurdack","403","1955","04","28","South America","Venezuela","in rolling llanos between Cerro Paja and Upata","300",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4497890' target='other'> <mi>dwc_moreinfo</mi></a>","NY04170245",NA,NA,"Bolívar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4170237","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Trizeuxis","falcata","Trizeuxis falcata","Lindl.",NA,"H. Pittier","8789","1920","04","19","South America","Venezuela","Guaremales, road from Puerto Cabello to San Felipe","10","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4497882' target='other'> <mi>dwc_moreinfo</mi></a>","NY04170237",NA,NA,"Carabobo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","625785","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Trizeuxis","falcata","Trizeuxis falcata","Lindl.",NA,"K. P. Dumont","VE7638","1972","07","12","South America","Venezuela","Península de Paria: en el camino de Roma a Río Grande Arriba, 10-15km NO de Irapa.","400","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=768721' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625785","NY00625785_01","E. A. Christenson","Sucre",NA,"-62.58","10.65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
