"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","yearIdentified","monthIdentified","year","month","day","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","dayIdentified","typeStatus","verbatimLongitude","verbatimLatitude"
"1","2019-06-10 10:10:56-03","FZB-BH","CVJBFZB","1076","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","Eduardo G. Gonçalves","Eduardo G. Gonçalves; Salviani","EGG597","Brasil","São Paulo","Itirapina","Cachoeira do Saltão","-47.8199996948242","-22.25","22843","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:56-03","FZB-BH","CVJBFZB","957","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","Eduardo G. Gonçalves","Eduardo G. Gonçalves; H.Lorenzi & M.Andrade","EGG835","Brasil","Ceará","Ipu","Curva do Boqueirão","-40.7108001708984","-4.32221984863281","29540","1","254","auto","2001","04","2001","04","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:56-03","FZB-BH","CVJBFZB","958","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","Eduardo G. Gonçalves","Eduardo G. Gonçalves; H.Lorenzi & A.G.Fernandes","EGG833","Brasil","Ceará","Nova Olinda","Rod.direção a Crato","-39.6805992126465","-7.09167003631592","15626","1","254","auto","2001","04","2001","04","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","872974","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","J. Bogner","T. C. Plowman","8111","Brazil","Tocantins","Presidente Kennedy","Road from highway BR-153 to Itaporã, 12 km. west of village of Presidente Kennedy. Fazenda Primavera along Ribeirão Feínho.","-48.6008","-8.5006",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951011' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"1980","01","31","South America","400","500","sheet","NY00872974","NY00872974_01",NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","872973","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","J. Bogner","T. C. Plowman","8111","Brazil","Tocantins","Presidente Kennedy","Road from highway BR-153 to Itaporã, 12 km. west of village of Presidente Kennedy. Fazenda Primavera along Ribeirão Feínho.","-48.6008","-8.5006",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951009' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"1980","01","31","South America","400","500","sheet","NY00872973","NY00872973_01",NA,NA,NA,NA
"6","2021-03-30 12:51:22-03","EAO","IAN","88932","PreservedSpecimen","Plantae","Monocotiledônea",NA,NA,"Araceae","Taccarum","cylindricum","Taccarum cylindricum","Schott",NA,"Schott, HW","2218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN088932",NA,NA,NA,NA,NA
"7","2021-03-30 12:51:22-03","EAO","IAN","88932","PreservedSpecimen","Plantae","Monocotiledônea",NA,NA,"Araceae","Taccarum","cylindricum","Taccarum cylindricum","Schott",NA,"sc","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN088932",NA,NA,NA,NA,NA
"8","2021-04-02 01:59:58-03","UFPI","TEPB","2527","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","Schott","Simon Mayo","FREIRE, F. M. T.",NA,"Brasil","Piauí","Piracuruca","Parque Nacional de Sete Cidades","-41.7092018127441","-3.92806005477905","41625",NA,"Erva Ambiente: Mata <ll>dwc_commonname:</ll> Milho de Cobra","auto","1990","10","1982","03","11",NA,NA,NA,NA,NA,NA,"14",NA,NA,NA
"9","2020-06-12 12:02:49-03","UFPI","TEPB","11639","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","L.",NA,"M.R.A. Mendes","321","Brasil","Piauí","São José do Piauí","Morro do Baixio","-41.4752998352051","-6.87166976928711","17188",NA,"Erva, muito frequente, flores de cor creme, solo pedregoso Ambiente: Caatinga <ll>dwc_commonname:</ll> milho-de-cobra","auto",NA,NA,"2000","02","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-07-02 14:00:34-03","JBP","HPL","1021","S","Plantae",NA,NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","Engl.","H. Lorenzi","H. Lorenzi","3545","Brasil","SP","São Pedro","No Saltão em área ingreme de pedras, em local rico de matéria orgânica, no meio da mata.","-47.91","-22.54","19379",NA,NA,"auto","2002","11","2002","11","08",NA,NA,NA,NA,NA,NA,"08",NA,NA,NA
