"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLatitude","verbatimLongitude","typeStatus","fieldNumber","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","406986","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","alnifolia","Pavonia alnifolia","A.St.-Hil.","P. Occhioni","7363","1975","05","South America","Brazil","Espírito Santo","Guarapari","Estrada Guarapari - Marataízes, km 30","-40.5108","-20.6581","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402088' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406986","NY00406986_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","406988","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","alnifolia","Pavonia alnifolia","A.St.-Hil.","V. C. Souza","88","1991","05","South America","Brazil","Espírito Santo","Guarapari",NA,"-40.5108","-20.6581","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402085' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406988","NY00406988_01","P. A. Fryxell","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","406985","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","alnifolia","Pavonia alnifolia","A.St.-Hil.","M. Gibram","70","1990","05","South America","Brazil","Espírito Santo","Itapemirim","Itaoca","-40.8339","-21.0111","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402087' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406985","NY00406985_01","P. A. Fryxell","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2099777","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","alnifolia","Pavonia alnifolia","A.St.-Hil.","Collector unspecified","s.n.","1992","09","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico do Rio de Janeiro.","-43.2075004577637","-22.9027996063232","sheet","Cultivated. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2244014' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099777","NY02099777_01",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","406989","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","alnifolia","Pavonia alnifolia","A.St.-Hil.","J. R. Pirani","3593","1995","02","South America","Brazil","Espírito Santo","Itapemirim","Estrada para Marataízes, perto do lixao, a ca. 3 km N de Marataízes","-40.8339","-21.0111","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402089' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406989","NY00406989_01",NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1181832","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","alnifolia","Pavonia alnifolia","A.St.-Hil.","W. W. Thomas","13743","2004","01","South America","Brazil","Minas Gerais","Salto da Divisa","Estação Repetidora de Salto da Divisa, 1.9 km S of road from Salto da Divisa to Itajimirim, 7.1 km E of Salto da Divisa.","-39.9214","-16.0286","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797023' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181832","NY01181832_01","P. A. Fryxell","31",NA,NA,"495","495",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","406984","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","alnifolia","Pavonia alnifolia","A.St.-Hil.","A. P. Duarte","6230","1962","01","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Restinga de Jacarepaguá","-43.397161","-23.010952","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402086' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406984","NY00406984_01","P. A. Fryxell","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1114013","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","alnifolia","Pavonia alnifolia","A.St.-Hil.","G. G. Hatschbach","71533","2000","10","South America","Brazil","Espírito Santo","Itapemirim","Região do Gomes","-40.8339","-21.0111","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1256941' target='other'> <mi>dwc_moreinfo</mi></a>","NY01114013","NY01114013_01","A. Krapovickas","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","406987","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","alnifolia","Pavonia alnifolia","A.St.-Hil.","V. C. Souza","230","1991","10","South America","Brazil","Espírito Santo","Itapemirim","Sôto","-40.8339","-21.0111","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402084' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406987","NY00406987_01","P. A. Fryxell","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:31:16-03","UFRJ","RFA","16430","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","alnifolia","Pavonia alnifolia","A.St.-Hil.","P. Occhioni","7363","1975","05",NA,"Brasil","Espírito Santo","Espírito Santo","Estrada Guarapari - Marataizes, km 30",NA,NA,NA,"Arbusto ramificada; flores róseas","RFA44997",NA,"A. Krapovickas",NA,NA,NA,NA,NA,"1975",NA,NA,NA,NA,NA,NA,NA,NA,NA
