"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","minimumElevationInMeters","imagecode","decimalLongitude","decimalLatitude","maximumElevationInMeters","county","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","typeStatus","individualCount"
"1","2020-09-23 10:41:32-03","E","E","287814","PreservedSpecimen","Plantae","Melastomataceae","Miconia","macrothyrsa","Miconia macrothyrsa","McDowell, T.","1942","1990","02","19","E. Tropical South America","GY","herbarium specimen of unspecif","BGBASE:302439","<a href=http://data.rbge.org.uk/herb/E00287814 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00287814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:33-03","E","E","55479","PreservedSpecimen","Plantae","Melastomataceae","Miconia","macrothyrsa","Miconia macrothyrsa","Ratter, J.A.; Bridgewater, S. & Filho, J. Fonsêca",NA,"1997","08","03","E. Tropical South America","BR","fruit collection/cone collecti","BGBASE:61949","<a href=http://data.rbge.org.uk/herb/E00055479 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00055479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:32-03","E","E","100040","PreservedSpecimen","Plantae","Melastomataceae","Miconia","macrothyrsa","Miconia macrothyrsa","Ratter, J.A.; Bridgewater, S. & Filho, J. Fonsêca",NA,"1999","04","18","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109329","<a href=http://data.rbge.org.uk/herb/E00100040 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:32-03","E","E","206995","PreservedSpecimen","Plantae","Melastomataceae","Miconia","macrothyrsa","Miconia macrothyrsa","Farias, R.; De Carvalho, A.M.; De Carvalho, J.A.; De Carvalho, V.M.; Milhomens Fonseca, L.C.; Proença, C.; Potzernheim, M.L.; Rosa Cardosa, O.G.","1998","1998","09","06","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217741","<a href=http://data.rbge.org.uk/herb/E00206995 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00206995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:33-03","E","E","56459","PreservedSpecimen","Plantae","Melastomataceae","Miconia","macrothyrsa","Miconia macrothyrsa","Ratter, J.A.; Bridgewater, S. & Filho, J. Fonsêca",NA,"1997","11","02","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:63454","<a href=http://data.rbge.org.uk/herb/E00056459 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00056459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:33-03","E","E","55805","PreservedSpecimen","Plantae","Melastomataceae","Miconia","macrothyrsa","Miconia macrothyrsa","Ratter, J.A.; Bridgewater, S. & Filho, J. Fonsêca",NA,"1997","11","06","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:62919","<a href=http://data.rbge.org.uk/herb/E00055805 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00055805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00924854","PreservedSpecimen","Plantae","Melastomataceae","Miconia","macrothyrsa","Miconia macrothyrsa","H. S. Irwin","34832","1972","01","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992693' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924854","Magnoliophyta","Myrtales","Benth.","J. J. Wurdack","Goiás","ca. 14 km S. of Niquelândia.","750","NY00924854_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00924842","PreservedSpecimen","Plantae","Melastomataceae","Miconia","macrothyrsa","Miconia macrothyrsa","J. B. E. Pohl","618","1818","10",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992650' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924842","Magnoliophyta","Myrtales","Benth.",NA,"Minas Gerais","In campis herbidis ad Bambuia et Villa rica.",NA,"NY00924842_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3358635","PreservedSpecimen","Plantae","Melastomataceae","Miconia","macrothyrsa","Miconia macrothyrsa","C. E. O. Kuntze","1083",NA,NA,NA,"South America","Trinidad and Tobago","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3688610' target='other'> <mi>dwc_moreinfo</mi></a>","NY03358635","Magnoliophyta","Myrtales","Benth.",NA,NA,"Arima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-26 23:50:00-03","NY","NYBG","1652985","PreservedSpecimen","Plantae","Melastomataceae","Miconia","macrothyrsa","Miconia macrothyrsa","F. H. F. Oldenburger","ON571","1968","11","27","South America","Suriname","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1189158' target='other'> <mi>dwc_moreinfo</mi></a>","NY01652985","Magnoliophyta","Myrtales",NA,"R. Norde",NA,"Sipaliwini savanna area on Brazilian frontier. On 'Sipaliwini' savanna hill.","325","NY01652985_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
