"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","infraspecificEpithet","relationshipType","relatedCatalogItem","fieldNumber","previousCatalogNumber","typeStatus"
"1","2021-04-05 14:25:43-03","UNESC","CRI","12112","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","harrisoniae","Bifrenaria harrisoniae","(Hook.) Rchb.f.","Korte, A","2010","11","24","Korte, A.","5121","2010","11","24","Brasil","Santa Catarina","Garuva","Estrada Bonita (Serra do Quiriri).","-48.960556","-26.100278","48º57'38''W","26º6'1''S","800","800","Florística IFFSC 1066b (Epífita) Habitat: Floresta Ombrófila Densa; Estágio Primário Habito: epífita; flor rosa","CRI010290","CRI010290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:50-03","UNESC","CRI","12926","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","harrisoniae","Bifrenaria harrisoniae","(Hook.) Rchb.f.","Alexandre Medeiros","2017","11","15","Alexandre Medeiros",NA,"2017","11","15","Brasil","Santa Catarina","Balneário Camboriú","Barra","-48.637778","-27.001389","48º38'16''W","27º0'5''S",NA,NA,"Coleta 779. Flores brancas e lilás. Habito: Epífita","CRI011534","CRI011534",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:50-03","UNESC","CRI","8725","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","harrisoniae","Bifrenaria harrisoniae","(Hook.) Rchb.f.","Jorge Waechter","2010","09","01","Emilaine Biava Dalmolim; Telma Elyta Vilhalba Azeredo",NA,"2010","01","22","Brasil","Santa Catarina","Nova Veneza",NA,"-49.500833","-28.636944","49º30'3''W","28º38'13''S",NA,NA,NA,"CRI005880","CRI005880",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","686273","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","harrisoniae","Bifrenaria harrisoniae","(Hook.) Rchb.f.","F. W. L. Kraenzlin",NA,NA,NA,"P. K. H. Dusén","6980","1908","11","02","Brazil","Paraná","Ipiranga","Serra do Mar, Ypiranga","-50.5842","-25.0242",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=830279' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686273","NY00686273_01","Magnoliophyta","Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","686274","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","harrisoniae","Bifrenaria harrisoniae","(Hook.) Rchb.f.","P. K. H. Dusén",NA,NA,NA,"P. K. H. Dusén","15749","1914","10","21","Brazil","Paraná",NA,"Villa Velha","-50.012929","-25.234872",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=830280' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686274","NY00686274_01","Magnoliophyta","Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-04 15:26:31-03","PUCPR","HUCP","22738","S","Plantae","Orchidaceae","Bifrenaria","harrisoniae","Bifrenaria harrisoniae","(Hook.) Rchb. f.","Kersten, RA",NA,NA,NA,"Kersten, RA","1410","2010","11","16","Brasil","Paraná","Piraquara",NA,"-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,NA,"HUCP00002992","HUCP00002992","Monocotiledonea",NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:26:31-03","PUCPR","HUCP","21805","S","Plantae","Orchidaceae","Bifrenaria","harrisoniae","Bifrenaria harrisoniae","(Hook.) Rchb. f.","Kersten, RA",NA,NA,NA,"Kersten, RA","1404","2009","10","30","Brasil","Paraná","Piraquara",NA,"-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,NA,"HUCP00002710","HUCP00002710","Monocotiledonea",NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:26:31-03","PUCPR","HUCP","20970","S","Plantae","Orchidaceae","Bifrenaria","harrisoniae","Bifrenaria harrisoniae","(Hook.) Rchb. f.","Kersten, RA",NA,NA,NA,"Kersten, RA","1410","2009","11","18","Brasil","Paraná","Piraquara","Reserva Cayuguava","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,NA,"HUCP00002937","HUCP00002937","Monocotiledonea",NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA
"9","2019-12-04 15:26:31-03","PUCPR","HUCP","21166","S","Plantae","Orchidaceae","Bifrenaria","harrisoniae","Bifrenaria harrisoniae","(Hook.) Rchb. f.","Lemos, JV",NA,NA,NA,"Lemos, JV","025","2007","11","18","Brasil","Paraná","Pontal do Paraná","Rio Guaraguaçu","-48.511100769043","-25.6735992431641",NA,NA,NA,NA,NA,"HUCP00002885","HUCP00002885","Monocotiledonea",NA,NA,NA,"19508","auto",NA,NA,NA,NA,NA,NA,NA
"10","2019-12-04 15:26:31-03","PUCPR","HUCP","18665","S","Plantae","Orchidaceae","Bifrenaria","harrisoniae","Bifrenaria harrisoniae","(Hook.) Rchb. f.","Kersten, RA","2008","07","25","Selusniaki, M","1396","2007","10","27","Brasil","Paraná","Quatro Barras","Morro do Anhangava","-49.0769004821777","-25.3656005859375",NA,NA,NA,NA,NA,"HUCP00002827","HUCP00002827","Monocotiledonea",NA,NA,NA,"17116","auto",NA,NA,NA,NA,NA,NA,NA
