"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","identifiedBy","month","day","county","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","individualCount","dayIdentified","class","fieldNumber","sex"
"1","2016-10-19 10:48:00-02","NY","NYBG","25065","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Bulbostylis","fendleri","Bulbostylis fendleri","type fragment","A. Fendler","1592","1854","South America","Venezuela","Aragua","Tovar","-67.285333","10.408256","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=52732' target='other'> <mi>dwc_moreinfo</mi></a>","NY00025065","NY00025065_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-10-19 10:48:00-02","NY","NYBG","25064","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Bulbostylis","fendleri","Bulbostylis fendleri","isotype","A. Fendler","1592","1854","South America","Venezuela","Aragua","Prope coloniam Tovar","-67.2894","10.4056","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=52731' target='other'> <mi>dwc_moreinfo</mi></a>","NY00025064","NY00025064_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","539198","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Bulbostylis","fendleri","Bulbostylis fendleri",NA,"T. M. Koyama","13844","1970","South America","Brazil","Paraná","Road from Curitiba to Vila Vellia, Fazenda Santo Amelia, Highway BR at Km 70.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548410' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539198","NY00539198_01 NY00539198_02 NY00539198_03","C.B.Clarke","A. P. do N. Prata","03","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-10-19 10:48:00-02","NY","NYBG","7487","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Bulbostylis","fendleri","Bulbostylis fendleri","possible type","A. Fendler","s.n.","1854","South America","Venezuela",NA,"Tovar",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=52733' target='other'> <mi>dwc_moreinfo</mi></a>","NY00007487","NY00007487_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-02 16:28:45-03","CPAN-UFMS","COR","4231","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Bulbostylis","fendleri","Bulbostylis fendleri",NA,"Bortolotto, I. M.; Damasceno-Júnior, G. A.; Albuquerque, M. M. & Albuquerque, E.",NA,"1996",NA,"Brasil","Mato Grosso do Sul","Morro do Urucum","-57.601389","-19.180556",NA,"Erva Habito: Erva",NA,NA,"C.B.Clarke","Prata, A. P.","06","12","Ladário","57º36'5''W","19º10'50''S","644","644",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-20 21:16:46-03","UFV","VIC","032404","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Bulbostylis","fendleri","Bulbostylis fendleri",NA,"Longhi- Wagner","10003","2006",NA,"Brasil","Minas Gerais","Serra de Ouro Branco - Área 1","-43.6918983459473","-20.5207996368408",NA,"Inflorescência bem laxa.","VIC032404","VIC032404","C.B.Clarke",NA,"01","09","Ouro Branco",NA,NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA,NA
"7","2019-11-27 13:47:19-03","UFS","ASE","30647","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cyperaceae","Bulbostylis","fendleri","Bulbostylis fendleri",NA,"Irwin, HS; Maxell, H; Wasshausen, DC","19710","1968","Southern America","Brasil","Minas Gerais","Serra do Itabirito, Ca. 45 km SE of Belo Horinzonte.","-43.937778","-19.921111",NA,"Sandy slopes, and outcrops.","ASE0002248","ASE0002248","C.B. Clarke","Prata, AP","02","09","Itabirito","-43.937778","-19.921111","11500","11500",NA,NA,"2001","10",NA,NA,NA,NA,NA
"8","2019-11-27 13:47:19-03","UFS","ASE","13292","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cyperaceae","Bulbostylis","fendleri","Bulbostylis fendleri",NA,"Almeida, SP","824","1984","Southern America","Brasil","Distrito Federal","CPAC. chapada entre Sobradinho e CPAC à direita da rodovia.","-47.639319","-15.485619",NA,"Erva com cerca de 80 cm de altura, inflorescência de panicula amarronzada, anteras amarelas.; Erva com cerca de 80 cm de altura, inflorescência de panicula amarronzada, anteras amarelas.; Cerrado","ASE0020694","ASE0020694","C.B. Clarke","Prata, AP","01","21","Planaltina","-47.639319","-15.485619","1175","1200",NA,NA,"2001",NA,NA,NA,NA,NA,NA
"9","2019-11-27 13:47:19-03","UFS","ASE","10360","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cyperaceae","Bulbostylis","fendleri","Bulbostylis fendleri",NA,"Mantovani, W","1373","1980","Southern America","Brasil","São Paulo","Martinho Prado, Reserva Biológica da Fazenda Campi","-46.5632","-22.2221",NA,". Inflorescências até 0,4m de altura.; . Inflorescências até 0,4m de altura.","ASE0019158","ASE0019158","C.B. Clarke","Mantovani, W","11","19","Moji Guaçu","-46.5632","-22.2221",NA,NA,NA,NA,"1986","07",NA,NA,NA,NA,NA
"10","2019-08-20 12:04:41-03","UFLA","ESAL","31539","S","Plantae",NA,NA,"Cyperaceae","Bulbostylis","fendleri","Bulbostylis fendleri",NA,"Arruda, I A C; Martins, C P V","407","2016",NA,"Brasil","Minas Gerais","Serra do Ouro Grosso","-44.6725","-21.307944",NA,"Erva, 30cm, brácteas amarronzadas e anteras creme.; Campo Rupestre, campo geral arenoso.",NA,NA,"C.B.Clarke","Gonçalves, J","01","24","Itutinga","-44.6725","-21.307944","986","986",NA,NA,"2017","03",NA,NA,NA,NA,NA
