"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","class","individualCount","fieldNumber","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","469295","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","weddellii","Nectandra weddellii","Meisn.","A. F. M. Glaziou","12129","1880","08","08","South America","Brazil","Rio de Janeiro","Nova Friburgo","Nova Friburgo","-42.5308","-22.2819","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=615386' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469295","NY00469295_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00469280","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","weddellii","Nectandra weddellii","Meisn.","Guerra","32",NA,NA,NA,"South America","Brazil","Mato Grosso",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=615387' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469280","NY00469280_01","J. G. Rohwer",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","469281","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","weddellii","Nectandra weddellii","Meisn.","P. Clausen","1",NA,NA,NA,"South America","Brazil","Rio de Janeiro","Nova Friburgo","Novo Friburgo","-42.5308","-22.2819","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=615385' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469281","NY00469281_01","J. G. Rohwer",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","355528","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","weddellii","Nectandra weddellii","Meisn.","H. A. Weddell","1135",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","Comm. am. DC. 1862 (ex Hb. Mus. Paris!) <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=615388' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355528","NY00355528_01",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:36:00-03","NBC","NL-BOTANY","U.1417194","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Nectandra","weddellii","Nectandra weddellii","Meisn.","Brade AC",NA,"1929","10","05","Southern America","Brazil",NA,NA,"Estado d Rio de Janeiro: Thereopolis, Varzea.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1417194 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1417194","NL-U1417194",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:36:00-03","NBC","NL-BOTANY","U.1417196","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Nectandra","weddellii","Nectandra weddellii","Meisn.","Unknown",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Muas Geraes: Joao Ayreo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1417196 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1417196","NL-U1417196",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"7","2015-09-03 19:11:44-03","MNHN","RECOLNAT_MNHN_P","P02006916","PreservedSpecimen",NA,NA,NA,"Lauraceae","Nectandra","weddellii","Nectandra weddellii","Meisn.","Claussen",NA,NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02006916' target='other'> <mi>dwc_moreinfo</mi></a>","P02006916","P02006916_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2009-07-27 09:36:00-03","MO","MOBOT","1819385","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Nectandra","weddellii","Nectandra weddellii","Meisn.","Auguste F.M. Glaziou","Glaziou 12130","1861",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"J.G. Rohwer (HBG)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2011-02-18 15:11:00-02","MO","MOBOT","1819386","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Nectandra","weddellii","Nectandra weddellii","Meisn.","Apparicio P. Duarte","Duarte 9240","1965","10","12","South America","Brazil","Minas Gerais",NA,"Barbacena",NA,NA,NA,NA,NA,NA,"J.G. Rohwer (HBG)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2009-10-20 18:52:00-02","MO","MOBOT","1819387","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Nectandra","weddellii","Nectandra weddellii","Meisn.","Hugh A. Weddell","Weddell 1135","1858",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-09-12 05:00:02-03","US","US","483678","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Nectandra","weddellii","Nectandra weddellii","Meisn.","A. F. M. Glaziou","7808","1874","10",NA,"South America - Neotropics","Brazil","Teresópolis",NA,NA,NA,NA,NA,NA,"US01322172","US01322172_01",NA,NA,"Dicotyledonae","1",NA,NA,NA,NA,NA,NA
"12","2019-09-04 19:43:02-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Lauraceae","Nectandra","weddellii","Nectandra weddellii",NA,"H. A. Weddell","1135","1856",NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"Holotype","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA
"13","2018-05-14 17:22:35-03","F","FMNH-SEEDPLANTS","V0155548F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lauraceae","Nectandra","weddellii","Nectandra weddellii",NA,"A. Glaziou","12129",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"V0155548F","V0155548F_01 V0155548F_02","RRC ID Flag",NA,"Dicotyledoneae",NA,"12129",NA,NA,NA,NA,NA
"14","2017-09-11 17:10:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lauraceae","Nectandra","weddellii","Nectandra weddellii","Meisn.","Weddell, HA","1135",NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,"circa Barbacena, prov. Minarum",NA,NA,NA,"Oreas; HABITAT: Oreas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2014-09-23 11:01:43-03","G","G-DC","G00131255","S","Plantae",NA,NA,"Lauraceae","Nectandra","weddellii","Nectandra weddellii","Meisn.","Weddell, H. A.","1135","1858",NA,"00","AMERIQUE DU SUD","Brazil",NA,NA,NA,"-53.08972222","-10.77305556",NA,"Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=150933&base=img&lang=en","G00131255","G00131255","CAT.HERB.PRODR.","HOLOTYPUS of Nectandra weddellii Meisn.",NA,NA,NA,"2008","01","01","-53.08972222","-10.77305556"
