"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","preparationType","class","order","individualCount"
"1","2021-04-08 17:41:48-03","EAO","IAN","14100","PreservedSpecimen","Plantae","Dicotiledônea","Leguminosae-Pap.","Lupinus","laevigatus","Lupinus laevigatus","Benth.","Barreto, M","Magalhães, MG","1425","1942","02","16","Southern America","Brasil","Minas Gerais","Nova Lima","Canga - Sera do Curral.","-43.8466987609863","-19.9855995178223","29211","IAN014100","IAN014100 IAN014100_e","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:41:48-03","EAO","IAN","14203","PreservedSpecimen","Plantae","Dicotiledônea","Leguminosae-Pap.","Lupinus","laevigatus","Lupinus laevigatus","Benth.","Barreto, M","Magalhães, MG","945","1941","07","18","Southern America","Brasil","Minas Gerais","Nova Lima","Canga. Serra do Curral.","-43.8466987609863","-19.9855995178223","29211","IAN014203","IAN014203 IAN014203_e","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:09:44-03","ESALQ","ESA","78958","PreservedSpecimen","Plantae","Magnoliophyta","Fabaceae","Lupinus","laevigatus","Lupinus laevigatus","Benth.",NA,"Barreto, M.","10849.0","1940","07","28",NA,"Brasil","Minas Gerais","Belo Horizonte",NA,"-43.937801361084","-19.9207992553711","17082","ESA078958","ESA078958","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:29:40-03","MN","R","33195","PreservedSpecimen","Plantae",NA,"Fabaceae","Lupinus","laevigatus","Lupinus laevigatus","Benth.","Mello Barreto, H.L.","Mello Barreto, H.L.","5447","1933","05","19",NA,"Brasil","Minas Gerais","Belo Horizonte",NA,"-43.937801361084","-19.9207992553711","17082",NA,NA,"auto","Jardim Botânico de Belo Horizonte.",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:29:40-03","MN","R","131040","PreservedSpecimen","Plantae",NA,"Fabaceae","Lupinus","laevigatus","Lupinus laevigatus","Benth.",NA,"Williams, L.O.; Assis, V.","7275","1945","06","03",NA,"Brasil","Minas Gerais","Betim",NA,"-44.198299407959","-19.9678001403809","15199",NA,NA,"auto","Collected for the Arnold Arboretum; distributed by the Gray Herbarium.","1000","1000",NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:36:49-03","UFJF","CESJ","37025","PreservedSpecimen","Plantae","Angiosperma","Fabaceae","Lupinus","laevigatus","Lupinus laevigatus","Benth.","H.L. Mello Barreto","H.L. Mello Barreto","10849","1940","07","28","América do Sul","Brasil","Minas Gerais","Belo Horizonte","Serra da Mutuca","-43.937801361084","-19.9207992553711","17082","CESJ037025",NA,"auto","Campo pedregoso, arbusto 0,50 - unicaule. Flor azul, muito frequente.",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:26:57-03","MBM","MBM","260179","PreservedSpecimen","Plantae",NA,"Fabaceae","Lupinus","laevigatus","Lupinus laevigatus","Benth.","Mello Barreto","Mello Barreto","10848","1940","07","28","Southern America","Brazil","Minas Gerais","Belo Horizonte","Serra da Mutuca","-43.937801361084","-19.9207992553711","17082","MBM260179","MBM260179","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-09-04 12:47:13-03","MNHN","RECOLNAT_MNHN_P","P00542085","PreservedSpecimen",NA,NA,"Fabaceae","Lupinus","laevigatus","Lupinus laevigatus","Benth.",NA,"Claussen, P.",NA,"1838",NA,NA,NA,"Brésil",NA,NA,"Minas Geraes",NA,NA,NA,"P00542085","P00542085_01",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00542085' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"holotype","921","hb",NA,NA,NA
"9","2020-12-11 11:36:07-03","UFMG","BHCB","66228","PreservedSpecimen","Plantae","Dicotyledon","Fabaceae","Lupinus","laevigatus","Lupinus laevigatus","Benth.",NA,"Markgraf, F","3577",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Belo Horizonte",NA,"-43.937801361084","-19.9207992553711","17082",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","2124130","PreservedSpecimen","Plantae",NA,"Fabaceae","Lupinus","laevigatus","Lupinus laevigatus","Benth.",NA,"M. Magalhães","945","1941","7","18","South America - Neotropics","Brazil","Minas Gerais",NA,"Canga - serra do Curral - municipio de Nova Lima - pouco frequente",NA,NA,NA,"US02289541","US02289541_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","Rosales","1"
