"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","dayIdentified","coordinatePrecision","geoFlag","typeStatus","fieldNumber","preparationType","occurrenceRemarks","individualCount","minimumElevationInMeters","maximumElevationInMeters","class","order","previousCatalogNumber"
"1","2019-10-09 11:27:22-03","UFBA","ALCB","15177","PreservedSpecimen","Plantae","Monocotyledon","Araceae","Anthurium","radicans","Anthurium radicans","C. Koch & Haage","Mayo, S; Nadruz, M","1992","12","Santana, W","s/n","1976","10","22","Southern America","Brasil","Bahia","Cachoeira","Recôncavo Sul, Morro da Pedra do Cavalo, BR 101 a 3 Km da cidade","-38.95","-12.616667","-38.95","-12.616667","ALCB004895","ALCB004895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-12 18:11:50-03","UFES","VIES","36715","S","Plantae",NA,"Araceae","Anthurium","radicans","Anthurium radicans","K.Koch & Haage","R.T. Valadares","2019","08","Gurtler, J.; Morais, Q.S.; Amaral, R.N.","JAC 233","2017","10","27",NA,"Brasil","Espírito Santo","Nova Venécia","Fazenda Santa Rita. Ao pé da pedra da torre (P4).","-40.441111","-18.784444","40º26'28''W","18º47'4''S","VIES036715","VIES036715","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-12 18:11:50-03","UFES","VIES","36716","S","Plantae",NA,"Araceae","Anthurium","radicans","Anthurium radicans","K.Koch & Haage","R.T. Valadares","2019","08","Gurtler, J.; Morais, Q.S.; Amaral, R.N.","JAC 234","2017","10","27",NA,"Brasil","Espírito Santo","Nova Venécia","Fazenda Santa Rita. Ao pé da pedra da torre (P4).","-40.441111","-18.784444","40º26'28''W","18º47'4''S","VIES036716","VIES036716","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-04-27 16:08:43-03","UFES","VIES","8835","S","Plantae",NA,"Araceae","Anthurium","radicans","Anthurium radicans","K.Koch & Haage","Valadares, R.T.","2010","08","Valadares, R.T.","1155","2010","08","15",NA,"Brasil","Espírito Santo","Linhares","Flona de Goytacazes.","-40.0722007751465","-19.3910999298096",NA,NA,"VIES008835","VIES008835","15","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-04-27 16:08:43-03","UFES","VIES","39960","S","Plantae",NA,"Araceae","Anthurium","radicans","Anthurium radicans","K.Koch & Haage","R.T. Valadares","2018","02","Gomes, J.M.L.","3782","2010","08","15",NA,"Brasil","Espírito Santo","Linhares","Flora do Goytacazes.","-40.0722007751465","-19.3910999298096",NA,NA,"VIES039960","VIES039960","09","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-10-27 15:57:22-02","MNHN","RECOLNAT_MNHN_P","P02136519","PreservedSpecimen",NA,NA,"Araceae","Anthurium","radicans","Anthurium radicans","K.Koch & A.Haage",NA,NA,NA,"Engler, A.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Brasilia",NA,NA,NA,NA,"P02136519","P02136519_01 P02136519_02",NA,NA,NA,"isotype","135","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02136519' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"7","2016-10-27 15:57:23-02","MNHN","RECOLNAT_MNHN_P","P02136520","PreservedSpecimen",NA,NA,"Araceae","Anthurium","radicans","Anthurium radicans","K.Koch & A.Haage",NA,NA,NA,"Engler, A.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Brasilia",NA,NA,NA,NA,"P02136520","P02136520_01 P02136520_02",NA,NA,NA,"type","135","hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02136520' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"8","2015-09-03 19:08:59-03","MNHN","RECOLNAT_MNHN_P","P02136521","PreservedSpecimen",NA,NA,"Araceae","Anthurium","radicans","Anthurium radicans","K.Koch & A.Haage",NA,NA,NA,"Engler, A.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Brasilia",NA,NA,NA,NA,"P02136521","P02136521_01 P02136521_02",NA,NA,NA,"isotype","135","hb","Reçu le 17 février 1889 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02136521' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"9","2009-06-25 21:28:00-03","MO","MOBOT","2798037","PreservedSpecimen","Plantae",NA,"Araceae","Anthurium","radicans","Anthurium radicans","K. Koch & Haage",NA,NA,NA,"Anonymous","Anonymous s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2012-03-06 08:27:00-03","MO","MOBOT","100393425","PreservedSpecimen","Plantae",NA,"Araceae","Anthurium","radicans","Anthurium radicans","K. Koch & Haage",NA,NA,NA,"Thomas B. Croat","Croat 76139",NA,NA,NA,"South America","Ecuador",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
