"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","individualCount","class","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","779149","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ixora","gardneriana","Ixora gardneriana","Benth.","S. L. Jung-Mendaçolli","F. C. Hoehne","179","1931","12","09","South America","Brazil","São Paulo","Sao Paulo","Parque do Estado, Alto do Viveiro das Ordhidaceas, defronte da pic. C. Velloso.","-46.63","-23.5403","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801777' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779149","NY00779149_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","397969","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ixora","gardneriana","Ixora gardneriana","Benth.","P. G. Delprete","E. Amaral",NA,"1931","12","23","South America","Brazil","São Paulo","Indaiatuba","Fazenda Itatuba","-47.2097","-23.0903","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315822' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397969","NY00397969_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","397967","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ixora","gardneriana","Ixora gardneriana","Benth.","P. G. Delprete","F. C. Hoehne","28588","1931","12","09","South America","Brazil","São Paulo","Sao Paulo","Jardim Botanico","-46.618358","-23.646109","sheet","sheet 1 of 2 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315823' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397967","NY00397967_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","397968","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ixora","gardneriana","Ixora gardneriana","Benth.","P. G. Delprete","F. C. Hoehne","28588","1931","12","09","South America","Brazil","São Paulo","Sao Paulo","Jardim Botanico","-46.618358","-23.646109","sheet","sheet 2 of 2 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315824' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397968","NY00397968_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1280645","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ixora","gardneriana","Ixora gardneriana","Benth.","F. R. Di Maio","L. Y. S. Aona-Pinheiro","904","2004","11","27","South America","Brazil","Rio de Janeiro",NA,"Natividade. 10 km de Raposo na estrada de Natividade.","-42.02","-21.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1616274' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280645","NY01280645_01","220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","397758","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ixora","heterodoxa","Ixora heterodoxa","Müll.Arg.","P. G. Delprete","M. A. Assis","65","1993","01","11","South America","Brazil","São Paulo","Ubatuba","Picinguaba. Trilha Mangue doce","-45.0697","-23.4303","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=198902' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397758","NY00397758_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","687283","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ixora","heterodoxa","Ixora heterodoxa","Müll.Arg.","S. L. Jung-Mendaçolli","S. L. Jung-Mendaçolli","479","1981","11","11","South America","Brazil","São Paulo","Cananéia","Ilha do Cardoso. Coletada na Cachoeira do Engenho","-47.9197","-25.0103","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=873222' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687283","NY00687283_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","397760","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ixora","heterodoxa","Ixora heterodoxa","Müll.Arg.","P. G. Delprete","F. C. P. Garcia","305","1988","12","04","South America","Brazil","São Paulo","Ubatuba","Picinçuaba. Trilha do Morro do Corsário","-45.0697","-23.4303","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=198903' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397760","NY00397760_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","397757","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ixora","heterodoxa","Ixora heterodoxa","Müll.Arg.","P. G. Delprete","F. C. P. Garcia","402","1989","05","06","South America","Brazil","São Paulo","Ubatuba","Picinguaba. Mangue doce ao lado do Rio Picinguaba","-45.0697","-23.4303","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=198913' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397757","NY00397757_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01093033","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ixora","heterodoxa","Ixora heterodoxa","Müll.Arg.","P. G. Delprete","H. de F. Leitão Filho","20804","1988","10","04","South America","Brazil","São Paulo","Cubatao","Vale do Rio Pilões.","-46.4197","-23.89","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1246830' target='other'> <mi>dwc_moreinfo</mi></a>","NY01093033","NY01093033_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
