"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","county","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","class","individualCount","coordinatePrecision","geoFlag","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","378883","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Duguetia","dicholepidota","Duguetia dicholepidota","Mart.","P. X. He; P. J. M. Maas","R. M. Harley","18917","1977","02","22","South America","Brazil","Bahia","Serra do Açuruá. 12 km E of Gentio do Ouro on road to Boa Vista and Ibipeba","-42.4","-11.4","500","700","sheet","See fruit collection <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=644601' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378883","NY00378883_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","25902","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Duguetia","dicholepidota","Duguetia dicholepidota","Mart.",NA,"J. S. Blanchet","2828","1839",NA,NA,"South America","Brazil","Bahia","Serra de Açarna","-42.5","-11.42",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=644603' target='other'> <mi>dwc_moreinfo</mi></a>","NY00025902","NY00025902_01","isolectotype","Gentio do Ouro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","395957","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Duguetia","dicholepidota","Duguetia dicholepidota","Mart.","P. X. He; P. J. M. Maas","R. M. Harley","18917","1977","02","22","South America","Brazil","Bahia","Serra do Açuruá. 12 km E of Gentio do Ouro on road to Boa Vista and Ibipeba","-42.4","-11.4","500","700","sheet","Fruit collection <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=644602' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395957","NY00395957_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-02-02 14:37:44-02","BGBM","B","B 10 0242349","S","Plantae",NA,NA,"Annonaceae","Duguetia","dicholepidota","Duguetia dicholepidota","Mart.",NA,"J. S. Blanchet","2828",NA,NA,NA,"Middle and South America","Brazil",NA,"Sertão de Río S. Francisco.",NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100242349 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100242349","B100242349","isolectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-02-15 11:32:46-02","IPA","IPA","24660","S","Plantae","Plantae",NA,"Annonaceae","Duguetia","dicholepidota","Duguetia dicholepidota","Mart.","Harley, R.M.","Harley, R.M.","18917","1977","02","22","Southern America","Brasil","Bahia","Serra do Açuruá, 12 km E of Gentio do Ouro on road to Boa Vista and Ibipeba.","-42.4","-11.4","500","700",NA,"Shrub to 3m. Leaves strongly coriaceous, dark glossy green above, paler beneath. Outher tepals yellow green; inner yellowish with deep crimson base. Anthers crimson, stigmas pale. Fruit grey-green.; Caatinga.","IPA0024660",NA,NA,NA,"1978","06","13","-42.4","-11.4",NA,NA,NA,NA,NA,NA,NA
"6","2019-10-08 12:27:19-03","MNHN","RECOLNAT_MNHN_P","P00751074","PreservedSpecimen",NA,NA,NA,"Annonaceae","Duguetia","dicholepidota","Duguetia dicholepidota","Mart.",NA,"Blanchet, J.S.",NA,"1838",NA,NA,NA,"Brésil",NA,"Bahia, Rio S. Francisco",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00751074' target='other'> <mi>dwc_moreinfo</mi></a>","P00751074","P00751074_01","type",NA,NA,NA,NA,NA,NA,"2828",NA,NA,NA,NA,NA,NA
"7","2010-12-19 22:05:00-02","MO","MOBOT","3405215","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Duguetia","dicholepidota","Duguetia dicholepidota","Mart.",NA,"Jacques S. Blanchet","Blanchet 2828",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","2863984","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Duguetia","dicholepidota","Duguetia dicholepidota","Mart.",NA,"R. M. Harley, S. J. Mayo, R. M. Storr, T. S. Santos & R. S. Pinheiro","18917","1977","2","22","South America - Neotropics","Brazil","Bahia","12 Km E of Gentio do Ouro on road to Boa Vista and Ibipeba","-42.4","-11.4","500","700",NA,NA,"US01346060","US01346060_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA,NA
"9","2020-09-02 16:19:39-03","Cenargen","CEN","48057","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Duguetia","dicholepidota","Duguetia dicholepidota","Mart.","R. Mello-Silva","Luciano Paganucci de Queiroz","3982","1994","06","17",NA,"Brasil","BA","Cerca de 10 - 12 km E de Gentio do Ouro na estrada para Mirorós.","-42.502799987793","-11.4288997650146",NA,NA,"Exsicatas","arbusto ramificado. Folhas coriáceas. Em início de frutificação. Planta encontrada no sub - bosque da mata de cipó e no carrasco. Doação da Universidade Estadual de Feira de Santana - herbário HUEFS.","CEN00048057","CEN00048057",NA,"GENTIO DO OURO","2003","02",NA,NA,NA,NA,NA,"1","54643","auto",NA,NA
"10","2019-10-07 09:23:13-03","UEFS","HUEFS","17665","PreservedSpecimen","Plantae","Angiospermae","Magnoliales","Annonaceae","Duguetia","dicholepidota","Duguetia dicholepidota","Mart.","R.Mello-Silva","Queiroz, L.P.de","3982","1994","06","17",NA,"Brasil","Bahia","Ca. 10-12 km E de Gentio do Ouro, na estrada para Mirorós.","-42.502799987793","-11.4288997650146",NA,NA,NA,NA,"HUEFS0017665","HUEFS0017665",NA,"Gentio do Ouro","2003","02",NA,NA,NA,NA,"Magnolianae",NA,"54643","auto",NA,NA
