"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","fieldNumber","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","individualCount","typeStatus","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","1013783","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","rariflorus","Evolvulus rariflorus","(Meisn.) Ooststr.","D. F. Austin","H. S. Irwin","11220","1965","12","12","South America","Brazil","Distrito Federal","Brasília","Cerrado slopes, immediately E. of Lagôa Paranoá","-47.82397","-15.8","975","975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102443' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013783","NY01013783_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1013784","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","rariflorus","Evolvulus rariflorus","(Meisn.) Ooststr.","D. F. Austin","H. S. Irwin","12098","1966","01","28","South America","Brazil","Distrito Federal","Brasília","Ca. 25 km E. of Brasília","-47.68338","-15.7833","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102444' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013784","NY01013784_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1013787","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","rariflorus","Evolvulus rariflorus","(Meisn.) Ooststr.","M. H. Nee","H. S. Irwin","32006","1971","03","17","South America","Brazil","Goiás","Água Fria de Goiás","Serra Geral do Paraná, ca. 10 km S.of São João de Aliança","-47.5333","-14.79038","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102449' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013787","NY01013787_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1013786","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","rariflorus","Evolvulus rariflorus","(Meisn.) Ooststr.","M. H. Nee","H. S. Irwin","26616","1970","02","25","South America","Brazil","Distrito Federal","Brasília","Ca. 15 km E. of Lago Paranoá, DF-6","-47.6874","-15.73555","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102447' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013786","NY01013786_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1013785","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","rariflorus","Evolvulus rariflorus","(Meisn.) Ooststr.","M. H. Nee","H. S. Irwin","24672","1969","03","20","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 20 km south of Alto Paraíso (formerly Veadeiros)","-47.5167","-14.29747","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102445' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013785","NY01013785_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1013782","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","rariflorus","Evolvulus rariflorus","(Meisn.) Ooststr.","D. F. Austin","H. S. Irwin","10095","1965","11","08","South America","Brazil","Distrito Federal","Brasília","1 km N. of Sobradinho","-47.8167","-15.62426","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102442' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013782","NY01013782_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1013788","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","rariflorus","Evolvulus rariflorus","(Meisn.) Ooststr.","M. H. Nee","H. S. Irwin","35015","1972","01","25","South America","Brazil","Goiás","Niquelândia","ca. 5 km W. of Niquelândia","-48.49637","-14.45","750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102451' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013788","NY01013788_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:34:14-03","NBC","NL-BOTANY","L.2741022","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Evolvulus","rariflorus","Evolvulus rariflorus","(Meisn.) Ooststr.",NA,"Burchell WJ",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2741022 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2741022","NL-L2741022","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-09-04 12:48:37-03","MNHN","RECOLNAT_MNHN_P","P03545473","PreservedSpecimen",NA,NA,NA,"Convolvulaceae","Evolvulus","rariflorus","Evolvulus rariflorus","(Meisn.) Ooststr.","Simão-Bianchini","Glaziou, A.",NA,"1895","2","4",NA,"Brasil",NA,NA,"Brésil: (Goyaz) Prés de Formosa, entre les roches. Brasil, América do Sul",NA,NA,NA,NA,"hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03545473' target='other'> <mi>dwc_moreinfo</mi></a>","P03545473","P03545473_01",NA,"21806",NA,NA,NA,NA,NA,NA,NA
"10","2015-09-04 12:48:37-03","MNHN","RECOLNAT_MNHN_P","P03545474","PreservedSpecimen",NA,NA,NA,"Convolvulaceae","Evolvulus","rariflorus","Evolvulus rariflorus","(Meisn.) Ooststr.","Simão-Bianchini","Glaziou, A.",NA,"1895","2","4",NA,"Brasil","Goiás",NA,"Prés de Formosa.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03545474' target='other'> <mi>dwc_moreinfo</mi></a>","P03545474","P03545474_01",NA,"21806",NA,NA,NA,NA,NA,NA,NA
