"record_id","modified","institutionCode","collectionCode","basisOfRecord","kingdom","phylum","class","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","decimalLongitude","decimalLatitude","catalogNumber","identifiedBy","year","month","day","stateProvince","county","verbatimLongitude","verbatimLatitude","relatedCatalogItem","scientificNameAuthorship","yearIdentified","locality","barcode"
"1","2019-09-04 19:41:20-03","F","FMNH-SEEDPLANTS","PreservedSpecimen","Plantae","Spermatophyta","Dicotyledoneae","Melastomataceae","Fritzschia","bahiana","Fritzschia bahiana","Holotype","E. H. G. Ule","7335","South America","Brazil","-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-07-23 12:12:59-03","CEPLAC","CEPEC","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Marcetia","bahiana","Marcetia bahiana",NA,"M. L. Guedes","2732",NA,"Brasil","-40.809167","-11.154167","71508","A. B. Martins","1996","03","31","Bahia","JACOBINA","40W48'33","11S9'15","30/12/1999",NA,NA,NA,NA
"3","2020-07-23 12:12:59-03","CEPLAC","CEPEC","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Marcetia","bahiana","Marcetia bahiana",NA,"E. N. Lughadha","5956",NA,"Brasil","-41.207222","-11.590556","74360","A. B. Martins","1997","01","01","Bahia","MORRO DO CHAPÉU","41W12'26","11S35'26","30/12/1999",NA,NA,NA,NA
"4","2014-10-09 13:58:24-03","UHH","HBG","S","Plantae",NA,NA,"Melastomataceae","Fritzschia","bahiana","Fritzschia bahiana","Type","Ule, E.","7335","South America","Brazil",NA,NA,"522813","Wurdack, J.J.","1906","11",NA,NA,NA,NA,NA,NA,"Ule","1984","Estado de Bahia, Serra da Sincora, in Felsenschluchten","HBG522813"
