"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","typeStatus","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","individualCount"
"1","2020-09-23 10:37:43-03","E","E","202923","PreservedSpecimen","Plantae","Compositae","Ichthyothere","elliptica","Ichthyothere elliptica","Proença, C.; Oliveira, R.S.; Clemente, C.M.; Ribeiro, J.F.","2077","1999","02","06","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217555","<a href=http://data.rbge.org.uk/herb/E00202923 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","846266","PreservedSpecimen","Plantae","Asteraceae","Ichthyothere","elliptica","Ichthyothere elliptica","W. R. Anderson","8126","1973","04","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929909' target='other'> <mi>dwc_moreinfo</mi></a>","NY00846266","Magnoliophyta","Asterales","H.Rob.","J. B. A. Bringel","isotype","Goiás","Cristalina","Southern edge of Cristalina. Serra dos Cristais.","-47.6","-16.78","1250","1250","NY00846266_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","797980","PreservedSpecimen","Plantae","Asteraceae","Ichthyothere","elliptica","Ichthyothere elliptica","J. B. E. Pohl","863",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479729' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797980","Magnoliophyta","Asterales","H.Rob.","J. B. A. Bringel",NA,NA,NA,"Serra de Chrystaes",NA,NA,NA,NA,"NY00797980_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","846376","PreservedSpecimen","Plantae","Asteraceae","Ichthyothere","elliptica","Ichthyothere elliptica","H. S. Irwin","9825","1965","11","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929448' target='other'> <mi>dwc_moreinfo</mi></a>","NY00846376","Magnoliophyta","Asterales","H.Rob.","J. F. Pruski",NA,"Goiás","Cristalina","Serra dos Cristais. 3 km W. of Cristalina","-47.62814","-16.75","1175","1175","NY00846376_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:29:16-03","UFRJ","RFA","7286","PreservedSpecimen","Plantae","Asteraceae","Ichthyothere","elliptica","Ichthyothere elliptica","P. Occhioni","2065","1960","12","16",NA,"Brasil",NA,NA,"Flores alvas, tóxicas","RFA26870",NA,NA,"H.Rob.","V.R. Bueno",NA,"Distrito Federal","Brasília",NA,"-47.9296989440918","-15.7797002792358",NA,NA,NA,"2018","12","12","70570","auto",NA,NA,NA,NA
"6","2021-03-21 19:32:55-03","UFC","EAC","32817","PreservedSpecimen","Plantae","Asteraceae","Ichthyothere","elliptica","Ichthyothere elliptica","Oliveira, R.S.; Proença, C.; Clemente, C.M.; Ribeiro, J.F.","s.n.","1999","02","06","Southern America","Brasil",NA,NA,"Erva;&nf;Flor alva.; Campo úmido","EAC0032817","Dicotyledon",NA,"H. Robinson","Proença, C.",NA,"Distrito Federal","Brasília","próximo ao Posto Colorado-Chácara FTRC","-48","-15",NA,NA,"EAC0032817","1999",NA,NA,NA,NA,"-48","-15",NA,NA
"7","2020-10-01 14:15:31-03","JBB","HEPH","30071","S","Plantae","Asteraceae","Ichthyothere","elliptica","Ichthyothere elliptica","Chacon, RG; Carneiro, DC; Carvalho, FJ de; Gomes, BM","1077","2013","09","02","Southern America","Brasil",NA,NA,NA,NA,"Dicotyledon","Asterales","H.Rob.","Gomes, BM",NA,"Goiás","Cristalina","Ao lado esquerdo da BR-040 sentido BSB-Cristalina","-47.475586","-16.844314","982","982",NA,"2013","09","20",NA,NA,"-47.475586","-16.844314",NA,NA
"8","2020-12-11 11:33:02-03","UFMG","BHCB","135275","PreservedSpecimen","Plantae","Asteraceae","Ichthyothere","elliptica","Ichthyothere elliptica","Mendes, MS; Carvalho, WAC","s.n.","2008","01","23","Southern America","Brasil",NA,NA,"Cerrado, herbáceo",NA,"Dicotyledon",NA,"H.Rob.",NA,NA,"Minas Gerais","Três Marias","Votorantin Metais.","-45.232778","-18.185","525","525",NA,NA,NA,NA,NA,NA,"-45.232778","-18.185",NA,NA
"9","2020-12-11 11:33:02-03","UFMG","BHCB","185274","PreservedSpecimen","Plantae","Asteraceae","Ichthyothere","elliptica","Ichthyothere elliptica","Rezende, SG; Justo, AG","5934","2015","03","31","Southern America","Brasil",NA,NA,"Herbáceo; Campo sujo","BHCB185274","Dicotyledon",NA,"H.Rob.",NA,NA,"Minas Gerais","Itabirito","Pico do Itabirito","-43.863611","-20.264722","1200","1340",NA,NA,NA,NA,NA,NA,"-43.863611","-20.264722",NA,NA
"10","2010-10-07 15:39:00-03","MO","MOBOT","3265939","PreservedSpecimen","Plantae","Asteraceae","Ichthyothere","elliptica","Ichthyothere elliptica","Howard S. Irwin|R. Souza|R. Reis dos Santos","Irwin 9825","1965",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"H. Rob.",NA,NA,"Goiás",NA,"Frequent. Cerrado, 3 km. west of Cristalina.",NA,NA,"1175.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
