"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","typeStatus","verbatimLongitude","verbatimLatitude","dayIdentified","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1184202","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Trembleya","hatschbachii","Trembleya hatschbachii","Wurdack","J. R. Pirani","R. C. Forzza","4897","2007","11","18","South America","Brazil","Minas Gerais","Botumirim","Estrada para o Rio do Peixe, entrada a 2.2 km de Botumirim, em frente à fazenda Botafogo, 4 km do início da estrada.","-42.9917","-16.8867","785","785","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1465526' target='other'> <mi>dwc_moreinfo</mi></a>","NY01184202","NY01184202_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00941984","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Trembleya","hatschbachii","Trembleya hatschbachii","Wurdack","J. J. Wurdack","G. G. Hatschbach","41337","1978","04","21","South America","Brazil","Minas Gerais","Grão Mogol","Rio Itacambiruçu","-42.8894","-16.5594",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022655' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941984","NY00941984_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:13:53-03","ESALQ","ESA","62150","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Trembleya","hatschbachii","Trembleya hatschbachii",NA,NA,"Hatschbach, G. et al.","52005.0","1988","05","15",NA,"Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"ESA062150",NA,"67219","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:13:53-03","ESALQ","ESA","62012","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Trembleya","hatschbachii","Trembleya hatschbachii","Wurdack & E. Martins","Wurdack, J.J.","Hatschbach, G.","41337.0","1978","04","21",NA,"Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"ESA062012","ESA062012","67219","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:18:26-03","UFV","VIC","45806","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Trembleya","hatschbachii","Trembleya hatschbachii","Wurdack & E. Martins",NA,"Hatschbach, G.; et al.","52005","1988","05","15",NA,"Brasil","Minas Gerais","Grão Mogol","Rio das Mortes","-42.8897018432617","-16.5594005584717",NA,NA,NA,"Arbusto, 1,50m, campo rupestre; ao longo do rio encachoeirado. Flores amarelas.; Flores amarelas.; Arbusto, 1,50m, campo rupestre; ao longo do rio encachoeirado.","VIC045806","VIC045806","67219","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:35:27-03","UNICAMP","UEC","11182","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Trembleya","hatschbachii","Trembleya hatschbachii","Wurdack & E.Martins","Versiane, AFA","Leitão, MF; Andrade, JB; Milanez, AC","7893","1978","05","22",NA,"Brazil","Minas Gerais","Grão Mogol","Est. MG, Rod. Francisco de Sá, Grão Mogol, alt. 950m. Campo rupestre a beira de local úmido.","-42.916667","-16.6","950","950",NA,"Arbusto até 1,2m; flores amarelas, muito ornamentais.; Campo rupestre","UEC116666","UEC116666",NA,NA,"2015","10","paratypus","-42.916667","-16.6",NA,NA,NA,NA
"7","2021-03-01 16:35:27-03","UNICAMP","UEC","143411","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Trembleya","hatschbachii","Trembleya hatschbachii","Wurdack & E.Martins","Martins, E","Bidá, A; Zappi, DC; Prado, J; Queiroz, R; Barreto, R","11951","1988","05","26",NA,"Brazil","Minas Gerais","Grão Mogol","Grão Mogol, Corrégo Escuro","-42.95","-16.583333",NA,NA,NA,"Arbusto ca. 1,5m alt. às margens do córrego, flores marelo-claras, tecas avermelhadas",NA,NA,NA,NA,"1993","06",NA,"-42.95","-16.583333",NA,NA,NA,NA
"8","2021-03-01 16:35:27-03","UNICAMP","UEC","154909","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Trembleya","hatschbachii","Trembleya hatschbachii","Wurdack & E.Martins","Pacifico, R","Meireles, LD; Mansanares, ME; Verola, CF; Azevedo, MT; Belinello, R","1124","2002","07","27",NA,"Brazil","Minas Gerais","Grão Mogol","Morro do Jambeiro, 12km.","-42.962639","-16.605056","760","760",NA,"Arbusto 1m alt. Flores amarelo claro.","UEC045539","UEC045539",NA,NA,"2015","04",NA,"-42.962639","-16.605056",NA,NA,NA,NA
"9","2021-03-01 16:35:27-03","UNICAMP","UEC","196345","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Trembleya","hatschbachii","Trembleya hatschbachii","Wurdack & E.Martins","Martins, E","Oliveira, AA; et al.","CFCR12997","1990","06","14",NA,"Brazil","Minas Gerais","Grão Mogol","Margem do Ribeirão das Mortes, próximo a ponte.","-42.9","-16.583333","760","760",NA,"Arbusto denso, 1,0m alt. entre as rochas a beira da água corrente. Flor amarelo clara com anteras amarelo ouro.","UEC011356","UEC011356",NA,NA,"1997","03",NA,"-42.9","-16.583333",NA,NA,NA,NA
"10","2021-03-01 16:35:27-03","UNICAMP","UEC","43666","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Trembleya","hatschbachii","Trembleya hatschbachii","Wurdack & E.Martins","Versiane, AFA","Pirani, JR; Mello-Silva, R","SPF47676","1987","05","23",NA,"Brazil","Minas Gerais","Grão Mogol","Vale Ribeirão das Mortes 900m. S.N.M.","-42.916667","-16.6",NA,NA,NA,"Arbusto ramificado desde a base, em solo arenoso, entre rochas a beira do rio. Caule nas partes jovens amarelado e hipanto amarelo levemente esverdeado. Pétalas amarelo-claras. Estames com filete e conectivo amarelo-claro. Apendices am","UEC116667","UEC116667",NA,NA,"2015","10","paratypus","-42.916667","-16.6",NA,NA,NA,NA
