"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","01066711","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","malaneoides","Psychotria malaneoides","Müll.Arg.","R. C. Forzza","R. C. Forzza","4441","2007","01","24","South America","Brazil","Minas Gerais","Lima Duarte","P. E. Ibitipoca. Mata Grande","-43.7931","-21.8428","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1203803' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066711","NY01066711_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","502006","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","malaneoides","Psychotria malaneoides glabrescens","Müll.Arg.",NA,"P. K. H. Dusén","14338","1914","01","07","South America","Brazil","Paraná","Morretes","Serra do Mar, Porto de Cima","-48.8342","-25.4769","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=247017' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502006","NY00502006_01","glabrescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01091949","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","malaneoides","Psychotria malaneoides","Müll.Arg.","J. A. Steyermark","H. S. Irwin","22810","1969","01","29","South America","Brazil","Minas Gerais",NA,"Ca. 7km NE of Diamantina, road to Mendanha. Serra do Espinhaço.","-43.57","-18.2","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1271429' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091949","NY01091949_01",NA,"1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1262211","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","malaneoides","Psychotria malaneoides","Müll.Arg.",NA,"J. G. Jardim","4409","2005","02","12","South America","Brazil","Bahia","Arataca","Serra das Lontras, ca. 7 km no ramal que liga o povoado de Itatinguí a Serra das Lontras. Bordas da floresta e áreas antropizadas","-39.3417","-15.1736","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502188' target='other'> <mi>dwc_moreinfo</mi></a>","NY01262211","NY01262211_01",NA,"600","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","502004","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","malaneoides","Psychotria malaneoides","Müll.Arg.","J. H. Kirkbride Jr.","G. Eiten","7321","1966","07","24","South America","Brazil","Rio de Janeiro","Resende","Itatiáia National Park, on south face of Mt. Itatiáia, in valley of the creek, Rio Campo Belo","-44.4467","-22.4692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=395198' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502004","NY00502004_01",NA,"935","935",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1005359","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","malaneoides","Psychotria malaneoides","Müll.Arg.","P. C. Standley","Y. E. J. Mexia","5464","1930","12","29","South America","Brazil","Minas Gerais","Viçosa","Viçosa. Fazenda de José Alexandre","-42.8817","-20.7542","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084046' target='other'> <mi>dwc_moreinfo</mi></a>","NY01005359","NY01005359_01",NA,"700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01091947","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","malaneoides","Psychotria malaneoides","Müll.Arg.","L. B. Smith","H. S. Irwin","2694","1959","02","22","South America","Brazil","Minas Gerais","Viçosa","State Agricultural School.","-42.868031","-20.7613428","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1271427' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091947","NY01091947_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1005360","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","malaneoides","Psychotria malaneoides","Müll.Arg.","D. C. Zappi","R. C. Forzza","2988","2004","03","08","South America","Brazil","Minas Gerais",NA,"Belmiro Braga, 3 km de Fortaleza na estrada para Monte Verde","-43.4939","-21.9456","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084048' target='other'> <mi>dwc_moreinfo</mi></a>","NY01005360","NY01005360_01",NA,"525","525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1005358","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","malaneoides","Psychotria malaneoides","Müll.Arg.","J. A. Steyermark","H. S. Irwin","20564","1968","02","20","South America","Brazil","Minas Gerais",NA,"Palácio, Serra do Cipó, km 135 (ca. 150 km N. of Belo Horizonte).","-43.38","-18.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084044' target='other'> <mi>dwc_moreinfo</mi></a>","NY01005358","NY01005358_01",NA,"1450","1450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1005357","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","malaneoides","Psychotria malaneoides","Müll.Arg.","J. A. Steyermark","H. S. Irwin","19794","1968","02","10","South America","Brazil","Minas Gerais",NA,"Serra do Itabirito, ca. 50km S.E. of Belo Horizonte.","-43.8","-20.28","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084039' target='other'> <mi>dwc_moreinfo</mi></a>","NY01005357","NY01005357_01",NA,"1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
