"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","imagecode","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus","relatedCatalogItem","sex"
"1","2020-09-23 10:35:42-03","E","E","106373","PreservedSpecimen","Plantae","Acanthaceae","Ruellia","solitaria","Ruellia solitaria","Gardner, G.","1905","01","11","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:116761","<a href=http://data.rbge.org.uk/herb/E00106373 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00106373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","930508","PreservedSpecimen","Plantae","Acanthaceae","Ruellia","calvescens","Ruellia calvescens","G. Gardner","1836",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004773' target='other'> <mi>dwc_moreinfo</mi></a>","NY00930508","Magnoliophyta","Lamiales","Nees","805","NY00930508_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","498911","PreservedSpecimen","Plantae","Acanthaceae","Ruellia","solitaria","Ruellia solitaria","G. G. Hatschbach","1968","08","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=453535' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498911","Magnoliophyta","Lamiales","Vell.","19556","NY00498911_01","C. Ezcurra","Paraná","Morretes","Estrada da Graciosa, Ferradura.","-48.8342","-25.4769","300","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1145150","PreservedSpecimen","Plantae","Acanthaceae","Ruellia","solitaria","Ruellia solitaria","L. B. Smith","1928","11","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1306602' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145150","Magnoliophyta","Lamiales","Vell.","1365","NY01145150_01",NA,"Rio de Janeiro","Rio de Janeiro","Federal District; Estrada Dona Castorina, between Jardim Botanico and Alto da Boa Vista, Rio de Janeiro","-43.25","-22.95","100","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","55405","PreservedSpecimen","Plantae","Acanthaceae","Ruellia","solitaria","Ruellia solitaria","J. A. Kallunki","1995","02","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=453534' target='other'> <mi>dwc_moreinfo</mi></a>","NY00055405","Magnoliophyta","Lamiales","Vell.","628","NY00055405_01","D. C. Wasshausen","Rio de Janeiro","Sao Pedro da Aldeia","Serra Sepeatiba, at TELERJ tower reached (eventually) after 5.8 km on dirt road turning N from Araruama-S. Pedro de Aldeia road at 3.5 km W of turn to Macaé, on road between tower and locked gate 3.8 km below tower.","-42.15","-22.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","498912","PreservedSpecimen","Plantae","Acanthaceae","Ruellia","solitaria","Ruellia solitaria","L. Riedel","1832","05",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=453539' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498912","Magnoliophyta","Lamiales","Vell.","800","NY00498912_01","D. C. Wasshausen","Rio de Janeiro","Macaé","Macahé.","-41.7867","-22.3708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","498913","PreservedSpecimen","Plantae","Acanthaceae","Ruellia","solitaria","Ruellia solitaria","L. Riedel",NA,NA,NA,"South America","Brazil","sheet",NA,"Iter Brasiliensis 1831-33. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=453537' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498913","Magnoliophyta","Lamiales","Vell.","801","NY00498913_01","D. C. Wasshausen","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","498914","PreservedSpecimen","Plantae","Acanthaceae","Ruellia","solitaria","Ruellia solitaria","L. Riedel","1832","07",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=453532' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498914","Magnoliophyta","Lamiales","Vell.","801","NY00498914_01","D. C. Wasshausen","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","498915","PreservedSpecimen","Plantae","Acanthaceae","Ruellia","solitaria","Ruellia solitaria","L. Riedel","1832","07",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=453538' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498915","Magnoliophyta","Lamiales","Vell.","801","NY00498915_01","D. C. Wasshausen","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:28:42-03","UFRJ","RFA","4085","PreservedSpecimen","Plantae","Acanthaceae","Ruellia","calvescens","Ruellia calvescens","P. Occhioni","1946","08","13",NA,"Brasil",NA,NA,"Herbácea, flor lilás.","RFA24525",NA,NA,"Nees","607",NA,"D. Wasshausen","Rio de Janeiro","Rio de Janeiro","Serra da Carioca.","-43.2075004577637","-22.9027996063232",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-10-09 11:08:06-03","UFBA","ALCB","027036","PreservedSpecimen","Plantae","Acanthaceae","Ruellia","solitaria","Ruellia solitaria","Amorim, AMA; Santos, TS dos; Sant'Ana, SC de; Jardim, JG","1992","12","14","Southern America","Brasil",NA,NA,"Volúvel na orla da mata. Folhas verdes levemente discolor. Flores com cálice verde corola amarela no botão e lilás após a ântese.; Sul Baiana.",NA,"Dicotyledon",NA,"Vell.","878",NA,"Wasshausen, DC","Bahia","Itacaré","Estrada que liga Taboquinhas, ca 6 km de Itacaré.","-38.9967002868652","-14.2775001525879",NA,NA,"41230","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
