"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","01098812","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Calliandra","jariensis","Calliandra jariensis","Barneby","R. C. Barneby","E. de Oliveira","4603","1968","06","21","South America","Brazil","Pará","Rio Jarí, Monte Dourado, Flanco do Planalto.","-52.6008224","-0.8809315","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1288971' target='other'> <mi>dwc_moreinfo</mi></a>","NY01098812","NY01098812_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","17993","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Calliandra","jariensis","Calliandra jariensis","Barneby",NA,"N. T. da Silva","1807","1969","03","19","South America","Brazil","Pará","Jari, estrada entre Monte Dourado e Planalto A","-52.6008224","-0.8809315","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=618206' target='other'> <mi>dwc_moreinfo</mi></a>","NY00017993","NY00017993_01","holotype",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01098807","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Calliandra","jariensis","Calliandra jariensis","Barneby","R. C. Barneby","M. J. P. Pires-O'Brien","1053","1986","05","16","South America","Brazil","Pará","Monte Dourado - oeste, estrada para Serra da Bauxita. Capoeirão.","-52.5816993713379","-1.52332997322083","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1288972' target='other'> <mi>dwc_moreinfo</mi></a>","NY01098807","NY01098807_01",NA,"Almeirim","564600","auto",NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01098811","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Calliandra","jariensis","Calliandra jariensis","Barneby","R. C. Barneby","N. T. da Silva","2353","1969","07","08","South America","Brazil","Pará","Braço, direção norte. Km 4.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1288976' target='other'> <mi>dwc_moreinfo</mi></a>","NY01098811","NY01098811_01",NA,"Jari",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01098808","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Calliandra","jariensis","Calliandra jariensis","Barneby","R. C. Barneby","E. de Oliveira","4559",NA,NA,NA,"South America","Brazil","Pará","Rio Jarí, Monte Dourado, entre o S-37 o Hospital.","-52.539719","-0.8678545","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1288973' target='other'> <mi>dwc_moreinfo</mi></a>","NY01098808","NY01098808_01",NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-30 01:14:00-03","NY","NYBG","01098810","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Calliandra","jariensis","Calliandra jariensis",NA,"R. C. Barneby","J. M. Pires","1053","1986","05","16","South America","Brazil","Pará","Monte Dourado - oeste, estrada para Serra da Bauxita. Capoeirão.","-52.5816993713379","-1.52332997322083","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1288975' target='other'> <mi>dwc_moreinfo</mi></a>","NY01098810","NY01098810_01",NA,"Almeirim","564600","auto",NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01098809","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Calliandra","jariensis","Calliandra jariensis","Barneby","R. C. Barneby","N. T. da Silva","2031","1969","05","22","South America","Brazil","Pará","Jari, estrada do Munguba","-52.4926543","-0.8920989","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1288974' target='other'> <mi>dwc_moreinfo</mi></a>","NY01098809","NY01098809_01",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-08 17:39:32-03","EAO","IAN","133676","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Calliandra","jariensis","Calliandra jariensis","Barneby",NA,"Silva, NT da","1807","1969","03","19","Southern America","Brasil","Pará","Rio Jarí. Estrada entre Monte Dourado e Planalto A. Mata de terra firme.",NA,NA,NA,"Arvore de 8mm e 10cm diametro. Flor rosea.","IAN133676",NA,"isotipo",NA,NA,NA,NA,NA,NA,NA
"9","2021-04-08 17:39:32-03","EAO","IAN","134177","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Calliandra","jariensis","Calliandra jariensis","Barneby","Barneby, RC","Silva, NT da","2353","1969","07","08","Southern America","Brasil","Pará","Braco, direitcao Norte. Capoeira de terra firme. Castanhal km 4.","-52.5816993713379","-1.52332997322083",NA,"Arvore de 10m e 15cm diametro.","IAN134177",NA,NA,"Almeirim","564600","auto","1998",NA,NA,NA
"10","2021-04-08 17:39:32-03","EAO","IAN","133899","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Calliandra","jariensis","Calliandra jariensis","Barneby","Tindade, MJS","Silva, NT da","2031","1969","05","22","Southern America","Brasil","Pará","Estrada entre Monte Dourado e Planalto A, km 3. Mata de terra firme.","-52.5816993713379","-1.52332997322083",NA,"Arvore de 8m e 10cm diametro, flor vermelha.","IAN133899",NA,NA,"Almeirim","564600","auto","2009","03",NA,NA
