"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2016-09-28 14:17:00-03","NY","NYBG","778174","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","frigidula","Tibouchina frigidula","P. J. F. Guimarães","A. C. Brade","20743","1951","04","26","South America","Brazil","São Paulo","Serra da Bocaina","-44.672437","-22.831934","1750","1750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92969' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778174","NY00778174_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","514828","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","frigidula","Tibouchina frigidula","O. Handro","M. Kuhlmann","4473","1959","01","21","South America","Brazil","São Paulo","Vila Morais","-46.609253","-23.630825",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92960' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514828","NY00514828_01","(DC.) Cogn.","Sao Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","514825","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","frigidula","Tibouchina frigidula","J. J. Wurdack","J. Cordeiro","1141","1994","01","12","South America","Brazil","Paraná","Serra de Santana","-49.115","-25.2061",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92967' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514825","NY00514825_01","(DC.) Cogn.","Bocaiúva do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-28 14:17:00-03","NY","NYBG","514827","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","frigidula","Tibouchina frigidula","A. C. Brade","P. C. Porto","3161","1937","02","05","South America","Brazil","São Paulo","Campos de Jordao","-45.540301","-22.687374",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92962' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514827","NY00514827_01",NA,"Campos do Jordao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","514821","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","frigidula","Tibouchina frigidula","J. J. Wurdack","L. W. Williams","18785","1958","04","17","South America","Brazil","Paraná","Near foothills of Serra de Mae","-49.08","-25.3","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92966' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514821","NY00514821_01","(DC.) Cogn.","Campina Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","514822","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","frigidula","Tibouchina frigidula","J. J. Wurdack","G. G. Hatschbach","13500","1966","01","12","South America","Brazil","Paraná","Serra das Almas","-50.0064","-25.4294",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92963' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514822","NY00514822_01","(DC.) Cogn.","Palmeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00941680","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","frigidula","Tibouchina frigidula","J. J. Wurdack","J. M. Pires","44776","1959","12","23","South America","Brazil","Minas Gerais","37 miles from Diamantina.",NA,NA,"3400","3400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1018468' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941680","NY00941680_01","(DC.) Cogn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-28 14:17:00-03","NY","NYBG","514823","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","frigidula","Tibouchina frigidula","R. Romero","R. Romero","1594","1995","01","09","South America","Brazil","Minas Gerais","Próximo a guarita de Sacramento, PARNA, Serra da Canastra, Sacramento","-47.4397","-19.8656",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92959' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514823","NY00514823_01",NA,"Sacramento",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","514829","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","frigidula","Tibouchina frigidula","J. J. Wurdack","J. H. Kirkbride Jr.","1744","1972","04","27","South America","Brazil","São Paulo","Serra da Bocaina","-44.68606","-22.846827","1700","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92965' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514829","NY00514829_01","(DC.) Cogn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00941674","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","frigidula","Tibouchina frigidula","J. J. Wurdack","H. S. Irwin","22301","1969","01","20","South America","Brazil","Minas Gerais","Ca. 20km SW of Diamantina. Serra do Espinhaço.","-43.7","-18.37","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1018214' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941674","NY00941674_01","(DC.) Cogn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
