"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","verbatimLongitude","verbatimLatitude","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","498940","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae","(Wawra) Leonard","C. T. Rizzini","A. C. Brade","14544","1935","05","21","South America","Brazil","Rio de Janeiro","Itatiaia","Itatiaia - Lote 21.","-44.65833","-22.358","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=271142' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498940","NY00498940_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2017-01-12 14:22:00-02","NY","NYBG","1280612","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae",NA,"S. R. Profíce","A. Quinet","196","1999","05","18","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, Trilha do Hotel Simon para o Tres Picos","-44.65833","-22.35833","1300",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1615507' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280612","NY01280612_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","498939","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae","(Wawra) Leonard","C. Kameyama","J. Mattos","14791","1967","07","14","South America","Brazil","Rio de Janeiro","Resende","Rezende, no Parque Nacional de Itatiaia, no Marombas.","-44.4467","-22.4692",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=271143' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498939","NY00498939_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","498938","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae","(Wawra) Leonard","D. C. Wasshausen","D. R. Hunt","6391","1966","07","23","South America","Brazil","Rio de Janeiro","Itatiaia","Itatiaia, Parque Nacional.","-44.637876","-22.374281","600","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=271141' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498938","NY00498938_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:18:43-03","UFRJ","RFA","22738","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae","(Wawra) Leonard","A. Curt Brade","F. Segadas-Vianna","97","1943","06","00",NA,"Brasil","Rio de Janeiro","Itatiaia","Monte Serrat","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"RFA18695",NA,"1943","08","27","19648","auto",NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:28:42-03","UFRJ","RFA","4082","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae","(Wawra) Leonard","Dr. Rizzini","P. Occhioni","819","1947","03","05",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,NA,"Herbácea; flor de cor vinho","RFA24737",NA,NA,NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:28:42-03","UFRJ","RFA","4083","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae","(Wawra) Leonard",NA,"P. Occhioni","1151","1948","08","19",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, km 6 - 7","-44.5633010864258","-22.4960994720459",NA,NA,NA,"Arbusto de flor encarnada","RFA24424",NA,NA,NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:29:50-03","NBC","NL-BOTANY","U.1056971","PreservedSpecimen","Plantae",NA,"Lamiales","Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae",NA,"Monte Braz D","Brade AC",NA,"1935","05","21","Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1056971 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1056971","NL-U1056971","2004","12","10",NA,NA,"Magnoliopsidae","U 0017696",NA,NA,NA,NA
"9","2019-08-20 10:02:14-03","UNICAMP","UEC","85556","S","Plantae","Magnoliopsida",NA,"Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae",NA,"Braz, DM","Catharino, ELM; Shirasuna, RT; Esteves, GL; Rodrigues, EA","2024","1994","09","27",NA,"Brazil","São Paulo","Bananal","Serra da Bocaina, Estação Ecológica de Bananal.","-44.3199996948242","-22.6800003051758",NA,NA,NA,"flor, Mata secundária. Subarbusto ereto; brácteas e corolas róseas.","UEC097139","UEC097139","2003","08","13","26795","auto",NA,NA,NA,NA,NA,NA
"10","2020-06-29 09:29:00-03","UFRRJ","RBR","1482","S","Plantae",NA,NA,"Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae","(Wawra) Leonard","D.M. Braz",NA,"s.n.","1945","06","00",NA,"Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"RBR00001482","RBR00001482","2004","12","20","19648","auto",NA,NA,NA,NA,NA,NA
