"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","class","typeStatus","individualCount","imagecode"
"1","2020-08-31 08:54:52-03","INPA","INPA","87015","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pouteria","exstaminodia","Pouteria exstaminodia","Pires & T.D.Penn.","Ferreira, CAC","784","1979","08","25","Southern America","Brasil","Amazonas","Itapiranga","Rio Uatumã - Rio Pitinga., Rio Uatumã, margem direita do rio, acima da boca do rio Pitinga.","-59.847157","-1.515667","-59.847157","-1.515667","INPA0087015",NA,NA,NA,NA
"2","2020-09-12 05:00:02-03","US","US","3331105","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","exstaminodia","Pouteria exstaminodia","Pires & T.D. Penn.","C. A. Cid Ferreira, W. R. Buck, B. W. Nelson, F. Almeida, C. D. A. Mota & J. Lima","784","1979","8","25","South America - Neotropics","Brazil","Amazonas",NA,"Rio Uatuma, lado direito, perto Boca do Rio Pitinga.",NA,NA,NA,NA,"US00513001","Dicotyledonae","Isotype","1","US00513001_01"
