"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","day","relatedCatalogItem","yearIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","236584","PreservedSpecimen","Plantae","Magnoliophyta","Gunnerales","Gunneraceae","Gunnera","herteri","Gunnera herteri","Osten","L. E. Mora-Osejo","isotype","W. G. F. Herter","1523","1931","11","South America","Uruguay","Rocha","Sta. Teresa.","10","10","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733617' target='other'> <mi>dwc_moreinfo</mi></a>","NY00236584","NY00236584_01 NY00236584_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:28:48-03","NBC","NL-BOTANY","AMD.76071","PreservedSpecimen","Plantae",NA,"Gunnerales","Gunneraceae","Gunnera","herteri","Gunnera herteri","Osten",NA,NA,"Herter WG",NA,"1931","11","Southern America","Uruguay",NA,"Dep de Rocha, Sta Teresa.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.76071 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD76071","NL-AMD76071","Magnoliopsidae","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:28:49-03","NBC","NL-BOTANY","L.3878830","PreservedSpecimen","Plantae",NA,"Gunnerales","Gunneraceae","Gunnera","herteri","Gunnera herteri","Osten",NA,NA,"Herter WG",NA,"1932","10","Southern America","Uruguay",NA,"Plantae Uruguayenses. Bañado Maravillao. Osten.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3878830 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3878830","NL-L3878830","Magnoliopsidae","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:28:49-03","NBC","NL-BOTANY","U.1340196","PreservedSpecimen","Plantae",NA,"Gunnerales","Gunneraceae","Gunnera","herteri","Gunnera herteri","Osten",NA,NA,"Herter WGF",NA,"1932","10","Southern America","Uruguay","Rocha",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1340196 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1340196","NL-U1340196","Magnoliopsidae","01","U 0114470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:28:49-03","NBC","NL-BOTANY","U.1340197","PreservedSpecimen","Plantae",NA,"Gunnerales","Gunneraceae","Gunnera","herteri","Gunnera herteri","Osten",NA,NA,"Herter WGF",NA,"1931","11","Southern America","Uruguay","Rocha",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1340197 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1340197","NL-U1340197","Magnoliopsidae","01","U 0114471",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-31 13:40:08-03","MN","R","105737","PreservedSpecimen","Plantae",NA,NA,"Gunneraceae","Gunnera","herteri","Gunnera herteri","Osten","Mello Filho, L.E.",NA,"Vidal, J.",NA,"1953","11",NA,"Brasil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-31 13:40:08-03","MN","R","48966","PreservedSpecimen","Plantae",NA,NA,"Gunneraceae","Gunnera","herteri","Gunnera herteri","Osten","Smith, L.B.",NA,"Reitz, R.","1330","1944","10",NA,"Brasil","Santa Catarina",NA,"1","1",NA,NA,NA,NA,NA,"19",NA,NA,"Sombrio","-49.61669921875","-29.113899230957","16515","auto",NA,NA,NA,NA,NA,NA,NA
"8","2019-02-15 11:40:19-02","IPA","IPA","20578","S","Plantae","Plantae",NA,"Gunneraceae","Gunnera","herteri","Gunnera herteri","Mattf.",NA,NA,"Vianna, E.C.","s.n.","1972","11","Southern America","Brasil","Rio Grande do Sul","Rainha do Mar",NA,NA,NA,NA,"IPA0020578",NA,NA,"03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:30:06-03","IAP","PACA-AGP","93069","PreservedSpecimen","Plantae","Magnoliophyta","Haloragales","Haloragaceae","Gunnera","herteri","Gunnera herteri","Osten","J. Larocca",NA,"V. Caetano",NA,"1998","09",NA,"Brasil","RS","Litoral",NA,NA,NA,"HASU 9568","PACA093069",NA,"Magnoliatae","29",NA,NA,"Bujuru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:30:06-03","IAP","PACA-AGP","33951","PreservedSpecimen","Plantae","Magnoliophyta","Haloragales","Haloragaceae","Gunnera","herteri","Gunnera herteri","Osten","R. Reitz",NA,"Reitz, R.",NA,"1944","10",NA,"Brasil","SC","Sombrio",NA,NA,NA,"Habitat: ad litus in arenosis humidis Fenofase: flor e fruto","PACA033951",NA,"Magnoliatae","19",NA,"1954","Araranguá","-49.4858016967773","-28.934700012207","19353","auto","08","04",NA,NA,NA,NA,NA
"11","2019-01-17 11:25:47-02","PUCRS","MPUC","5822","S","Plantae",NA,"Gunnerales","Gunneraceae","Gunnera","herteri","Gunnera herteri","Mattf.","G.D. Farias",NA,NA,NA,"1992","10","South America","Brasil","RS",".",NA,NA,NA,NA,NA,NA,"Magnoliopsida","27",NA,"1992","Tramandaí","-50.1333333","-29.9847222",NA,NA,"01","01","-50.1333333000","-29.9847222000","1",NA,NA
"12","2013-04-11 10:30:00-03","MO","MOBOT","100583207","PreservedSpecimen","Plantae",NA,NA,"Gunneraceae","Gunnera","herteri","Gunnera herteri","Osten",NA,"Holotype","W.G. Herter","Herter 1523","1931","11","South America","Uruguay","Rocha","Santa Teresa.",NA,NA,NA,NA,NA,NA,NA,"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"13","2012-04-24 14:08:00-03","MO","MOBOT","2518906","PreservedSpecimen","Plantae",NA,NA,"Gunneraceae","Gunnera","herteri","Gunnera herteri","Osten",NA,NA,"W.G. Herter","Herter s.n.1","1931","10","South America","Uruguay","Rocha","Santa Teresa, in arenosis humidis sub-humosis inter litus arenosus maris et paludes interiores",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"14","2012-04-24 14:08:00-03","MO","MOBOT","2518923","PreservedSpecimen","Plantae",NA,NA,"Gunneraceae","Gunnera","herteri","Gunnera herteri","Osten",NA,NA,"W.G. Herter","Herter s.n.2","1932","10","South America","Uruguay","Rocha","Santa Teresa",NA,NA,NA,NA,NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"15","2010-01-29 20:51:00-02","MO","MOBOT","3346088","PreservedSpecimen","Plantae",NA,NA,"Gunneraceae","Gunnera","herteri","Gunnera herteri","Osten","Herter",NA,"W.G. Herter","Herter 87827","1931","11","South America","Uruguay","Rocha","Sta. Teresa, hum. ill., camp arena.","10.00000000",NA,NA,NA,NA,NA,NA,"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2012-04-24 14:36:00-03","MO","MOBOT","3346182","PreservedSpecimen","Plantae",NA,NA,"Gunneraceae","Gunnera","herteri","Gunnera herteri","Osten","Amorand, 15/1/78",NA,"W.G. Herter","Herter 87827","1932","10","South America","Uruguay","Rocha","Maravillas, hum. ill. aren obtect.","10.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"17","2020-09-12 05:00:02-03","US","US","1570559","PreservedSpecimen","Plantae",NA,"Haloragidales","Haloragidaceae","Gunnera","herteri","Gunnera herteri","Osten",NA,NA,"W. G. F. Herter","ex Herb. C. Osten. 22697b","1932","10","South America","Uruguay","Rocha","Santa Teresa",NA,NA,NA,NA,"US00410106","US00410106_01","Dicotyledonae","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"18","2020-09-12 05:00:02-03","US","US","1934712","PreservedSpecimen","Plantae",NA,"Haloragidales","Haloragidaceae","Gunnera","herteri","Gunnera herteri","Osten",NA,NA,"W. G. F. Herter","1523a","1932","10","South America","Uruguay","Rocha","Bañado Maravilles","5","10",NA,NA,"US00410107",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"19","2020-09-12 05:00:02-03","US","US","2104785","PreservedSpecimen","Plantae",NA,"Haloragidales","Haloragidaceae","Gunnera","herteri","Gunnera herteri","Osten",NA,NA,"Collector unknown","C786","1944","10","South America","Brazil","Santa Catarina","Sombrio",NA,NA,NA,NA,"US00410108","US00410108_01","Dicotyledonae","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"20","2019-01-23 12:11:15-02","F","FMNH-SEEDPLANTS","V0060647F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Gunneraceae","Gunnera","herteri","Gunnera herteri",NA,NA,"Isotype","W. G. F. Herter","1523","1931","11","South America","Uruguay","Rocha","Fortaleza Santa Teresa",NA,NA,NA,NA,"V0060647F","V0060647F_01","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-08-20 20:39:14-03","UFSC","FLOR","19636","PreservedSpecimen","Plantae",NA,"Gunnerales","Gunneraceae","Gunnera","herteri","Gunnera herteri","Osten","Jarenkow, J.A.",NA,"Jarenkow, J.A.; Cestaro, L.; Dillenburg, L.R. & Leite, S.L.C.","291","1985","11",NA,"Brasil","Rio Grande do Sul","Estação Ecológica do Taim, litoral atlântico, em frente à Fazenda Caçapava.",NA,NA,NA,"formando tapete","FLOR0019636",NA,NA,"04",NA,"1986","Santa Vitória do Palmar","-53.3680992126465","-33.5189018249512","130170","auto",NA,NA,NA,NA,NA,NA,NA
"22","2008-10-24 14:56:20-02","CAS","CAS-BOT","2820","PreservedSpecimen","Plantae","Magnoliophyta","Haloragales","Gunneraceae","Gunnera","herteri","Gunnera herteri","Osten",NA,"isotype","Herter, Wilhelm Gustav (Guillermo Gustavo Francisco)","22697b","1932","10","South America","Uruguay",NA,"dep. Rocha, Sta. Teresa.",NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-02-08 12:42:39-03","UFRGS","ICN","028837","S","Plantae","Dicotyledon",NA,"Gunneraceae","Gunnera","herteri","Gunnera herteri","Osten",NA,NA,"Vianna, EC","s.n.",NA,NA,"América do Sul","Brasil","RS",NA,NA,NA,NA,"Espécie ameaçada de extinção (Em perigo).",NA,NA,NA,NA,NA,NA,"Rainha do Mar-Tramandaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-02-08 12:42:39-03","UFRGS","ICN","036697","S","Plantae","Dicotyledon",NA,"Gunneraceae","Gunnera","herteri","Gunnera herteri","Osten",NA,NA,"Dutra, J","22697b","1932","10","América do Sul","Uruguai","Rocha",NA,NA,NA,NA,"Espécie ameaçada de extinção (Em perigo).",NA,NA,NA,"15",NA,NA,"Santa Tereza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-02-08 12:42:39-03","UFRGS","ICN","036697b","S","Plantae","Dicotyledon",NA,"Gunneraceae","Gunnera","herteri","Gunnera herteri","Osten",NA,NA,"Dutra, J","22697b","1932","10","América do Sul","Uruguai","Rocha",NA,NA,NA,NA,"Espécie ameaçada de extinção (Em perigo).; Gregarie in palustris dunarum.",NA,NA,NA,"15",NA,NA,"Santa Tereza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-02-08 12:42:39-03","UFRGS","ICN","131209","S","Plantae","Dicotyledon",NA,"Gunneraceae","Gunnera","herteri","Gunnera herteri","Osten","Kinupp, VF",NA,"V.F.Kinupp, PColombo","2771","2003","10","América do Sul","Brasil","RS","arredores da Estação Ecológica do Taim",NA,NA,NA,"Espécie ameaçada de extinção (Em perigo). Planta rara ameaçada pela destruição das dunas e restingas.; Erva ereta; 0,05 m; flores e frutos esverdeados; folhas com sabor levemente ácido, possivelmente ácido tartárico;",NA,NA,NA,"11",NA,NA,"Rio Grande & Santa Vitória do",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-02-08 12:42:39-03","UFRGS","ICN","190994","S","Plantae","Dicotyledon",NA,"Gunneraceae","Gunnera","herteri","Gunnera herteri","Osten","Silva Filho, PJS",NA,"Silva Filho, PJS","1787","2012","11","América do Sul","Brasil","RS","Lagoa do Peixe.",NA,NA,NA,"Solo arenoso, plano e úmido, atrás das primeiras lindas de dunas",NA,NA,NA,"07",NA,NA,"Tavares","-51.0936012268066","-31.2872009277344","26882","auto",NA,NA,NA,NA,NA,NA,NA
"28","2021-02-08 12:42:39-03","UFRGS","ICN","032636","S","Plantae","Dicotyledon",NA,"Gunneraceae","Gunnera","herteri","Gunnera herteri","Osten","Miotto, STS",NA,"Miotto, STS","s.n.","1975","11","América do Sul","Brasil","RS",NA,NA,NA,NA,"Espécie ameaçada de extinção (Em perigo).",NA,NA,NA,"07",NA,NA,"Tramandaí","-50.1335983276367","-29.9846992492676","21077","auto",NA,NA,NA,NA,NA,NA,NA
"29","2021-02-08 12:42:39-03","UFRGS","ICN","067311","S","Plantae","Dicotyledon",NA,"Gunneraceae","Gunnera","herteri","Gunnera herteri","Osten","Brack, P",NA,"Brack, P","s.n.","1986","09","América do Sul","Brasil","RS","Jardim Atlântico",NA,NA,NA,"Espécie ameaçada de extinção (Em perigo).; Em grama de jardim.",NA,NA,NA,"18",NA,NA,"Tramandaí","-50.1335983276367","-29.9846992492676","21077","auto",NA,NA,NA,NA,NA,NA,NA
"30","2021-02-08 12:42:39-03","UFRGS","ICN","004801","S","Plantae","Dicotyledon",NA,"Gunneraceae","Gunnera","herteri","Gunnera herteri","Osten","Ferreira, A",NA,"Baptista, LRM; Irgang, BE","174",NA,NA,"América do Sul","Brasil","RS","Monte de Pedras",NA,NA,NA,"Espécie ameaçada de extinção (Em perigo).; Arenito úmido.",NA,NA,NA,NA,NA,NA,"Torres","-49.7268981933594","-29.3353004455566","20837","auto",NA,NA,NA,NA,NA,NA,NA
"31","2021-02-08 12:42:39-03","UFRGS","ICN","028157","S","Plantae","Dicotyledon",NA,"Gunneraceae","Gunnera","herteri","Gunnera herteri","Osten","et al.; J. Lindeman",NA,"Baptista, LRM; Lorscheitter, ML","s.n.","1972","07","América do Sul","Brasil","RS","Parque de Torres baixada N atrás das dunas primárias",NA,NA,NA,"Espécie ameaçada de extinção (Em perigo).",NA,NA,NA,"10",NA,NA,"Torres","-49.7268981933594","-29.3353004455566","20837","auto",NA,NA,NA,NA,NA,NA,NA
"32","2021-02-08 12:42:39-03","UFRGS","ICN","131223","S","Plantae","Dicotyledon",NA,"Gunneraceae","Gunnera","herteri","Gunnera herteri","Osten","Kinupp, VF",NA,"Kinupp, VF; Irgang, BE","2785","2003","10","América do Sul","Brasil","RS","Parque Estadual da Guarita",NA,NA,NA,"Espécie ameaçada de extinção (Em perigo). Planta rara ameaçada pela destruição das dunas.; Erva dimunuta formando uma pequena população homogêna; 0,08 m; flores e frutos esverdeados. Folhas com sabor levemente ácido, possivelmente ácido tartárico;; S",NA,NA,NA,"19",NA,NA,"Torres","-49.7268981933594","-29.3353004455566","20837","auto",NA,NA,NA,NA,NA,NA,NA
"33","2020-08-26 10:49:10-03","MCN-FZBRS","HAS","3753","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gunneraceae","Gunnera","herteri","Gunnera herteri","Mattf.",NA,NA,"Waechter, J.L.","203","1975","11",NA,"Brasil","Rio Grande do Sul","Tramandaí e Osório,",NA,NA,NA,NA,"HAS0003753",NA,NA,NA,NA,NA,"Tramandaí e Osório",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
