"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","recordNumber","month","day","typeStatus","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","378537","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","indurata","Licania indurata","Pilg.","G. T. Prance","C. Gois","1948","South America","Brazil","Rio de Janeiro","Petrópolis","Quitandinha, Petropolis","-43.1783","-22.505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388296' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378537","NY00378537_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","378536","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","indurata","Licania indurata","Pilg.","G. T. Prance","E. Pereira","1956","South America","Brazil","Espírito Santo","Castelo","Castelo. Forno Grande","-41.1","-20.51667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388295' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378536","NY00378536_01","2094","12","04",NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","378535","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","indurata","Licania indurata","Pilg.","G. T. Prance","L. B. Damazio",NA,"South America","Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388294' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378535","NY00378535_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","378538","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","indurata","Licania indurata","Pilg.","G. T. Prance","L. B. Damazio",NA,"South America","Brazil","Minas Gerais",NA,"Jaruhy?",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388293' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378538","NY00378538_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","428435","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","indurata","Licania indurata","Pilg.",NA,"E. Schwebel",NA,"South America","Brazil","São Paulo","Sao Paulo","Alto da Serra","-46.63","-23.5403","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388297' target='other'> <mi>dwc_moreinfo</mi></a>","NY00428435","NY00428435_01","II81",NA,NA,"isotype",NA,NA,NA,NA,NA
"6","2008-05-27 22:02:00-03","MO","MOBOT","3172409","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","indurata","Licania indurata","Pilg.",NA,"SCHWEBEL",NA,"South America","Brazil",NA,NA,"Biologica do Alto da Serra, vulgo Milho cozido. (Butantan).",NA,NA,NA,NA,NA,NA,"SCHWEBEL 567",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-12 16:33:20-03","USP","SPF","72196","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","indurata","Licania indurata","Pilg.",NA,"Schwebel, E",NA,NA,"Brasil","São Paulo","Santo André","Alto da Serra","-46.5299987792969","-23.6599998474121",NA,NA,"SPF00072196","SPF00072196","81",NA,NA,"isotype","27258","auto",NA,NA,NA
"8","2019-09-04 19:41:49-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Chrysobalanaceae","Licania","indurata","Licania indurata",NA,NA,"E. Schwebel",NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"81",NA,NA,"Holotype",NA,NA,"Dicotyledoneae",NA,NA
"9","2021-02-23 13:22:02-03","MN","R-TIPOS","36020","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","indurata","Licania indurata","Pilg.","Prance, G.T.","Schwebel, E.",NA,NA,"Brasil","São Paulo",NA,"Alto da Serra",NA,NA,NA,NA,"R000036020","R000036020_001","II - 81",NA,NA,"Lectotypus",NA,NA,NA,"1966","03"
"10","2019-11-21 10:03:12-03","IBt","SP","567","S","Plantae",NA,NA,"Chrysobalanaceae","Licania","indurata","Licania indurata","Pilg.","Prance, GT","Schwebel, E",NA,NA,"Brasil","São Paulo",NA,"Alto da Serra",NA,NA,NA,"Floração abril-maio. Berlin Holotype lost","SP000478","SP000478","81",NA,NA,"Lectotype",NA,NA,NA,"1969",NA
