"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1652706","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","lepidota","Miconia lepidota","DC.","J. J. Wurdack","J. A. Steyermark","125805","1982","01","29","South America","Venezuela","Amazonas","Atabapo","Falda del extremo norte del cerro Duida. Zona quemada, al Suroeste de la Comunidad de Culebra.","-65.75","3.67","600","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1156265' target='other'> <mi>dwc_moreinfo</mi></a>","NY01652706","NY01652706_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2530333","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","lepidota","Miconia lepidota","DC.",NA,"D. C. Zappi","3129","2011","03","05","South America","Brazil","Mato Grosso",NA,"Mun. Santa Cruz do Xingu. Parque Estadual do Xingu, limite norte do parque.","-52.6069","-9.7311","340",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2767848' target='other'> <mi>dwc_moreinfo</mi></a>","NY02530333","NY02530333_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 02:05:00-03","NY","NYBG","1652714","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","lepidota","Miconia lepidota",NA,"S. S. Renner","R. Evans","1848","1994","07","01","South America","Suriname","Para",NA,"Along road from Zanderij to Kraka, 4.4 km from intersection with Zanderij Hwy., 0.5 km before bridge over Sabakoe Creek.","-55.1917","5.425","25",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1156436' target='other'> <mi>dwc_moreinfo</mi></a>","NY01652714","NY01652714_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1652710","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","lepidota","Miconia lepidota","DC.","J. J. Wurdack","B. Hoffman","2558","1992","09","12","South America","Guyana","Pomeroon-Supenaam",NA,"Akawini River, 1.5-2.5 km SW of Waikinipu Creek mouth, along trail from Wakinipu village to Wariwaru Creek (Pomeroon R.)","-58.76666667","7.316666667","20","20","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1156394' target='other'> <mi>dwc_moreinfo</mi></a>","NY01652710","NY01652710_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3678010","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","lepidota","Miconia lepidota","DC.","F. A. Michelangeli","A. L. Monteagudo Mendoza","8510","2005","05","16","South America","Peru","Pasco","Oxapampa","Dist. Palcazu. Parque Nacional Yanachaga-Chemillén. Parcela permanente 1 ha. Cerro Paujil-Ozuz. Proyecto Dinámica de los bosques montanos en la selva central. Bosque primario muy húmedo tropical.","-75.16666","-10.16666","850","850","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3914236' target='other'> <mi>dwc_moreinfo</mi></a>","NY03678010","NY03678010_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00924780","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","lepidota","Miconia lepidota","DC.","R. Goldenberg","R. Macedo","5774","2001","03","18","South America","Brazil","Minas Gerais","São Thomé das Letras",NA,"-44.9853","-21.7222",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992222' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924780","NY00924780_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00987647","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","lepidota","Miconia lepidota","DC.",NA,NA,"219",NA,NA,NA,"South America","Brazil","Pará",NA,NA,NA,NA,NA,NA,"sheet","Collector noted as Registro <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272510' target='other'> <mi>dwc_moreinfo</mi></a>","NY00987647","NY00987647_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00987657","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","lepidota","Miconia lepidota","DC.",NA,"G. Martinelli","7357","1980","07","10","South America","Brazil","Pará","Oriximiná","Rio Trombetas, Lago Erepecú, Reserva Biológica do IBDF","-56.5784955","-1.3418401","60","60","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1273672' target='other'> <mi>dwc_moreinfo</mi></a>","NY00987657","NY00987657_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3272574","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","lepidota","Miconia lepidota","DC.",NA,"M. Mélinon","35","1905","02","18","South America","French Guiana","Saint-Laurent-du-Maroni",NA,"Maroni",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3676124' target='other'> <mi>dwc_moreinfo</mi></a>","NY03272574",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3272573","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","lepidota","Miconia lepidota","DC.",NA,"P. A. Sagot","1078","1905","01","30","South America","French Guiana","Saint-Laurent-du-Maroni",NA,"Acarouany",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3676123' target='other'> <mi>dwc_moreinfo</mi></a>","NY03272573",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
