"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","imagecode","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","4218349","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Fritzschia","anisostemon","Fritzschia anisostemon","Cham.","F. Almeda","8879","2004","11","18","South America","Brazil","Minas Gerais","Serra do Caraça. Parque do Caraça on the trail to Pico Inficionado.","-43.45697403","-20.1357193","1941","1941","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451375' target='other'> <mi>dwc_moreinfo</mi></a>","NY04218349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:31:36-03","MN","R","9421","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Fritzschia","anisostemon","Fritzschia anisostemon","Cham.","Glaziou, A.F.M.","19221 a","1884","09","20",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000009421","Nunes, D.","2019","01","22","R000009421_001",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:33:54-03","UNICAMP","UEC","143649","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Fritzschia","anisostemon","Fritzschia anisostemon","Cham. & Schltdl.","Almeda, F; Belinello, R; Aranha, JLM; Fritsch, PW","8879","2004","11","18",NA,"Brazil","Minas Gerais","Serra do Caraça, Parque da Caraça along the trail to Pico Inficionado.","-43.456972","-21.483333","1941","1941",NA,"Spraeling shrub with wiry branches to 1m long. Petals purple with white apices. Rare.; Campo rupestre","UEC050423","Nunes, D","2018","01","12","UEC050423","Santa Bárbara","-43.456972","-21.483333",NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:33:54-03","UNICAMP","UEC","165209","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Fritzschia","anisostemon","Fritzschia anisostemon","Cham. & Schltdl.","Almeda, F; Fritsch, PW; Aranha, JLM; Belinello, R","8879","2004","11","18",NA,"Brazil","Minas Gerais","Serra do Caraça, Parque do Caraça on the trail to Pico Inficionado.","-27.419444","-21.483333","1941","1941",NA,"Sprawling shrub with wiry branches to 1 m long. Petals purple with white apices. Rare.; Campo rupestre.","UEC050203","Ribeiro, RC; Rocha, MJR",NA,NA,NA,"UEC050203",NA,"-27.419444","-21.483333",NA,NA,NA,NA,NA,NA
"5","2019-11-06 09:56:21-03","UFOP","OUPR","5789","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Fritzschia","anisostemon","Fritzschia anisostemon","Cham. & Schltdl.","Magalhães-Gomes, C.T.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"Magalhães-Gomes, C.T.",NA,NA,NA,NA,"Venda do Campo",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-06 09:56:21-03","UFOP","OUPR","5793","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Fritzschia","anisostemon","Fritzschia anisostemon","Cham. & Schltdl.","Badini, J.","s.n.","1974","05","05",NA,"Brasil","Minas Gerais","Lavras Novas","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Campo. Erva. Flores róseas",NA,"Badini, J.","1974","05","05",NA,"Ouro Preto",NA,NA,"44599","auto",NA,NA,NA,NA
"7","2019-11-06 09:56:21-03","UFOP","OUPR","5791","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Fritzschia","anisostemon","Fritzschia anisostemon","Cham. & Schltdl.","Badini, J.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Lavras Novas","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,"Badini, J.",NA,NA,NA,NA,"Ouro Preto",NA,NA,"44599","auto",NA,NA,NA,NA
"8","2019-11-06 09:56:21-03","UFOP","OUPR","5788","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Fritzschia","anisostemon","Fritzschia anisostemon","Cham. & Schltdl.","Lisboa, M.A.","s.n.","1974","05","04",NA,"Brasil","Minas Gerais","Lavras Novas","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,"Lisboa, M.A.","1974","05","16",NA,"Ouro Preto",NA,NA,"44599","auto",NA,NA,NA,NA
"9","2019-11-06 09:56:21-03","UFOP","OUPR","5790","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Fritzschia","anisostemon","Fritzschia anisostemon","Cham. & Schltdl.","Magalhães-Gomes, F.M.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Parque Estadual do Itacolomi","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,"Magalhães-Gomes, F.M.",NA,NA,NA,NA,"Ouro Preto",NA,NA,"44599","auto",NA,NA,NA,NA
"10","2019-11-06 09:56:21-03","UFOP","OUPR","5795","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Fritzschia","anisostemon","Fritzschia anisostemon","Cham. & Schltdl.","Damazio, L.B.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Parque Estadual do Itacolomi","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,"Damazio, L.B.",NA,NA,NA,NA,"Ouro Preto",NA,NA,"44599","auto",NA,NA,NA,NA
"11","2019-11-06 09:56:21-03","UFOP","OUPR","5794","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Fritzschia","anisostemon","Fritzschia anisostemon","Cham. & Schltdl.","Badini, J.","s.n.","1976","12","08",NA,"Brasil","Minas Gerais","Serra do Itatiaia","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Campo. Subarbusto. Flores róseas",NA,"Badini, J.","1976","12","14",NA,"Ouro Preto",NA,NA,"44599","auto",NA,NA,NA,NA
