"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","relatedCatalogItem","occurrenceRemarks","barcode","continentOcean","preparationType","previousCatalogNumber","phylum","order","identifiedBy","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","dayIdentified","class","fieldNumber","individualCount","sex"
"1","2020-09-24 10:58:18-03","UEPA","MFS-FLORES","MFSFL000038","S","Plantae","Rubiaceae","Genipa","americana","Genipa americana","L.","2012","10","Santos, TAP dos","24","2012","10","05","Brasil","Pará","Belém","Embrapa Amazônia Oriental. Em frente ao prédio da chefia.","-48.490178","-1.455731","-48.490178","-1.455731","MFS001849","Árvore de 14m de altura. Presença de flores amarelas e alvas. Botões florais verdes.","MFSFL000038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:04-03","E","E","146290","PreservedSpecimen","Plantae","Rubiaceae","Genipa","americana","Genipa americana",NA,NA,NA,"Ratter,J.A., Milliken, W., Silva, E.S. Coelho, D., Lima,J. & Bernadette",NA,"1987","03","17","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00146290 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00146290","E. Tropical South America","fruit collection/cone collecti","BGBASE:156321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01061588","PreservedSpecimen","Plantae","Rubiaceae","Genipa","americana","Genipa americana","L.",NA,NA,"C. A. Todzia","2256","1983","06","27","Brazil","Amazonas","Borba","Mouth of Rio Canuma, across river from Canuma; blackwater.","-59","-4",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1267298' target='other'> <mi>dwc_moreinfo</mi></a>","NY01061588","South America","sheet",NA,"Magnoliophyta","Gentianales","B. M. Boom","NY01061588_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01061594","PreservedSpecimen","Plantae","Rubiaceae","Genipa","americana","Genipa americana","L.",NA,NA,"S. A. Mori","22468","1992","06","24","Brazil","Amazonas",NA,"Rio Negro. Paraná do Jacaré","-61.2166669","-2",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1267320' target='other'> <mi>dwc_moreinfo</mi></a>","NY01061594","South America","sheet",NA,"Magnoliophyta","Gentianales","J. H. Kirkbride Jr.","NY01061594_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1551142","PreservedSpecimen","Plantae","Rubiaceae","Genipa","americana","Genipa americana","L.",NA,NA,"V. de F. Mansano","464","2007","12","14","Brazil","Espírito Santo","Aracruz","Retiro Serra Peladinha.","-40.31","-19.744",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1911931' target='other'> <mi>dwc_moreinfo</mi></a>","NY01551142","South America","sheet",NA,"Magnoliophyta","Gentianales","V. de F. Mansano","NY01551142_01","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01061599","PreservedSpecimen","Plantae","Rubiaceae","Genipa","americana","Genipa americana","L.",NA,NA,"A. Henderson","584",NA,NA,NA,"Brazil","Roraima",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1269645' target='other'> <mi>dwc_moreinfo</mi></a>","NY01061599","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,"NY01061599_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00891769","PreservedSpecimen","Plantae","Rubiaceae","Genipa","americana","Genipa americana","L.",NA,NA,"P. Nogueira Silva","712","2000","01","18","Brazil","Tocantins","Caseara","Parque Estadual do Tocantins","-49.9556","-9.2783",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=960715' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891769","South America","sheet",NA,"Magnoliophyta","Gentianales","P. G. Delprete","NY00891769_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","710163","PreservedSpecimen","Plantae","Rubiaceae","Genipa","americana","Genipa americana","L.",NA,NA,"D. C. Daly","10016","1999","03","24","Brazil","Acre","Santa Rosa do Purus","Rio Purus, left bank, Seringal Santa Helena.","-70.1769","-9.1303",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=880921' target='other'> <mi>dwc_moreinfo</mi></a>","NY00710163","South America","separate fruit",NA,"Magnoliophyta","Gentianales","C. M. Taylor","NY00710163_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3107792","PreservedSpecimen","Plantae","Rubiaceae","Genipa","americana","Genipa americana","L.",NA,NA,"J. L. Clark","3112","1996","10","27","Ecuador","Esmeraldas","Quinindé","Fundación Paraíso de Papagayos. Centro de Rescate de Aves y Mamíferos. km 2 via Esmeraldas.","-79.47","0.33",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2900591' target='other'> <mi>dwc_moreinfo</mi></a>","NY03107792","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,"NY03107792_01","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","950283","PreservedSpecimen","Plantae","Rubiaceae","Genipa","americana","Genipa americana","L.",NA,NA,"G. Eiten","10751","1970","02","22","Brazil","Maranhão","Loreto","Ilha de Balsas region between the Balsas & Parnaíba Rivers. 35 km south of Loreto. South of main house of Fazenda Morros.","-45.07","-7.38",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1054515' target='other'> <mi>dwc_moreinfo</mi></a>","NY00950283","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,"NY00950283_01","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA
