"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","163364","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Chresta","souzae","Chresta souzae","H.Rob.","isotype","H. S. Irwin","9286","1965","10","19","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 12km. northwest of Veadeiros","-47.5097","-14.1325","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258696' target='other'> <mi>dwc_moreinfo</mi></a>","NY00163364","NY00163364_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","871866","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Chresta","souzae","Chresta souzae","H.Rob.",NA,"H. S. Irwin","9290","1965","10","19","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 12 km N.W. of Alto Paraíso de Goiás (formerly Veadeiros).","-47.59528","-14.04001","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933464' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871866","NY00871866_01","C. M. Siniscalchi",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:10:11-03","UFBA","ALCB","126977","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Chresta","souzae","Chresta souzae","H.Rob.",NA,"Verdi, M; Fernandes, EP; Maurenza, D","7353","2014","11","26","Southern America","Brasil","Goiás","Cavalcante",NA,"-47.494444","-13.943056","1462","1462",NA,"Folhas verdes; flor lilás; pouco frequente; encontrada em solo arenoso e úmido; área recentemente queimada. Com Foto. Altura: 20 cm.; Cerrado, Campo Limpo.","ALCB041060","ALCB041060","Siniscalchi, C","2014","12","-47.494444","-13.943056",NA,NA,NA,NA
"4","2020-12-21 16:15:24-03","MBM","MBM","138665","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chresta","souzae","Chresta souzae","H. Rob.",NA,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","54601","1990","09","15","Southern America","Brazil","Goiás","Alto Paraíso de Goiás","Rod. GO-327, 2-5km Oeste de Alto Paraíso","-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,"MBM138665","MBM138665","Robinson, H.",NA,NA,NA,NA,"44724","auto",NA,NA
"5","2020-12-21 16:15:24-03","MBM","MBM","73575","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chresta","souzae","Chresta souzae","H. Rob.",NA,"Hatschbach, G.","44568","1982","02","09","Southern America","Brazil","Paraná","Almirante Tamandaré","Rodovia dos Minérios, Rio Barigui","-49.310001373291","-25.3246994018555",NA,NA,NA,NA,"MBM073575","MBM073575","Robinson, H.",NA,NA,NA,NA,"18684","auto",NA,NA
"6","2020-10-01 14:15:23-03","JBB","HEPH","13710","S","Plantae","Dicotyledon","Asterales","Asteraceae","Chresta","souzae","Chresta souzae","H.Rob.",NA,"Munhoz, CBR","539","1997","09","27","Southern America","Brasil","Goiás","Alto Paraíso de Goiás","Buriti Sozinho 8km a esquerda de Alto Paraíso sentido São Jorge","-47.621944","-14.171667","354","354",NA,NA,NA,NA,"Calago, K",NA,NA,"-47.621944","-14.171667",NA,NA,NA,NA
"7","2009-12-05 05:17:00-02","MO","MOBOT","3308726","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chresta","souzae","Chresta souzae","H. Rob.",NA,"Gert G. Hatschbach|Maria M. Hatschbach|J.M. Silva","Hatschbach 54601","1990",NA,NA,"South America","Brazil","Goiás",NA,"Rod. GO-327, 2-5 km Oeste de Alto Paraiso, Goias.",NA,NA,"1200.00000000",NA,NA,NA,NA,NA,"H. Robinson",NA,NA,NA,NA,NA,NA,NA,NA
"8","2008-05-27 22:02:00-03","MO","MOBOT","3308855","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chresta","souzae","Chresta souzae","H. Rob.",NA,"Gert G. Hatschbach","Hatschbach 44568","1982",NA,NA,"South America","Brazil","Paraná",NA,"Rod. dos Minerios, Rio Bariqui (mun. Alm. Tamandare).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-08-31 08:52:51-03","INPA","INPA","142154","S","Plantae","Dicotyledon Asterids","Asterales","Asteraceae","Chresta","souzae","Chresta souzae","H.Rob.",NA,"Hatschbach, GG","44568","1982","02","09","Southern America","Brasil","Paraná","Almirante Tamandaré","Rod. dos Mineiros, rio Barigui. Campos das encostas de colina, junto a Mikania, Cuphea, Galactia.","-49.310001373291","-25.3246994018555",NA,NA,NA,NA,"INPA0142154","INPA0142154 INPA0142154_e","Robinson, HE","1985",NA,NA,NA,"18684","auto",NA,NA
"10","2020-09-12 05:00:02-03","US","US","3031216","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Chresta","souzae","Chresta souzae","H. Rob.",NA,"G. Hatschbach","44568","1982","2","9","South America","Brazil","Paraná",NA,"RRod. dos Minerios, rio Barigui (mun. Alm. Tamandare)",NA,NA,NA,NA,NA,NA,"US01635582","US01635582_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
