"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","typeStatus","locality","occurrenceRemarks","imagecode","identifiedBy","class","decimalLongitude","decimalLatitude"
"1","2021-03-30 12:52:24-03","EAO","IAN","35200","PreservedSpecimen","Plantae","Monocotiledônea","Eriocaulaceae","Paepalanthus","xiphophyllus","Paepalanthus xiphophyllus","Ruhland","Schwacke, J","14578","Southern America","Brasil","IAN035200",NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-02-02 14:38:09-02","BGBM","B","B 10 0247203","S","Plantae",NA,"Eriocaulaceae","Paepalanthus","xiphophyllus","Paepalanthus xiphophyllus","Ruhland","Sena","Herb. Schwacke 14578","Middle and South America","Brazil","B100247203","holotype","Minas Gerais; Serra da Gandevelha.","Ex Herb. Schwacke No.14578 <a href=http://herbarium.bgbm.org/object/B100247203 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100247203",NA,NA,NA,NA
"3","2012-05-17 05:02:00-03","MO","MOBOT","3047463","PreservedSpecimen","Plantae",NA,"Eriocaulaceae","Paepalanthus","xiphophyllus","Paepalanthus xiphophyllus","Ruhland","Carl Schwacke","Schwacke 14578","South America","Brazil",NA,NA,NA,NA,NA,"N. Hensold",NA,NA,NA
"4","2019-09-04 19:43:43-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Eriocaulaceae","Paepalanthus","xiphophyllus","Paepalanthus xiphophyllus",NA,"C. A. W. Schwacke","14578","South America","Brazil",NA,"Holotype",NA,NA,NA,NA,"Monocotyledoneae","-52.8731","-10.8339"
