"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","year","fieldNumber","month","day","preparationType","barcode","imagecode","typeStatus","phylum","dayIdentified"
"1","2019-11-06 09:57:13-03","UFOP","OUPR","7105","PreservedSpecimen","Plantae","Polypodiaceae","Ceradenia","warmingii","Ceradenia warmingii","(C.Chr.) Labiak","Labiak, P.H.","2000","09","Damazio, L.B.","s.n.","Brasil","Minas Gerais","Ouro Preto","Itacolomi","-43.5080986022949","-20.2875003814697","44599","Rochedos.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-06 09:57:13-03","UFOP","OUPR","7104","PreservedSpecimen","Plantae","Polypodiaceae","Ceradenia","warmingii","Ceradenia warmingii","(C.Chr.) Labiak","Labiak, P.H.","2000","04","Badini, J.","s.n.","Brasil","Minas Gerais","Ouro Preto","Serra do Itacolomi","-43.5080986022949","-20.2875003814697","44599","Erva. Sobre cascas de árvores.","auto","1958",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-09-27 20:37:54-03","MNHN","RECOLNAT_MNHN_P","P00696702","PreservedSpecimen",NA,"Pteridophyta","Ceradenia","warmingii","Ceradenia warmingii","(C.Chr.) P.H.Labiak","Labiak",NA,NA,"Schwacke, C.A.W.",NA,"Brésil",NA,NA,"Itacolumi",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00696702' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"1894","10252","1","14","hb","P00696702","P00696702_01",NA,NA,NA
"4","2015-09-03 20:43:43-03","MNHN","RECOLNAT_MNHN_P","P00696703","PreservedSpecimen",NA,"Pteridophyta","Ceradenia","warmingii","Ceradenia warmingii","(C.Chr.) P.H.Labiak","Labiak",NA,NA,"Schwacke, C.A.W.",NA,"Brasil",NA,NA,"Ouro Preto",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00696703' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"1895","9533",NA,NA,"hb","P00696703","P00696703_01",NA,NA,NA
"5","2017-12-25 18:57:44-02","MNHN","RECOLNAT_MNHN_P","P01537195","PreservedSpecimen",NA,"Pteridophyta","Ceradenia","warmingii","Ceradenia warmingii","(C.Chr.) P.H.Labiak","Salino",NA,NA,"Glaziou, A.",NA,"Brésil",NA,NA,"Haut de l'Itacolumy. Minas G.",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01537195' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"1890","18687","7","28","hb","P01537195","P01537195_01 P01537195_02","isotype",NA,NA
"6","2020-09-29 14:53:33-03","UFPR","UPCB","70678","PreservedSpecimen","Plantae","Polypodiaceae","Ceradenia","warmingii","Ceradenia warmingii","(C.Chr.) Labiak","Labiak, P.H.","2015","03","Almeida, T.E.","748","Brasil","Minas Gerais","Rio Preto","Serra Negra. Ninha da Égua.","-43.8278007507324","-22.0891990661621","20815","Rupícola em grota próxima ao Ninho da Égua.","auto","2007",NA,"04","09",NA,"UPCB0029958","UPCB0029958",NA,"Polypodiophyta","20"
