"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","fieldNumber","preparationType","occurrenceRemarks","imagecode","continentOcean","identifiedBy","yearIdentified","monthIdentified","dayIdentified"
"1","2019-08-27 13:28:39-03","IAP","PACA-AGP","102288","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Caryophyllales","Cactaceae","Parodia","concinna","Parodia concinna","(Monville) N. P. Taylor","M. Machado","836","2006","10","22","Brasil","RS","Cerrito","Entrada de Capão do Leão, BR 293.","-52.793167","-31.645306","52°47'35,40W","31°38'43,10S","258","258","PACA102288",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:28:39-03","IAP","PACA-AGP","102292","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Caryophyllales","Cactaceae","Parodia","concinna","Parodia concinna","(Monville) N. P. Taylor","M. Machado","831","2006","10","21","Brasil","RS","São Lourenço do Sul","Distrito de São Lucas Tadeu do Sítio.","-52.056111","-31.250722","52°03'22,00W","31°15'02,60S","175","175","PACA102292",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-09-04 16:51:26-03","MNHN","RECOLNAT_MNHN_P","P04919482","PreservedSpecimen",NA,NA,NA,NA,"Cactaceae","Parodia","concinna","Parodia concinna","(Monv.) N.P.Taylor","Commerson",NA,NA,NA,NA,"Uruguai",NA,NA,"Montevideo. Uruguai",NA,NA,NA,NA,NA,NA,"P04919482","1767","hb",". s.d. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04919482' target='other'> <mi>dwc_moreinfo</mi></a>","P04919482_01",NA,NA,NA,NA,NA
"4","2015-09-04 16:51:05-03","MNHN","RECOLNAT_MNHN_P","P04919341","PreservedSpecimen",NA,NA,NA,NA,"Cactaceae","Parodia","concinna","Parodia concinna","(Monv.) N.P.Taylor","Saint-Hilaire, A. de",NA,"1816","1","1","Uruguai",NA,NA,"Banda Orienta Del Uruguay. Roches au Pão de Assucar. Uruguai",NA,NA,NA,NA,NA,NA,"P04919341","C2 2154","hb","Voyage d' Auguste de Saint-Hilaire, de 1816 à 1821. . J´ai cette espèce dans non dans mon herbier; elle a été recueillis auprès de Monte Video par Comerson <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04919341' target='other'> <mi>dwc_moreinfo</mi></a>","P04919341_01",NA,NA,NA,NA,NA
"5","2015-09-04 16:51:26-03","MNHN","RECOLNAT_MNHN_P","P04919483","PreservedSpecimen",NA,NA,NA,NA,"Cactaceae","Parodia","concinna","Parodia concinna","(Monv.) N.P.Taylor",NA,NA,"1889","6","30","Bolívia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"P04919483","2","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04919483' target='other'> <mi>dwc_moreinfo</mi></a>","P04919483_01",NA,NA,NA,NA,NA
"6","2013-08-23 04:12:00-03","MO","MOBOT","1458480","PreservedSpecimen","Plantae",NA,NA,NA,"Cactaceae","Echinocactus","concinnus","Echinocactus concinnus","Monv.","W.G. Herter","Herter 720","1935",NA,NA,"Uruguay","Montevideo",NA,"Pajas Blancas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA
"7","2019-10-07 09:18:42-03","UEFS","HUEFS","135127","PreservedSpecimen","Plantae","Angiospermae","Caryophyllanae","Caryophyllales","Cactaceae","Parodia","concinna","Parodia concinna","(Monv.) N.P.Taylor","Machado, M.","831","2006","10","21","Brasil","Rio Grande do Sul","São Lourenço","district of São Judas Tadeu do Sítio. 5Km north of entrance to São Lourenço do Sul on the BR 116, take a turn to the left on unpaved road. After 4Km turn to the left junction. After 2.5Km is the location, within farm Fazenda Nossa Senhora Aparecida.","-52.056111","-31.25","52W3'22''","31S15'0''","175","175","HUEFS0135127",NA,NA,"Granitic rock.","HUEFS0135127",NA,NA,NA,NA,NA
"8","2019-10-07 09:18:42-03","UEFS","HUEFS","104966","PreservedSpecimen","Plantae","Angiospermae","Caryophyllanae","Caryophyllales","Cactaceae","Parodia","concinna","Parodia concinna","(Monv.) N.P.Taylor","Machado, M.","640","2005","11","29","Brasil","Rio Grande do Sul","Canguçu","BR-392 de Canguçu em direção a Santana da Boa Vista, após ca. 2.7 km da entrada de Canguçu (ca. 400 m após o entroncamento da BR-392 com a estrada para São Lourenço), afloramentos de granito à direita da estrada.","-52.700833","-31.389722","52W42'3''","31S23'23''","447","447","HUEFS0104966",NA,NA,NA,"HUEFS0104966",NA,NA,NA,NA,NA
"9","2019-10-07 09:18:42-03","UEFS","HUEFS","135132","PreservedSpecimen","Plantae","Angiospermae","Caryophyllanae","Caryophyllales","Cactaceae","Parodia","concinna","Parodia concinna","(Monv.) N.P.Taylor","Machado, M.","836","2006","10","22","Brasil","Rio Grande do Sul",NA,"From the entrance of Capão do Leão at the BR 293 drive west on the road BR 293 for 27Km, then turn right on unpaved road to Passo do Santana, after 8Km turn left in fork. After 5Km turn left on fork towards Vila Freire, after 2Km is Vila Freire, 1Km further on is the location.","-52.629167","-31.73","52W37'45''","31S43'48''","258","258","HUEFS0135132",NA,NA,"Granitic rock.","HUEFS0135132",NA,NA,NA,NA,NA
"10","2017-09-11 17:09:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Cactaceae","Echinocactus","joadii","Echinocactus joadii","Hook. f.","?","s.n.",NA,NA,NA,"Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA
"11","2021-02-08 12:39:03-03","UFRGS","ICN","170857","S","Plantae","Dicotyledon",NA,NA,"Cactaceae","Parodia","concinna","Parodia concinna","(Monv.) N. P. Taylor","Salengue, EV; Saraiva, DD","13","2009","04","11","Brasil","RS","Pedras Altas","Campo pedregoso em topo de coxilha.",NA,NA,NA,NA,"315","315",NA,NA,NA,"Diâmetro = 50,26mm, Comprimento = 57,08mm, 18 costelas Rippen, 4 espinhos centrais (8-14mm), 12-14 espinhos laterais; indivíduo clonal (20 x 14,34mm); Flor: altura = 49,09mm; estilete-ovário = 27,84mm; ovário = 8mm; estilete = 19,30mm; estigma = 4,",NA,"América do Sul","Salengue, EV","2011","09","13"
