"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","521988","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","polyandra","Miconia polyandra","Gardner","L. Riedel","336","1831","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=408799' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521988","NY00521988_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","521992","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","polyandra","Miconia polyandra","Gardner","F. C. Hoehne","23835","1923","South America","Brazil","Alto da Serra, mata da Estaçao Biologica","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=408795' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521992","NY00521992_01","R. Goldenberg","02","28","São Paulo","Ribeirao Pires","-46.4097","-23.71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1519503","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","polyandra","Miconia polyandra","Gardner","A. M. Amorim","5632","2006","South America","Brazil","Divisa entre Bahia e Minas Gerais. Fazenda Duas Barras. Reserva do Alto Cariri. Trilha da Divisa Bahia-Minas Gerais.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1775591' target='other'> <mi>dwc_moreinfo</mi></a>","NY01519503","NY01519503_01","R. Goldenberg","02","09","Minas Gerais","Santa Maria do Salto","-40.0544","-16.4064","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","521989","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","polyandra","Miconia polyandra","Gardner","L. Riedel","236","1823","South America","Brazil","In silvis montoso Serra Estrella","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=408794' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521989","NY00521989_01","C. A. Cogniaux","11",NA,"Rio de Janeiro","Petrópolis","-43.1783","-22.505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","521991","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","polyandra","Miconia polyandra","Gardner","S. A. Mori","10740","1978","South America","Brazil","Ca. 5 km a W de Itamaraju. Folha SE-24 (17-40d)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=408796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521991","NY00521991_01","J. J. Wurdack","09","20","Bahia","Itamarajú","-39.5815229","-17.0363517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1688909","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","polyandra","Miconia polyandra","Gardner","S. C. de Sant'Ana","537","1994","South America","Brazil","Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da Rod. ba-001 Ilhéus/Una.","sheet","Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=380659' target='other'> <mi>dwc_moreinfo</mi></a>","NY01688909","NY01688909_01","R. Goldenberg","07","05","Bahia","Una","-39.08","-15.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00925402","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","polyandra","Miconia polyandra","Gardner","H. S. Irwin","2725","1959","South America","Brazil","State Agricultural School.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997847' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925402","NY00925402_01","D. F. Paredes","02","24","Minas Gerais","Viçosa","-42.868031","-20.7613428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","229317","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","polyandra","Miconia polyandra","Gardner","G. Gardner","395",NA,"South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=408797' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229317","NY00229317_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","521987","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","polyandra","Miconia polyandra","Gardner","A. F. M. Glaziou","s.n.",NA,"South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=408798' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521987","NY00521987_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2423203","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","polyandra","Miconia polyandra","Gardner","L. F. Bacci","161","2015","South America","Brazil","Luxemburgo, subida para o Alto Misterioso.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685487' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423203","NY02423203_01",NA,"05","11","Espírito Santo","São Roque do Canaã","-40.7719","-19.8028","280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
