"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber"
"1","2021-04-05 14:25:16-03","UNESC","CRI","2724","PreservedSpecimen","Plantae","Fabaceae","Copaifera","trapezifolia","Copaifera trapezifolia","Hayne","A. Burkart","1995","07","26","R. Klein","474","1955","07","26","Brasil","Santa Catarina","Itajaí","Cunhas.","-48.662222","-26.908333","48º39'44''W","26º54'30''S","30","30","CRI002683","CRI002683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:16-03","UNESC","CRI","6763","PreservedSpecimen","Plantae","Fabaceae","Copaifera","trapezifolia","Copaifera trapezifolia","Hayne","A. Burkart",NA,NA,NA,"Reitz; Klein","3482","1956","07","18","Brasil","Santa Catarina","Ibirama",NA,"-49.518056","-27.0575","49º31'5''W","27º3'27''S","150","150","CRI002702","CRI002702",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:32-03","UNESC","CRI","2721","PreservedSpecimen","Plantae","Fabaceae","Copaifera","trapezifolia","Copaifera trapezifolia","Hayne","A. Burkart","1955","02","10","R. Klein","44","1955","02","10","Brasil","Santa Catarina","Itajaí","Morro da Fazenda.","-48.662222","-26.908333","48º39'44''W","26º54'30''S","4","4","CRI002684","CRI002684","Habitat: mata Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:16-03","UNESC","CRI","6806","PreservedSpecimen","Plantae","Fabaceae","Copaifera","trapezifolia","Copaifera trapezifolia","Hayne","A. Burkart",NA,NA,NA,"R. M. Klein",NA,"1955","02","10","Brasil","Santa Catarina","Itajaí","Morro da Fazenda.","-48.662222","-26.908333","48º39'44''W","26º54'30''S","30","30","CRI002708","CRI002708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:16-03","UNESC","CRI","6809","PreservedSpecimen","Plantae","Fabaceae","Copaifera","trapezifolia","Copaifera trapezifolia","Hayne","A. Burkart",NA,NA,NA,"R. Klein","1436","1955","06","24","Brasil","Santa Catarina","Itajaí","Morro da Fazenda.","-48.662222","-26.908333","48º39'44''W","26º54'30''S","300","300","CRI002707","CRI002707",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:16-03","UNESC","CRI","6783","PreservedSpecimen","Plantae","Fabaceae","Copaifera","trapezifolia","Copaifera trapezifolia","Hayne","A. Burkart",NA,NA,NA,"R. Klein","1892","1956","03","06","Brasil","Santa Catarina","Ibirama","Horto Florestal I. N. P.","-49.518056","-27.0575","49º31'5''W","27º3'27''S","300","300","CRI002704","CRI002704",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:16-03","UNESC","CRI","6808","PreservedSpecimen","Plantae","Fabaceae","Copaifera","trapezifolia","Copaifera trapezifolia","Hayne","A. Burkart",NA,NA,NA,"R. Klein",NA,"1956","03","06","Brasil","Santa Catarina","Ibirama","Horto Florestal I. N. P.","-49.518056","-27.0575","49º31'5''W","27º3'27''S","300","300","CRI002705","CRI002705",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:16-03","UNESC","CRI","6755","PreservedSpecimen","Plantae","Fabaceae","Copaifera","trapezifolia","Copaifera trapezifolia","Hayne",NA,NA,NA,NA,"R. Klein","1474","1955","07","26","Brasil","Santa Catarina","Itajaí","Cunhas.","-48.670833","-26.910278","48º40'15''W","26º54'37''S","30","30","CRI002680","CRI002680","Habitat: mata Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:16-03","UNESC","CRI","6781","PreservedSpecimen","Plantae","Fabaceae","Copaifera","trapezifolia","Copaifera trapezifolia","Hayne","A. Burkart",NA,NA,NA,"R. M. Klein","1044","1955","02","10","Brasil","Santa Catarina","Itajaí","Morro da Fazenda.","-48.662222","-26.908333","48º39'44''W","26º54'30''S","30","30","CRI002681","CRI002681",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:16-03","UNESC","CRI","6764","PreservedSpecimen","Plantae","Fabaceae","Copaifera","trapezifolia","Copaifera trapezifolia","Hayne","A. Burkart",NA,NA,NA,"R. Klein","1597","1955","09","15","Brasil","Santa Catarina","Itajaí","Morro da Ressacada.","-48.662222","-26.908333","48º39'44''W","26º54'30''S","150","150","CRI002706","CRI002706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
