"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","infraspecificEpithet","typeStatus","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","monthIdentified","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","470190","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","acanthophylla","Maytenus acanthophylla","Reissek","L. P. de Queiroz","L. P. de Queiroz","3862","1994","04","27","South America","Brazil","Bahia","Iaçú","Fazenda Laranjo, a ca. 14 km do entroncamento para Iaçu na estrada para Joao Amaro. Caatinga arborea no Morro da Pedreira (Sonéia)","-40.21","-12.76","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=356552' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470190","NY00470190_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02282341","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","acanthophylla","Maytenus acanthophylla","Reissek","L. Biral","S. A. Mori","11125","1978","11","17","South America","Brazil","Bahia","Maracás","Rod. BA-026, 15 km ao SW de Maracás. Folha SD-24 (14-40a).","-40.4306","-13.4411","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=644806' target='other'> <mi>dwc_moreinfo</mi></a>","NY02282341","NY02282341_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","470189","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","acanthophylla","Maytenus acanthophylla","Reissek","L. P. de Queiroz","L. P. de Queiroz","3881","1994","04","27","South America","Brazil","Bahia","Boa Vista do Tupim","Ca. 3 km após a balsa para travessia do Rio Paraguaçu, para Joao Amaro, na estrada para Boa Vista do Tupim","-40.6","-12.66","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=356551' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470189","NY00470189_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02680561","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","acanthophylla","Maytenus acanthophylla","Reissek",NA,"L. Biral","1072","2014","07","04","South America","Brazil","Bahia","Jequié","Morro do Castanhão","-40.1753","-13.95422","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2948906' target='other'> <mi>dwc_moreinfo</mi></a>","NY02680561","NY02680561_01","344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1031056","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","acanthophylla","Maytenus acanthophylla eurostos","Loes.","L. Biral","C. E. O. Kuntze","s.n.","1892","08",NA,"South America","Brazil","Mato Grosso do Sul","Corumbá","Corumba","-57.6531","-19.0094","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142428' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031056","NY01031056_01",NA,"eurostos","holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:36:39-03","EAO","IAN","102571","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Celastraceae","Maytenus","acanthophylla","Maytenus acanthophylla","Reiss","Barroso, GM","Magalhães, MG","6085","1953","11","30","Southern America","Brasil","Minas Gerais","Januária","Em pedreira de calcáreo. Capoeira de caatinga, 7km de Januária.","-44.3616981506348","-15.4881000518799",NA,"Arbusto cespitoso de 1-2m de altura; for amarelo-pálido. Isolada.","IAN102571",NA,NA,NA,NA,"1954","148972","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:36:39-03","EAO","IAN","105565","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Celastraceae","Maytenus","acanthophylla","Maytenus acanthophylla","Reiss","Barroso, GM","Magalhães, MG","6085","1953","11","30","Southern America","Brasil","Minas Gerais","Januária","Em pedreira de calcáreo. Capoeira de caatinga, 7km de Januária.","-44.3616981506348","-15.4881000518799",NA,"Arbusto cespitoso de 1-2m de altura; for amarelo-pálido. Isolada.","IAN105565",NA,NA,NA,NA,"1954","148972","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:36:39-03","EAO","IAN","195923","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Celastraceae","Monteverdia","acanthophylla","Monteverdia acanthophylla","(Reissek) Biral","Guedes, MLS","Biral, L; Menezes, D; Silva, GS","1072","2014","07","04","Southern America","Brasil","Bahia","Jequié","Morro do Castanhão. Caatinga, solo arenoso.","-40.175278","-13.954222",NA,"Arbusto ca. 2m de altura, ramos jovens suberosos, botões quando presentes amarelos.","IAN195923",NA,"344",NA,NA,"2021",NA,NA,"-40.175278","-13.954222","344",NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:12:47-03","UFBA","ALCB","02363","PreservedSpecimen","Plantae","Dicotyledon",NA,"Celastraceae","Monteverdia","acanthophylla","Monteverdia acanthophylla","(Reissek) Biral","Okano, RC","Pinto, GCP","s/n","1972","07",NA,"Southern America","Brasil","Bahia","Itaberaba","Paraguaçu, Fazenda Caldeirão da Onça","-40.3","-12.516667",NA,NA,"ALCB036155","ALCB036155",NA,NA,NA,"1992",NA,NA,"-40.3","-12.516667",NA,"10",NA,NA,NA,NA,NA
"10","2019-10-09 11:12:47-03","UFBA","ALCB","029278","PreservedSpecimen","Plantae","Dicotyledon",NA,"Celastraceae","Monteverdia","acanthophylla","Monteverdia acanthophylla","(Reissek) Biral","Queiroz, LP de","Queiroz, LP de; Nascimento, NS","3881","1994","04","27","Southern America","Brasil","Bahia","Boa Vista do Tupim","Paraguaçu, Ca. 3 km após a balsa para travessia do Rio Paraguaçu, para João Amaro, na estrada para Boa Vista do Tupim.","-40.808056","-12.7925",NA,"Ca. 1,5 m de altura. Muito ramificado. Folhas coriáceas. Frutos maduros. Pouco frequente, em frutificação.; Solo arenoso.","ALCB036153","ALCB036153",NA,NA,NA,"1994",NA,NA,"-40.808056","-12.7925",NA,NA,NA,NA,NA,NA,NA
