"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","locality","phylum","order","scientificNameAuthorship","recordNumber","county","decimalLongitude","decimalLatitude","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","relationshipType","typeStatus","fieldNumber","individualCount"
"1","2020-09-23 10:44:05-03","E","E","190508","PreservedSpecimen","Plantae","Umbelliferae","Hydrocotyle","pusilla","Hydrocotyle pusilla","Harley, R.M.; Stannard, B.; Nic Lughadha, E.; Ganev, W.; Queiroz, R.F.","1992","02","17","E. Tropical South America","BR","Bahia","herbarium specimen of unspecif","BGBASE:212268","<a href=http://data.rbge.org.uk/herb/E00190508 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00190508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:44:05-03","E","E","334861","PreservedSpecimen","Plantae","Umbelliferae","Hydrocotyle","pusilla","Hydrocotyle pusilla","Tweedie, John",NA,NA,NA,"Temperate South America","AR","Provincia de Buenos Aires","herbarium specimen of unspecif","BGBASE:361861","<a href=http://data.rbge.org.uk/herb/E00334861 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334861","Buenos Ayres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2422844","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","pusilla","Hydrocotyle pusilla","E. P. Heringer","1975","09","18","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2674813' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422844","Parque Estadual do Rio Doce. On peninsula at Lake Helvécio near Casa de Tabúa guest house","Magnoliophyta","Apiales","A.Rich.","15157","Marliéria","-42.6","-19.77","NY02422844_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","777183","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","pusilla","Hydrocotyle pusilla","R. M. Harley","1992","02","17","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238262' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777183","Tijuquinho","Magnoliophyta","Apiales","A.Rich.","52095","Abaíra","-41.9","-13.27","NY00777183_01","I. P. Correa","1610","1610",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 07:26:00-03","NY","NYBG","617754","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","pusilla","Hydrocotyle pusilla","E. Asplund","1956","02","14","South America","Ecuador",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238264' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617754","Napo/Pastaza border. Cashurco","Magnoliophyta","Apiales",NA,"19365",NA,NA,NA,NA,NA,"1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 09:30:00-03","NY","NYBG","617756","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","pusilla","Hydrocotyle pusilla","J. M. Mendoza F.","2001","05","10","South America","Bolivia","La Paz","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238260' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617756","Chulumani. 5 km NE Huacané lado","Magnoliophyta","Apiales",NA,"55","Sud Yungas","-67.5","-16.35",NA,"J. M. Mendoza F.","2016","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-27 07:26:00-03","NY","NYBG","617755","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","pusilla","Hydrocotyle pusilla","M. E. Mathias","1959","07","05","South America","Peru","San Martín","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238265' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617755","Pr. Mariscal Caceres. On road between La divisoria and Aguaytia, Cordillera Azul, 1-2 km east of Funa Chela","Magnoliophyta","Apiales",NA,"3612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","617759","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","pusilla","Hydrocotyle pusilla","L. B. Smith","1964","12","04","South America","Brazil","Santa Catarina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238259' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617759","Campos de Palmas, 15-19 km south of Horizonte (Paraná)","Magnoliophyta","Apiales","A.Rich.","13596","Agua Doce","-51.62","-26.73","NY00617759_01","M. E. Mathias; L. Constance","1100","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","617758","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","pusilla","Hydrocotyle pusilla","R. Reitz","1959","01","12","South America","Brazil","Santa Catarina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238256' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617758","Serra do Oratório, Bom Jardim, Sao Joaquim","Magnoliophyta","Apiales","A.Rich.","8126","Sao Joaquim","-49.9317","-28.2942","NY00617758_01","L. Constance","1400","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","617757","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","pusilla","Hydrocotyle pusilla","J. A. Steyermark","1982","10","29","South America","Venezuela","Portuguesa","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238257' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617757","15 kms al Este de Chabasquén, 67 kms al NNO de Guanare","Magnoliophyta","Apiales","A.Rich.","126664",NA,NA,NA,NA,"L. Constance","1450","1520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","777184","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","pusilla","Hydrocotyle pusilla","R. M. Harley","1992","02","24","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238263' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777184","Tijuquinho","Magnoliophyta","Apiales","A.Rich.","52180","Abaíra","-41.9","-13.27","NY00777184_01","I. P. Correa","1700","1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-13 09:18:55-03","UFRJ","RFA","22899","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","pusilla","Hydrocotyle pusilla","F. Segadas-Vianna","1945","03","03",NA,"Brasil","Rio de Janeiro",NA,NA,"No s","RFA18775","Km 4",NA,NA,"A.Rich.","740","Itatiaia","-44.5633010864258","-22.4960994720459",NA,"M.E. Mathias & L. Constance","1050","1050","1960","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
