"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","503002","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Standleya","kuhlmannii","Standleya kuhlmannii","Brade","P. G. Delprete","A. P. Duarte","9153","1965","02","20","South America","Brazil","Espírito Santo","Linhares","Próximo a Linhares","-40.0719","-19.3911","sheet","a leaf sample was collected by J. Rova, 11/10/96 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=646169' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503002","NY00503002_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","503003","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Standleya","kuhlmannii","Standleya kuhlmannii","Brade","B. D. Sucre","A. P. Duarte","3616","1953","02","05","South America","Brazil","Espírito Santo",NA,"Córrego da Preguiça, norte do Espírito Santo",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=646168' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503003","NY00503003_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-24 17:09:56-03","UFES","SAMES","4863","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Standleya","kuhlmannii","Standleya kuhlmannii","Brade","Nepomuceno,A.","Lobão,A.Q.; Menezes,L.F.T.;Giaretta,A.O.;Figueiredo,D.D.","1467","2009","02","12",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta Alta de Tabuleiro.","-39.7322006225586","-18.5932998657227",NA,"Folhas discolores verdes e roxas fenestradas, inflorescência verde. Habito: Erva","SAMES04863",NA,"2018","09","03","-398050000.0","-182625000.0","41644","auto",NA,NA,NA,NA,NA
"4","2021-03-01 16:40:21-03","UNICAMP","UEC","179743","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Standleya","kuhlmanni","Standleya kuhlmanni","Brade","Oliveira, JA","Flores, TB; Romão, GO","1194","2012","08","27",NA,"Brazil","Espírito Santo","Conceição da Barra","Reserva Biológica de Córrego Grande - Estrada no meio da reserva.","-39.823694","-18.282278",NA,"Erva inteira, botões verdes","UEC117967","UEC117967","2018","10","09","-39.823694","-18.282278",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-25 09:28:15-03","UNICAMP","UEC","189213","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Standleya","kuhlmanni","Standleya kuhlmanni","Brade",NA,"Oliveira, JA; Silva, FM","303","2013","01","28",NA,"Brazil","Espírito Santo","Cariacica","Reserva Biológica Duas Bocas, Trilha do Pau Oco.","-40.804375","-20.457708",NA,"Erva ereta, até 40cm de altura. Folhas discolores, face abaxial roxa nas folhas mais basais. Inflorescência e cálice verdes, corola verdes, corola lilás, frutos imaturos verdes, maduros secos.; Floresta Ombrófila Densa.","UEC120429","UEC120429",NA,NA,NA,"-40.804375","-20.457708",NA,NA,"620","620",NA,NA,NA
"6","2021-03-01 16:40:21-03","UNICAMP","UEC","189980","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Standleya","kuhlmanni","Standleya kuhlmanni","Brade","Oliveira, JA","Fiaschi, P; Alves, MV; Konno, T; Souza, G; Unwin, M","s.n.","2001","03","06",NA,"Brazil","Espírito Santo","Cariacica","Reserva Biológica de Duas Bocas. Trilha do Córrego do Pau-Oco.","-40.516667","-20.283333",NA,"Ervas eretas, na beira da trilha. Folhas discolores, face adaxial verde escura, abaxial vinácea. Flores com corola de tubo alvo e lobos roxos claros. Frutos imaturos verdes claros.","UEC125534","UEC125534","2016","03","01","-40.516667","-20.283333",NA,NA,"620","620",NA,NA,NA
"7","2021-03-01 16:40:21-03","UNICAMP","UEC","192212","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Standleya","kuhlmanni","Standleya kuhlmanni","Brade","Oliveira, JA","Flores, TB; Romão, GO","ESA120370","2012","08","27",NA,"Brazil","Espírito Santo","Conceição da Barra","Reserva Biológica de Córrego Grande - Estrada do meio da reserva.","-39.823694","-18.282278",NA,"Erva inteira. Frutos imaturos verdes.","UEC126133","UEC126133","2016","07","01","-39.823694","-18.282278",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:40:21-03","UNICAMP","UEC","189210","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Standleya","kuhlmanni","Standleya kuhlmanni","Brade",NA,"Martinelli, G; et al.","2204","1977","05","15",NA,"Brazil","Espírito Santo","São Mateus","Reserva Biológica Sooretama. Lagoa do Macaco.","-39.8588981628418","-18.716100692749",NA,"Umbrófila, folhas verdes com a face dorsal arroxeada, frutos de cor castanho arroxeado.","UEC120411","UEC120411",NA,NA,NA,NA,NA,"56510","auto","30","30",NA,NA,NA
"9","2021-01-18 18:18:16-03","UFES","VIES","47527","S","Plantae",NA,NA,"Rubiaceae","Standleya","kuhlmanni","Standleya kuhlmanni","Brade","F. Torres-Leite","Oliveira, R.M.; Nichio-Amaral, R.; Nepomuceno, A.; Rabelo, S.; Scheidegger, A.F.A.; Dutra, S.C.; Sossai, B.G.","120","2020","02","19",NA,"Brasil","Espírito Santo","Conceição da Barra","Trilha da Lagoa Seca. Flona do Rio Preto","-39.848889","-18.347778",NA,NA,"VIES047527","VIES047527","2020","12","15","39º50'56''W","18º20'52''S",NA,NA,NA,NA,NA,NA,NA
"10","2021-01-18 18:18:16-03","UFES","VIES","26656","S","Plantae",NA,NA,"Rubiaceae","Standleya","kuhlmannii","Standleya kuhlmannii","Brade","F. Torres-Leite","Flores, T.B.; Romão, G.O.","1194","2012","08","27",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande.","-39.7322006225586","-18.5932998657227",NA,NA,"VIES026656","VIES026656","2019","05","13",NA,NA,"41644","auto",NA,NA,NA,NA,NA
