"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","occurrenceRemarks","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","sex"
"1","2021-04-05 14:25:24-03","UNESC","CRI","6768","PreservedSpecimen","Plantae","Lauraceae","Nectandra","lanceolata","Nectandra lanceolata","Nees","G. Pedralli","Reitz; Klein","1958","03","27","Brasil","Santa Catarina","Joinville","Estrada Dona Francisca.","-48.845833","-26.305","48º50'45''W","26º18'18''S","600","600","CRI003541","CRI003541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:24-03","UNESC","CRI","9422","PreservedSpecimen","Plantae","Lauraceae","Nectandra","lanceolata","Nectandra lanceolata","Nees","M. Verdi","M. Verdi; D.h. klettenberg e G. Klemz","2010","02","19","Brasil","Santa Catarina","Lauro Muller","Rio Oratória/ Cabo Aereo.","-49.499722","-28.35","49º29'59''W","28º21'0''S","449","449","CRI003487","CRI003487","2010","02","19","3661","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:35-03","UNESC","CRI","6746","PreservedSpecimen","Plantae","Lauraceae","Nectandra","lanceolata","Nectandra lanceolata","Nees","G. Pedralli","R. Reitz; R. M. Klein","1968","05","18","Brasil","Santa Catarina","Imbuia","Fazenda Rio Bonito.","-49.424167","-27.493333","49º25'27''W","27º29'36''S","719","719","CRI003592","CRI003592",NA,NA,NA,"18115","Habitat: mata de pinheral Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:24-03","UNESC","CRI","2774","PreservedSpecimen","Plantae","Lauraceae","Nectandra","lanceolata","Nectandra lanceolata","Nees","R. M. Klein","Reitz; Klein","1967","03","09","Brasil","Santa Catarina","Ilhota","Parque Botânico do Morro do Baú.","-48.8275","-26.900278","48º49'39''W","26º54'1''S","300","300","CRI003587","CRI003587",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:24-03","UNESC","CRI","6747","PreservedSpecimen","Plantae","Lauraceae","Nectandra","lanceolata","Nectandra lanceolata","Nees",NA,"R. M. Klein","1970","02","09","Brasil","Santa Catarina","Brusque","Limoeiro.","-48.917778","-27.098611","48º55'4''W","27º5'55''S","20","20","CRI003539","CRI003539",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:24-03","UNESC","CRI","2776","PreservedSpecimen","Plantae","Lauraceae","Nectandra","lanceolata","Nectandra lanceolata","Nees","G. Pedralli","Reitz; Klein","1958","03","27","Brasil","Santa Catarina","Joinville","Estrada Dona Francisca.","-48.845833","-26.305","48º50'45''W","26º18'18''S","600","600","CRI003588","CRI003588",NA,NA,NA,"6628",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:24-03","UNESC","CRI","6745","PreservedSpecimen","Plantae","Lauraceae","Nectandra","lanceolata","Nectandra lanceolata","Nees","C. Pedralli","Reitz; Klein","1958","09","19","Brasil","Santa Catarina","Lauro Muller","Novo Horizonte.","-49.396944","-28.393333","49º23'49''W","28º23'36''S","400","400","CRI003544","CRI003544",NA,NA,NA,"7218","Habitat: capoeira Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:35-03","UNESC","CRI","916","PreservedSpecimen","Plantae","Lauraceae","Nectandra","lanceolata","Nectandra lanceolata","Nees","V. C. Zanette","Vanilde Citadini Zanette; F. M. Bastos","1987","12","21","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S","30","30","CRI003537","CRI003537",NA,NA,NA,"807",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:24-03","UNESC","CRI","9436","PreservedSpecimen","Plantae","Lauraceae","Nectandra","lanceolata","Nectandra lanceolata","Nees","M. Verdi","M. Verdi; R.P. Hasckel & G. Klemz","2009","01","24","Brasil","Santa Catarina","Cerro Negro","Macaco Branco.","-51.033611","-27.902222","51º2'1''W","27º54'8''S","785","785","CRI003482","CRI003482","2009","01","24","1410","Ecótono Floresta Ombrófila Mista e Floresta Estacional Decidual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:24-03","UNESC","CRI","9443","PreservedSpecimen","Plantae","Lauraceae","Nectandra","lanceolata","Nectandra lanceolata","Nees","A. Stival-Santos","A. Stival-Santos; S. Silveira","2009","03","02","Brasil","Santa Catarina","Romelândia","Esperança.","-53.280556","-26.640556","53º16'50''W","26º38'26''S","559","559","CRI003481","CRI003481","2009","03","02","430","Floresta Estacional Decidual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
