"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","monthIdentified","coordinatePrecision","geoFlag","class","identifiedBy","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","1801309","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","elongata","Eugenia elongata","Nied.","E. de Melo","2556","1998","11","14","South America","Brazil","São Paulo","Ubatuba","SP-55, Povoado Lagoinha, Ruína dos escravos.","-45.1994","-23.5083","25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2020252' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801309","NY01801309_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-11 11:39:08-03","UFMG","BHCB","91167","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","elongata","Eugenia elongata","Nied.","Melo, E de; França, F; Hirai, R","2556","1998","11","14","Southern America","Brasil","São Paulo","Ubatuba","SP 055, Povoado Lagoinha, Ruínas dos Escravos. Interior da mata","-45.199444","-23.508333","25",NA,"Arvoreta ca. 3,0m alt. folha jovem crasso-membranácea com pilosidade pruinosa, ferrugínea, face abaxial verde-claro, fruto imaturo verde-claro.","BHCB015131","BHCB015131","2005","-45.199444","-23.508333","25",NA,NA,NA,NA,NA,NA
"3","2020-12-11 11:39:08-03","UFMG","BHCB","101670","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","elongata","Eugenia elongata","Nied.","Marquete, R; et al.","461","1991","11","08","Southern America","Brasil","Rio de Janeiro","Paraty","Trindade, Estrada para Trindade","-44.7131004333496","-23.2178001403809",NA,NA,"Heliófila, terrestre. Árvore com 6m de altura. Folhas coriáceas, verdes, discolores. Inflorescências com brácteas esverdeadas, com cálice verde, corola alva, caule levemente estriado.; Floresta ombrófila densa degradada de encosta, re","BHCB050494",NA,"2019",NA,NA,NA,"04","34470","auto",NA,NA,NA
"4","2019-10-07 09:35:14-03","UEFS","HUEFS","35303","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Eugenia","elongata","Eugenia elongata","Nied.","Melo, E.","2556","1998","11","14",NA,"Brasil","São Paulo","Ubatuba","SP-55, Povoado Lagoinha, Ruína dos escravos.","-45.199444","-23.508333","25",NA,"Interior da mata.","HUEFS0035303",NA,"2005","45W11'58''","23S30'30''","25","03",NA,NA,"Rosanae","M.Sobral",NA
"5","2019-12-20 18:46:39-03","UFSJ","HUFSJ","10555","S","Plantae",NA,NA,"Myrtaceae","Eugenia","elongata","Eugenia elongata","Nied.","Costa, IG","592","2014","11","16",NA,"Brasil","Rio de Janeiro","Italva","Localidade de Quimbira no interior da mata.","-41.596389","-21.456389",NA,NA,"Lâmina papirácea esverdeada. Altura 4m.","HUFSJ010555",NA,"2017","-41.596389","-21.456389",NA,NA,NA,NA,NA,"Sobral, M",NA
"6","2019-11-01 15:05:33-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Eugenia","elongata","Eugenia elongata","Nied.","Costa, IG","592","2014","11","16","Southern America","Brasil","Rio de Janeiro","Italva","Quimbira","-41.596389","-21.456389",NA,NA,"Lâmina papirácea esverdeada. Altura: 4m. Arbusto; Mata",NA,NA,"2017","-41.596389","-21.456389",NA,"09",NA,NA,NA,"Sobral, M","29"
"7","2017-09-11 17:11:17-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Myrtaceae","Phyllocalyx","racemosus","Phyllocalyx racemosus","O.Berg","Sellow, F","s.n.",NA,NA,NA,"Southern America","Brazil","São Paulo",NA,"Oreas",NA,NA,NA,NA,"Oreas; HABITAT: Oreas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-10-22 10:13:28-03","IBt","SP","275197","S","Plantae",NA,NA,"Myrtaceae","Eugenia","elongata","Eugenia elongata","Nied.","Barros, F","2877","1993","11","15",NA,"Brasil","Rio de Janeiro","Parati","Estrada nova a praia do Sonho.","-44.7131004333496","-23.2178001403809",NA,NA,"Árvore ca. 8m alt., frutos muito jovens.","SP024356","SP024356","2005",NA,NA,NA,NA,"34470","auto",NA,"Sobral, M",NA
