"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","maximumElevationInMeters","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","class","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1654154","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana","R. Goldenberg","F. A. Michelangeli","1609","2011","02","08","South America","Brazil","Espírito Santo","Santa Teresa","Reserva Santa Lucia, top of Ridge (Bonita) trail","-40.52799","-19.98179","837","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568328' target='other'> <mi>dwc_moreinfo</mi></a>","NY01654154","NY01654154_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:34:28-03","UNICAMP","UEC","79776","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","Triana","Goldenberg, R","Chamas, CC; Santos, RR","IFO15994","1994","06","16",NA,"Brazil","Espírito Santo","Santa Teresa","Valsugana Velha - Estação Biológica de S","-40.6002998352051","-19.9356002807617","840",NA,"Árvore, altura 15m, DAP 16cm, folha verde, verso e folhas novas indumento ferrugem, fruto maduro marrom.; Mata Atlântica de encosta, Trilha Palmito, encosta da margem esquerda do Rio Timbú. Sol.","UEC080406","UEC080406","1998","23813","840","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:34:28-03","UNICAMP","UEC",NA,"S","Plantae","Magnoliopsida",NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","Triana","Goldenberg, R","Chamas, CC; Santos, RR","IFO15994","1996","02","23",NA,"Brazil","Espírito Santo","Santa Teresa","Valsugana Velha, Estação Biológica de Santa Lúcia","-40.6002998352051","-19.9356002807617","840",NA,"Árvore, 15m de altura, DAP 16cm, folha verde, verso, folhas novas e pecíolo com indumento ferrugem, fruto e pedúnculo com indumento ferrugem.; Mata Atlântica de encosta, Trilha Palmito, encosta da margem esquerda do rio Timbú. Sol.",NA,NA,"2001","23813","840","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-09-18 03:35:56-03","MNHN","RECOLNAT_MNHN_P","P00539071","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","Triana",NA,"Sellow, F.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Brésil méridional",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00539071' target='other'> <mi>dwc_moreinfo</mi></a>","P00539071","P00539071_01 P00539071_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-09-18 03:36:03-03","MNHN","RECOLNAT_MNHN_P","P00539072","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","Triana",NA,"Sellow, F.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Brésil méridional",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00539072' target='other'> <mi>dwc_moreinfo</mi></a>","P00539072","P00539072_01 P00539072_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-11 17:19:50-03","UFPR","UPCB","51198","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana","Meyer, F.S.","Kollmann, R.L.","5449","2002","01","31",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,NA,NA,"Arvoreta 3m, flor rosa e branco. Alt.: 950m s.n.m..","UPCB0020679","UPCB0020679","2011",NA,NA,NA,"12","14","9999","9999",NA,NA,NA,NA
"7","2021-02-11 17:19:50-03","UFPR","UPCB","51199","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana","Goldenberg, R.","Kollmann, R.L.","3903","2001","06","12",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,NA,NA,"Arvoreta 8m, fruto marrom. Alt.: 1030m s.n.m..","UPCB0015064","UPCB0015064","2004",NA,NA,NA,"01","01","9999","9999",NA,NA,NA,NA
"8","2021-02-11 17:19:50-03","UFPR","UPCB","51200","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana","Goldenberg, R.","Vervloet, R.R.","2048","2003","03","25",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,NA,NA,"Arvoreta 6m, fruto imaturo marrom, folha discolor, verde e marrom, topo do morro, dossel 6m, local rochoso..","UPCB0015069","UPCB0015069","2004",NA,NA,NA,"01","01","9999","9999",NA,NA,NA,NA
"9","2021-02-11 17:19:50-03","UFPR","UPCB","51201","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana","Goldenberg, R.","Demuner, V.","624","2000","01","27",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,NA,NA,"Árvore 16m, DAP 60cm, fuste 7m, botões florais, flores com pétalas rosa claro e outra rosa escuro, fruto jovem rosado, folha face dorsal dourado e ventral verde escuro..","UPCB0015063","UPCB0015063","2004",NA,NA,NA,"01","01","9999","9999",NA,NA,NA,NA
"10","2021-02-11 17:19:50-03","UFPR","UPCB","51202","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana","Goldenberg, R.","Boudet Fernandes, H.","2868","1989","09","21",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,NA,NA,"Árvore 16m, fuste 5m x 55cm, casca cinza claro, ramos jovens e folhas com indumento ferrugíneo. Alt.: 700-850m s.n.m..","UPCB0015082","UPCB0015082","1998",NA,NA,NA,"03",NA,"9999","9999",NA,NA,NA,NA
