"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","typeStatus","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","sex"
"1","2021-04-05 14:33:25-03","UNESC","CRI","8668","PreservedSpecimen","Plantae","Cyperaceae","Pycreus","lanceolatus","Pycreus lanceolatus","(Poir.) C.B.Clarke","R. Trevisan","2010","10","27","Polliana Zocche","2007","12","12","Brasil","Santa Catarina","Siderópolis","Mina do Trevo.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI002198","CRI002198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:10-03","UNESC","CRI","6201","PreservedSpecimen","Plantae","Cyperaceae","Pycreus","polystachyos","Pycreus polystachyos","(Rottb.) P.Beauv.","R. Trevisan","2010","10","27","Robson dos Santos; Clair M. Martinello","1996","07","09","Brasil","Santa Catarina","Araranguá","Morro dos Conventos.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","13","13","CRI002200","CRI002200","260","Restinga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:25-03","UNESC","CRI","7706","PreservedSpecimen","Plantae","Cyperaceae","Pycreus","polystachyos","Pycreus polystachyos","(Rottb.) P.Beauv.","R. Trevisan","2010","10","27","T. B. Guimarães; Daniel de Barcelos Falkenberg","2004","12","24","Brasil","Santa Catarina","Florianópolis","Parque Municipal das Dunas da Lagoa da Conceição, Ilha de SC.","-48.48","-27.592222","48º28'48''W","27º35'32''S","17","17","CRI002068","CRI002068","434","Habitat: baixada eventualmente alagada, entre dunas na restinga Habito: herbácea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:10-03","UNESC","CRI","12913","PreservedSpecimen","Plantae","Cyperaceae","Pycreus","polystachyos","Pycreus polystachyos","(Rottb.) P.Beauv.","Renato Colares","2018","03","05","Renato Colares","2018","02","10","Brasil","Santa Catarina","Sombrio","Boa Esperança","-49.675556","-29.109167","49º40'32''W","29º6'33''S","18","18","CRI011521","CRI011521",NA,"Habitat: Terrícola Habito: Herbácea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:25-03","UNESC","CRI","4855","PreservedSpecimen","Plantae","Cyperaceae","Pycreus","polystachyos","Pycreus polystachyos","(Rottb.) P.Beauv.","R. Trevisan","2010","10","27","Vanilde C. Zanette; Jucelia C. Caetano","1996","03","02","Brasil","Santa Catarina","Florianópolis","Costão do Santinho.","-48.48","-27.592222","48º28'48''W","27º35'32''S","17","17","CRI002201","CRI002201","2125","Habitat: costão rochoso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:10-03","UNESC","CRI","13406","PreservedSpecimen","Plantae","Cyperaceae","Pycreus","polystachyos","Pycreus polystachyos","(Rottb.) P.Beauv.","Renato Colares","2018","05","30","Renato Colares","2018","01","15","Brasil","Santa Catarina","Siderópolis",NA,"-49.404167","-28.614444","49º24'15''W","28º36'52''S","139","139","CRI012013",NA,NA,"Habitat: Terrestre Habito: Herbácea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:25-03","UNESC","CRI","8644","PreservedSpecimen","Plantae","Cyperaceae","Pycreus","polystachyos","Pycreus polystachyos","(Rottb.) P.Beauv.","R. Trevisan","2010","10","27","Polliana Zocche","2007","12","12","Brasil","Santa Catarina","Siderópolis","Mina do Trevo.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI002199","CRI002199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:38:32-03","E","E","151947","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","flavescens","Cyperus flavescens",NA,NA,NA,NA,NA,"Bang, A. Miguel",NA,NA,NA,"BO",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00151947",NA,"2922","<a href=http://data.rbge.org.uk/herb/E00151947 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","W. Tropical South America","herbarium specimen of unspecif","BGBASE:159997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:38:32-03","E","E","151988","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","lanceolatus","Cyperus lanceolatus",NA,NA,NA,NA,NA,"Dusen, P.","1910","02","23","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00151988",NA,"9464","<a href=http://data.rbge.org.uk/herb/E00151988 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:160240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:38:32-03","E","E","151987","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","lanceolatus","Cyperus lanceolatus",NA,NA,NA,NA,NA,"Sellow, F.",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00151987",NA,NA,"<a href=http://data.rbge.org.uk/herb/E00151987 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:160241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-09-23 10:38:32-03","E","E","151989","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","lanceolatus","Cyperus lanceolatus",NA,NA,NA,NA,NA,"Gardner, George","1905","01","11","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00151989",NA,"714","<a href=http://data.rbge.org.uk/herb/E00151989 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:160239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-09-23 10:38:32-03","E","E","151990","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","lanceolatus","Cyperus lanceolatus",NA,NA,NA,NA,NA,"Reineck, E.M. & Czermak, J.",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00151990",NA,"452","<a href=http://data.rbge.org.uk/herb/E00151990 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:160238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
