"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","order","monthIdentified","continentOcean"
"1","2021-03-01 16:20:15-03","UNICAMP","UEC","131489","S","Plantae","Liliopsida","Orchidaceae","Gomesa","majevskyae","Gomesa majevskyae","(Toscano & V.P.Castro) M.W.Chase & N.H.Williams","Meneguzzo, TEC","2015","Boudet Fernandes, HQ","2721","1989","04","12","Brazil","Espírito Santo","Santa Teresa","Valsugana Velha - Estrada Santa Teresa-S, Margem esquerda do Timbuí, floresta pluvial baixo montana.","-40.6002998352051","-19.9356002807617","23813","Terrestre, decumbente. Flor amarela. Sépalas, pétalas e região calosa do labelo castanho maculados. Mata baixa de topo de encosta. Altitude aproximada 775m. Em Herb./ Cult. e álcool.","UEC027362","UEC027362","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-07-10 09:48:19-03","MBML","MBML-HERBARIO","22651",NA,"Plantae",NA,"Orchidaceae","Gomesa","majevskyae","Gomesa majevskyae","(Toscano & V.P.Castro) M.W.Chase & N.H.Williams","T.E.C. Meneguzzo/2017",NA,"A. P. Fontana; et al","717","2004","02","23","Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.775278","-19.796944",NA,"Planta c/ rizoma longo, sobre saindo sobre a vegetação rupestre, flores c/ pétalas e sépalas amarelas c/ máculas avermelhadas no centro, labelo amarelo c/ carenas avermelhadas.","MBML022651","MBML022651",NA,"40W46'31","19S47'49",NA,NA,NA,NA,NA,NA
"3","2020-07-10 09:48:19-03","MBML","MBML-HERBARIO","23687",NA,"Plantae",NA,"Orchidaceae","Gomesa","majevskyae","Gomesa majevskyae","(Toscano & V.P.Castro) M.W.Chase & N.H.Williams","T.E.C. Meneguzzo/2017",NA,"A. P. Fontana; et al","887","2004","08","01","Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.775278","-19.796944",NA,"Terrestre/ epífita, flores c/ pétalas e sépalas amarelas, c/ máculas (linhas longitudinais marrons), labelo amarelo c/ calosidade e base do lóbulo mediano e laterais maculados de marrom.","MBML023687","MBML023687",NA,"40W46'31","19S47'49",NA,NA,NA,NA,NA,NA
"4","2020-07-10 09:48:19-03","MBML","MBML-HERBARIO","24371",NA,"Plantae",NA,"Orchidaceae","Gomesa","majevskyae","Gomesa majevskyae","(Toscano & V.P.Castro) M.W.Chase & N.H.Williams","T.E.C. Meneguzzo/2017",NA,"A. P. Fontana; et al","1166","2005","03","15","Brasil","Espírito Santo","Santa Leopoldina","Luxemburgo, Pedra Preta","-40.614444","-20.173056",NA,"Terrestre, florida em 29/03/05, escandente 1,4m, flores com sépalas e pétalas verdes e labelo amarelo, pedúnculo verde, coluna verde com lóbulos amarelos.","MBML024371","MBML024371",NA,"40W36'52","20S10'23",NA,NA,NA,NA,NA,NA
"5","2020-07-10 09:48:19-03","MBML","MBML-HERBARIO","41194",NA,"Plantae",NA,"Orchidaceae","Gomesa","majevskyae","Gomesa majevskyae","(Toscano & V.P.Castro) M.W.Chase & N.H.Williams","T.E.C. Meneguzzo/2017",NA,"L. Kollmann; R. Goldenberg, M.K.Caddah, M.Reginato & F. Michelangeli","12163","2011","02","06","Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.7725","-19.803333",NA,"Planta na meia sombra, flores amarelas com maculas marrons.","MBML041194","MBML041194",NA,"40W46'21","19S48'12","1000","1000",NA,NA,NA,NA
"6","2020-07-10 09:48:19-03","MBML","MBML-HERBARIO","45581",NA,"Plantae",NA,"Orchidaceae","Gomesa","majevskyae","Gomesa majevskyae","(Toscano & V.P.Castro) M.W.Chase & N.H.Williams","T.E.C. Meneguzzo/2017",NA,"L. Kollmann; A.P.Fontana & C.N.Fraga","12672","2013","04","25","Brasil","Espírito Santo","Santa Leopoldina","Luxemburgo, Pedra Preta","-40.614444","-20.173056",NA,"Erva 1m ao sol, flores verdes.","MBML045581","MBML045581",NA,"40W36'52","20S10'23","900","900",NA,NA,NA,NA
"7","2020-07-10 09:48:19-03","MBML","MBML-HERBARIO","5554",NA,"Plantae",NA,"Orchidaceae","Gomesa","majevskyae","Gomesa majevskyae","(Toscano & V.P.Castro) M.W.Chase & N.H.Williams","T.E.C. Meneguzzo/2017",NA,"H. Q. Boudet Fernandes; et al","2721","1989","04","12","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Terrestre, decumbente, flor amarela, sépalas, pétalas e região calosa do labelo castanho maculados. Mata baixa de topo de encosta, altitude aproximada 775m, em herb/e álcool.","MBML005554","MBML005554",NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA,NA
"8","2020-07-10 09:48:19-03","MBML","MBML-HERBARIO","38542",NA,"Plantae",NA,"Orchidaceae","Gomesa","majevskyae","Gomesa majevskyae","(Toscano & V.P.Castro) M.W.Chase & N.H.Williams","T.E.C. Meneguzzo/2017",NA,"D.R. Couto; T.R.Couto","271","2005","04","21","Brasil","Espírito Santo","Mimoso do Sul","Pedra dos Pontões","-41.3664016723633","-21.0641994476318","29430","Saxícola. Flores amarelas, vegetando na alto do Pontão médio.","MBML038542","MBML038542","auto",NA,NA,"1400","1400",NA,NA,NA,NA
"9","2020-07-10 09:48:19-03","MBML","MBML-HERBARIO","38789",NA,"Plantae",NA,"Orchidaceae","Gomesa","majevskyae","Gomesa majevskyae","(Toscano & V.P.Castro) M.W.Chase & N.H.Williams","T.E.C. Meneguzzo/2017",NA,"D.R. Couto","4","2004","02","15","Brasil","Espírito Santo","Mimoso do Sul","Pedra dos Pontões","-41.3664016723633","-21.0641994476318","29430","Rupícola. Topo Pontão Médio.","MBML038789","MBML038789","auto",NA,NA,"1310","1310",NA,NA,NA,NA
"10","2020-07-10 09:48:28-03","MBML","MBML-HERBARIO","51819",NA,"Plantae",NA,"Orchidaceae","Oncidium","majevskyae","Oncidium majevskyae","Toscano & V.P.Castro","A.P. Fontana/12-01-2008",NA,"A. P. Fontana; C.P. Esgario, L. Kollmann & R.L. Kollmann","2014","2006","03","04","Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso,Pedra 6","-40.771944","-19.801111",NA,"Escandente. Flores amarelas.","MBML051819",NA,NA,"40W46'19","19S48'4","1029","1029",NA,NA,NA,NA
