"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","02730700","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","campanulata","Inga campanulata","Benth.","S. J. da Silva Neto","1476","2001","09","14","South America","Brazil","Rio de Janeiro","Nova Iguaçú","Trilha Barrelão - Boa Esperança.","-43.4508","-22.7594","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3191306' target='other'> <mi>dwc_moreinfo</mi></a>","NY02730700","NY02730700_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:39:51-03","EAO","IAN","156622","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Inga","bullata","Inga bullata","Benth.","Ducke, A","19245","1925","10","20","Southern America","Brasil","Rio de Janeiro",NA,"Mata da baixada.",NA,NA,NA,"Arvore pequena, flores alvissimas.","IAN156622",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:09:13-03","NBC","NL-BOTANY","U.1306743","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Inga","bullata","Inga bullata","Benth.","Ducke A; Kuhlmann JG",NA,"1925","10","20","Southern America","Brazil",NA,NA,"Jardim Botanico Do rio De Janeiro. Estrella, civ. Rio de Janeiro.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1306743 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1306743","NL-U1306743","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:09:34-03","ESALQ","ESA","76954","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Inga","bullata","Inga bullata","Benth.","Oliveira, P.P.",NA,"1998","02","14",NA,"Brasil","Rio de Janeiro","Rio das Ostras",NA,"-41.9449996948242","-22.5268993377686",NA,NA,"ESA076954","ESA076954",NA,"17620","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:29:30-03","MN","R","68575","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","bullata","Inga bullata","Benth.","Palma, M.",NA,"1883","07","03",NA,"Brasil",NA,NA,"Serra dos Órgãos",NA,NA,NA,"Gabinete de Botânica da Escola Polytechnica. Herb. J. de Saldanha",NA,NA,NA,NA,NA,"Garcia, F.C.P.","1999","02",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-20 21:17:26-03","UFV","VIC","24444","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","bullata","Inga bullata","Benth.","Oliveira, P.P. de","787B","1997","09","10",NA,"Brasil","Rio de Janeiro","Rio das Ostras","Reserva Biológica União","-41.9449996948242","-22.5268993377686",NA,"Trilah 8; fruto maduro.","VIC024444","VIC024444",NA,"17620","auto","Garcia, F.C.P.","2000","03","14",NA,NA,NA,NA,NA,NA,NA
"7","2020-12-20 21:17:26-03","UFV","VIC","24445","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","bullata","Inga bullata","Benth.","Oliveira, P.P. de","787A","1998","02","14",NA,"Brasil","Rio de Janeiro","Rio das Ostras","Reserva Biológica União","-41.9449996948242","-22.5268993377686",NA,"Trilah 8.","VIC024445","VIC024445",NA,"17620","auto","Garcia, F.C.P.","2000","03","14",NA,NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:36:34-03","UFJF","CESJ","32087","PreservedSpecimen","Plantae","Angiosperma",NA,"Fabaceae","Inga","bullata","Inga bullata","Benth.","J.A. Lombardi","2523","1999","03","02","América do Sul","Brasil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce, Lat. 19º45'36S; Lon.42º37'55W.","-42.7322006225586","-19.7122001647949",NA,"Árvore, ca. 4m alt., folhas cartáceas, cálice verde, filetes brancos.","CESJ032087",NA,NA,"28215","auto","F.C.P.Garcia","2000","03",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-21 14:36:34-03","UFJF","CESJ","32086","PreservedSpecimen","Plantae","Angiosperma",NA,"Fabaceae","Inga","bullata","Inga bullata","Benth.","P.P.Oliveira","787 H","1999","01","13","América do Sul","Brasil","Rio de Janeiro","Rio das Ostras","Reserva Biológica União, Trilha 8.","-41.9449996948242","-22.5268993377686",NA,"Em brejo da Mata Atlântica.","CESJ032086",NA,NA,"17620","auto","J.A. Lombardi","2000","03",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:30:39-03","UNICAMP","UEC","132883","S","Plantae","Magnoliopsida",NA,"Fabaceae","Inga","bullata","Inga bullata","Benth.","Urbanetz, C; Mariuza; Lelo; Domingos","97","2003","07","25",NA,"Brazil","São Paulo","Cananéia","Fazenda Folha Larga","-24.883333","-47.916667",NA,"Arvoreta de 3m, fruto de cor alaranjada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-24.883333","-47.916667","100","100",NA,NA,NA
"11","2021-03-01 16:30:39-03","UNICAMP","UEC","149336","S","Plantae","Magnoliopsida",NA,"Fabaceae","Inga","bullata","Inga bullata","Benth.","Urbanetz, C","488","2008",NA,NA,NA,"Brazil","São Paulo","Cananéia","Km 31 da rodovia SP-226, Estrada de terra para o mar de dentro.","-47.918056","-24.9025",NA,"Árvore de 7m de altura.; Floresta alta de restinga.",NA,NA,NA,NA,NA,"Urbanetz, C",NA,NA,NA,"-47.918056","-24.9025",NA,NA,NA,NA,NA
"12","2019-08-20 10:13:44-03","UNICAMP","UEC","91814","S","Plantae","Magnoliopsida",NA,"Fabaceae","Inga","bullata","Inga bullata","Benth.","Ivanauskas, NM","857","1996","08","02",NA,"Brazil","São Paulo","Pariquera-Açu","Propriedade de Antonio Povinsk, Floresta Atlântica.","-47.866667","-24.666667",NA,"Arvoreta de 3 metros de altura.Material vegetativo.",NA,NA,NA,NA,NA,"Garcia, FCP","1996","08","08","-47.866667","-24.666667",NA,NA,NA,NA,NA
