"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","typeStatus","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-04-05 14:26:07-03","UNESC","CRI","14987","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","gonocarpum","Chrysophyllum gonocarpum","(Mart. & Eichler ex Miq.) Engl.","Schwirkowski, P.","2017","11","09","Schwirkowski, P.","2581","2017","11","09","Brasil","Santa Catarina","São Bento do Sul","Centro. Centro. Na Estação de Tratamento de Água - ETA - do SAMAE.","-49.382778","-26.244167","49º22'58''W","26º14'39''S","900","900","Frutos amarelos Habitat: Capão de Floresta Ombrófila Mista Habito: Árvore","CRI014386","CRI014386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:07-03","UNESC","CRI","11848","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","gonocarpum","Chrysophyllum gonocarpum","(Mart. & Eichler ex Miq.) Engl.","A. Korte","2010","03","23","A. Korte; A. Kniess","1843","2010","02","18","Brasil","Santa Catarina","Taió","Fazenda Tarumã.","-50.130556","-27.000278","50º7'50''W","27º0'1''S","802","802","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI007328","CRI007328",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:11-03","UNESC","CRI","6096","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","gonocarpum","Chrysophyllum gonocarpum","(Mart. & Eichler ex Miq.) Engl.","Daniel B. Falkenberg",NA,NA,NA,"Valdemar P. Boff","516","1996","05","10","Brasil","Santa Catarina","Araranguá",NA,"-49.486389","-28.935556","49º29'11''W","28º56'8''S",NA,NA,NA,"CRI007327","CRI007327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:43:19-03","E","E","277499","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","gonocarpum","Chrysophyllum gonocarpum",NA,NA,NA,NA,NA,NA,"12382","1905","03","27","PY","Central",NA,"Im regione lacus Ypacaray",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00277499 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00277499",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:326284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:43:19-03","E","E","277501","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","gonocarpum","Chrysophyllum gonocarpum",NA,NA,NA,NA,NA,NA,"4284",NA,NA,NA,"PY",NA,NA,"N. Paraguay: Zwischen Rio Apa und Rio Aquidaban.",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00277501 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00277501",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:326286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:43:19-03","E","E","208058","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","gonocarpum","Chrysophyllum gonocarpum",NA,NA,NA,NA,NA,"Morong, Thomas (Rev.)","839","1905","03","02","PY","Asunción",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00208058 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00208058",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:218247","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:43:19-03","E","E","277514","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","gonocarpum","Chrysophyllum gonocarpum",NA,NA,NA,NA,NA,"Fiebrig, K.","458","1902","11","18","PY",NA,NA,"Cordillera de Altos",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00277514 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00277514",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:326288",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:43:19-03","E","E","277500","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","gonocarpum","Chrysophyllum gonocarpum",NA,NA,NA,NA,NA,"Fiebrig, K.","4284",NA,NA,NA,"PY",NA,NA,"Zwischen Rio Apa und Rio Aquidaban [Between the Apa and Aquidaban Rivers]",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00277500 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00277500",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:326285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","374860","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","gonocarpum","Chrysophyllum gonocarpum","(Mart. & Eichler ex Miq.) Engl.","T. D. Pennington",NA,NA,NA,"M. Kuhlmann","1483","1947","11","12","Brazil","São Paulo","Sao Joao da Boa Vista","Sao Joao da Boa Vista","-46.79","-21.96",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=366586' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374860","NY00374860_01","South America","sheet",NA,NA,"Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","195254","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","gonocarpum","Chrysophyllum gonocarpum","(Mart. & Eichler ex Miq.) Engl.","T. D. Pennington",NA,NA,NA,"W. L. Balée","2441","1986","06","12","Brazil","Pará",NA,"Xingu River. Assurini Indians","-52.5854588","-7.2040035",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=770596' target='other'> <mi>dwc_moreinfo</mi></a>","NY00195254","NY00195254_01","South America","sheet",NA,NA,"Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA
