"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","coordinatePrecision","geoFlag","class","order","individualCount","imagecode","typeStatus"
"1","2019-11-21 14:48:03-03","UFJF","CESJ","37409","PreservedSpecimen","Plantae","Angiosperma","Verbenaceae","Lippia","nana","Lippia nana","Schauer","P.H. Cardoso","2018","11","A.E. Ramos","906","1994","09","05","América do Sul","Brasil","Distrito Federal","Brasília","APA Gama, Cabeça de Veado, Abrigo Cristo Redentor","-47.85","-15.866667","-47.85","-15.866667","1025","1025","Cerrado. Campo sujo, sobre pedras. Erva 10cm. Flor amarela. Botões verdes, flores polinizadas com centro avermelhado. 14 dias pós fogo.","CESJ037409",NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:48:03-03","UFJF","CESJ","52081","PreservedSpecimen","Plantae","Angiosperma","Verbenaceae","Lippia","nana","Lippia nana","Schauer","P.H. Cardoso","2018","11","M.A. da Silva","5945","2006","09","14","América do Sul","Brasil","Distrito Federal","Brasília","Reserva Ecológica do IBGE, RA-XVI (Lago Sul).","-47.869444","-15.967222","-47.869444","-15.967222","1100","1100","Latossolo vermelho. Campo sujo de cerrado com queima quadrienal modal. Área queimada em 28.08.2006. Erva ca. 3cm alt. Corola amarela; cálice verde piloso; folhas pequenas; pilosas de cor verde.","CESJ052081",NA,NA,NA,NA,NA,NA,NA
"3","2019-11-21 14:48:03-03","UFJF","CESJ","52082","PreservedSpecimen","Plantae","Angiosperma","Verbenaceae","Lippia","nana","Lippia nana","Schauer","P.H. Cardoso","2018","11","M.A. da Silva; M.R.L. Sabbag","5916","2006","08","08","América do Sul","Brasil","Distrito Federal","Brasília","Reserva Ecológica do IBGE, Lago Sul. Entre a sede e a guarita.","-47.868333","-15.950556","-47.868333","-15.950556","1100","1100","Latossolo vermelho, argilo-arenoso. Campo sujo de cerrado com queima quadrienal. Área queimada em 12.07.2006. Erva de 5cm alt. Rebroto origináro de xilopódio ou raiz, pouco resistente; flores amarelas; folhas discolores verdes.","CESJ052082",NA,NA,NA,NA,NA,NA,NA
"4","2019-11-21 14:48:03-03","UFJF","CESJ","29164","PreservedSpecimen","Plantae","Angiosperma","Verbenaceae","Lippia","nana","Lippia nana","Schauer","P.H. Cardoso","2018","11","R. Romero; J.N. Nakajima; A.Furlon et F.C.P.Garcia","1267","1994","10","16","América do Sul","Brasil","Minas Gerais","São Roque de Minas","5 Km da sede administrativa, estrada para Sacramento, Parma, Serra da Canastra.","-46.3657989501953","-20.2453002929688",NA,NA,NA,NA,"Campo ruestre, herbáceo, ca 0,1 m, brácteas esverdeadas, corola amarelada.","CESJ029164","57119","auto",NA,NA,NA,NA,NA
"5","2020-07-02 19:03:31-03","UFJF","CESJ","55760","PreservedSpecimen","Plantae","Angiosperma","Verbenaceae","Lippia","nana","Lippia nana","Schauer","P.H. Cardoso","2018","11","M.A. da Silva","6661","2008","10","12","América do Sul","Brasil","Distrito Federal","Brasília","Reserva Ecológica do IBGE, Folha: SD-23-Y-C. Altitude aprox.: 1100m. Coordenadas: 15°57'03S 47°52'18W.","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,"Vegetação: Campo sujo de serrado com queima bienal modal. Queimado há dois meses. Erva ca. 3-5cm. alt., com raizes ramificadas até 10cm. de comprimento. Parte interna da raiz de cor amarela. Corola amarela, às vezes com fauce avermelhado. Flores pubescen","CESJ055760","70570","auto",NA,NA,NA,NA,NA
"6","2019-11-21 14:48:03-03","UFJF","CESJ","52087","PreservedSpecimen","Plantae","Angiosperma","Verbenaceae","Lippia","nana","Lippia nana","Schauer","P.H. Cardoso","2018","11","M.A. da Silva","5377","2002","10","02","América do Sul","Brasil","Distrito Federal","Brasília","Reserva Ecológica do IBGE","-47.869444","-15.951389","-47.869444","-15.951389",NA,NA,"Erva ca. 5cm alt., rebroto da base, flores amarelas, folhas pubescentes discolores verdes. Campo sujo com queima bienal modal.","CESJ052087",NA,NA,NA,NA,NA,NA,NA
"7","2019-11-21 14:48:03-03","UFJF","CESJ","29177","PreservedSpecimen","Plantae","Angiosperma","Verbenaceae","Lippia","nana","Lippia nana","Schauer","P.H. Cardoso","2019","05","J.N. Nakajima; R. Romero et D.G. Simão","396","1994","08","19","América do Sul","Brasil","Minas Gerais","Sacramento","Próximo a guarita de Sacramento, PARNA Serra da Canastra.","-47.439998626709","-19.8652992248535",NA,NA,NA,NA,"Campo limpo, um mês após a queimada. Herbáceo, ca. 0,1 m alt. Brácteas esverdeadas. Cálice esverdeado. Corola amarelada. Estames amarelados.","CESJ029177","69737","auto",NA,NA,NA,NA,NA
"8","2019-11-21 14:48:03-03","UFJF","CESJ","29178","PreservedSpecimen","Plantae","Angiosperma","Verbenaceae","Lippia","nana","Lippia nana","Schauer","P.H. Cardoso","2019","05","J.N. Nakajima; R. Romero et D.E. Simão","433","1994","08","21","América do Sul","Brasil","Minas Gerais","São Roque de Minas","50 Km da sede administrativa,estrada para Sacramento,Parma,Serra da Canastra.","-46.3657989501953","-20.2453002929688",NA,NA,NA,NA,"Campo limpo,1 mês após a queimada,herbáceo,ca. 0,05 m.alt.;cálice esverdeado,corola amarelada.","CESJ029178","57119","auto",NA,NA,NA,NA,NA
"9","2019-11-21 14:48:03-03","UFJF","CESJ","29161","PreservedSpecimen","Plantae","Angiosperma","Verbenaceae","Lippia","nana","Lippia nana","Schauer","P.H. Cardoso","2019","05","R. Romero; J.N. Nakajima; V.L.G. Klein; M.B. Alcantara","2773","1995","09","26","América do Sul","Brasil","Minas Gerais","São Roque de Minas","Córrego da Fazenda, Morro após o Vale do São Francisco.","-46.3657989501953","-20.2453002929688",NA,NA,NA,NA,"Herbáceo,ca.0,70m.alt.Cálice verde. Corola amarela. Área recém queimada. Campo rupestre.","CESJ029161","57119","auto",NA,NA,NA,NA,NA
"10","2019-11-21 14:48:03-03","UFJF","CESJ","29174","PreservedSpecimen","Plantae","Angiosperma","Verbenaceae","Lippia","nana","Lippia nana","Schauer","P.H. Cardoso","2019","05","R. Romero; J.N. Nakajima; A.Furlon et F.C.P.Garcia","1337","1994","10","18","América do Sul","Brasil","Minas Gerais","São Roque de Minas","Serra da Canastra, próximo á garagem de pedras, entrada para Sacramento, Parma.","-46.3657989501953","-20.2453002929688",NA,NA,NA,NA,"Campo limpo, 1 mês após a queimada, herbáceo, ca. 0,2 m alt.; cálice esverdeado, corola amarelada.","CESJ029174","57119","auto",NA,NA,NA,NA,NA
