"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","phylum","class","order","identifiedBy","yearIdentified","monthIdentified","county","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag"
"1","2020-10-24 04:40:00-03","MO","MOBOT","2836395","PreservedSpecimen","Plantae","Apocynaceae","Marsdenia","queirozii","Marsdenia queirozii","Fontella","Holotype","L. P. de Queiroz","Queiroz 4868","1997","2","25","South America","Brazil","Bahia","Barra, Ibiraba (=Icatu), camino para Coxos, lagoa dos Coxos, mata ciliar na várzea inundável dos rios São Francisco e Icatu","-42.83333","-10.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-07 09:13:34-03","UEFS","HUEFS","25466","PreservedSpecimen","Plantae","Apocynaceae","Marsdenia","queirozii","Marsdenia queirozii","Fontella","Isótipo","Queiroz, L.P.de","4848","1997","02","25",NA,"Brasil","Bahia","Ibiraba Ibiraba (=Icatu), caminho para Coxos, lagoa dos Coxos.","-42.833333","-10.8","Angiospermae","Asteranae","Gentianales","A.Rapini","2004","04","Barra","42W50'0''","10S48'0''","Mata Ciliar na várzea inundável dos rios São Francisco e Icatu.","HUEFS0025466","HUEFS0025466",NA,NA
"3","2019-10-07 09:13:34-03","UEFS","HUEFS","66160","PreservedSpecimen","Plantae","Apocynaceae","Marsdenia","queirozii","Marsdenia queirozii","Fontella",NA,"Jost, T.","529","2002","05","03",NA,"Brasil","Bahia","Pontal, margem do rio Carinhanha.","-43.786667","-14.336667","Angiospermae","Asteranae","Gentianales","F.S.Espírito-Santo","2016","12","Carinhanha","43W47'12''","14S20'12''","Savana Estépica.","HUEFS0066160","HUEFS0066160",NA,NA
"4","2019-10-07 09:13:34-03","UEFS","HUEFS","69653","PreservedSpecimen","Plantae","Apocynaceae","Marsdenia","queirozii","Marsdenia queirozii","Fontella",NA,"Hatschbach, G.","55182","1991","02","15",NA,"Brasil","Bahia","Rio das Rãs","-43.418098449707","-13.2550001144409","Angiospermae","Asteranae","Gentianales","A.Rapini","2006","03","Bom Jesus da Lapa",NA,NA,NA,"HUEFS0069653","HUEFS0069653","66899","auto"
