"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","679337","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","muellerianum","Asplenium muellerianum","Rosenst.","A. C. Brade","7681","1913","03","30","South America","Brazil","São Paulo","Jaragua.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=815297' target='other'> <mi>dwc_moreinfo</mi></a>","NY00679337","NY00679337_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:21:12-03","ESALQ","ESA","125766","PreservedSpecimen","Plantae","Pteridophyta",NA,"Aspleniaceae","Asplenium","muellerianum","Asplenium muellerianum",NA,"Almeida, T.E.","3179.0","1905","07","05",NA,"Brasil","São Paulo",NA,NA,NA,"ESA125766","ESA125766","Salino, A. & Cabral, F.N.","1905","07","05","Miracatu","-47.4599990844727","-24.2800006866455","43974","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:34:54-03","IAP","PACA-AGP","72981","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","muellerianum","Asplenium muellerianum","Ros.","Hatschbach, G.","16376",NA,NA,NA,NA,"Brasil","PR","Morro de Tabaquara",NA,NA,"PACA072981",NA,"A. Sehnem SJ","1967","10",NA,"Paranaguá","-48.5092010498047","-25.5200004577637","24916","auto","Filicopsida",NA,NA,NA,NA,NA,NA,NA
"4","2020-10-14 09:58:41-03","FURB","FURB","12502","PreservedSpecimen","Plantae",NA,NA,"Aspleniaceae","Asplenium","muellerianum","Asplenium muellerianum","Rosenst.","Gasper, A.L. de; Verdi, M.","1887","2009","05","07",NA,"Brasil","Santa Catarina","Morro das Torres.",NA,"Florística IFFSC 214(Erva Terrícola) Habitat: Floresta Ombrófila Mista; Estágio Avançado; interior do fragmento Habito: herbácea;","FURB04026","FURB04026","Sylvestre, LS","2011",NA,NA,"Rio Rufino","-49.86","-27.9",NA,NA,NA,"-49.8600000","-27.9000000","1432","1432",NA,NA,NA
"5","2020-10-14 09:58:41-03","FURB","FURB","47479","PreservedSpecimen","Plantae",NA,NA,"Aspleniaceae","Asplenium","muellerianum","Asplenium muellerianum","Rosenst.","Gasper, A.L. de; Leitempergher, L. & Lichtenfelz, F.A.","3709","2015","07","20",NA,"Brasil","Santa Catarina","Condomínio Perini Business Park.",NA,NA,"FURB12244","FURB12244","Gasper, AL de","2015","07","24","Joinville","-48.8777778","-26.2366666",NA,NA,NA,"-48.8777778","-26.2366666","20","20",NA,NA,NA
"6","2020-12-21 16:13:45-03","MBM","MBM","3498","PreservedSpecimen","Plantae",NA,NA,"Aspleniaceae","Asplenium","muellerianum","Asplenium muellerianum","Ros. X","Hatschbach, G.; Imaguire, N.; Imaguire, N.","16376","1967","04","22","Southern America","Brazil","Paraná","Morro do Tabaquara",NA,NA,"MBM003498","MBM003498","Sehnem, A.",NA,NA,NA,"Paranaguá","-48.5092010498047","-25.5200004577637","24916","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-09-05 08:05:31-03","MNHN","RECOLNAT_MNHN_P","P00219873","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Asplenium","muellerianum","Asplenium muellerianum","Rosenst.","Müller, O.",NA,NA,NA,NA,NA,"Brésil",NA,"Joinville","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00219873' target='other'> <mi>dwc_moreinfo</mi></a>","P00219873","P00219873_01","Viane & Cremers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype","99",NA
"8","2021-02-11 17:17:57-03","UFPR","UPCB","80754","PreservedSpecimen","Plantae",NA,NA,"Aspleniaceae","Asplenium","muellerianum","Asplenium muellerianum","Rosenst.","Labiak, P.H.","5538","2013","08","21",NA,"Brasil","Paraná","10m. Morro do Bronze",NA,"Epífita no interior da mata.","UPCB0040878","UPCB0040878","Lino, V.","2019","04","26","Guaraqueçaba","-48.29","-25.3",NA,NA,NA,"-48.29","-25.3",NA,NA,NA,NA,NA
"9","2020-09-29 14:53:08-03","UFPR","UPCB","57622","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Aspleniaceae","Asplenium","muellerianum","Asplenium muellerianum","Rosenst.","Labiak, P.H.","3231","2004","04","20",NA,"Brasil","Paraná","Parque Estadual do Marumbi",NA,"Floresta Atlântica.","UPCB0001535","UPCB0001535","Labiak, P.H.","2006","08",NA,"Morretes","-48.834400177002","-25.476900100708","30514","auto",NA,NA,NA,"400","400",NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","2690491","PreservedSpecimen","Plantae",NA,"Polypodiales","Aspleniaceae","Asplenium","muellerianum","Asplenium muellerianum","Rosenst.","O. Handro","1093","1964","8","6","South America - Neotropics","Brazil","São Paulo","Brasil, estado de Sao Paulo: Sao Paulo, nativa no jardim Botanico",NA,NA,"US01511737","US01511737_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pteridophyte",NA,NA,NA,NA,NA,NA,"1"
