"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","scientificNameAuthorship","recordedBy","fieldNumber","preparationType","barcode","imagecode"
"1","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","3369","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","sucrei","Tillandsia sucrei","Sergio Gurken","Brasil","RJ","Rio de Janeiro","Morro Dois Irmãos","-43.2075004577637","-22.9027996063232","57442","1","254","auto",NA,NA,NA,NA,NA,NA
"2","2015-09-03 21:19:11-03","MNHN","RECOLNAT_MNHN_P","P02175506","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Tillandsia","sucrei","Tillandsia sucrei",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Brésil. Province de Rio Janeiro, a la Gavea. Rio de Janeiro, Rio de Janeiro, Sudeste, Brasil, América do Sul","-43.2075004577637","-22.9027996063232","57442",NA,". s.d. Reçu le 3 novembre 1887 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02175506' target='other'> <mi>dwc_moreinfo</mi></a>","auto","E.Pereira","Glaziou, A.","16453","hb","P02175506","P02175506_01"
