"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","yearIdentified","infraspecificEpithet","monthIdentified","dayIdentified","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:37-03","UNESC","CRI","3503","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","rubella","Calyptranthes rubella","(O.Berg) D.Legrand","Marcos Sobral","Robson dos Santos","6","1994","04","06","Brasil","Santa Catarina","Içara","Esplanada.","-49.3","-28.7","49º18'W","28º42'S","5","5","CRI004959","CRI004959",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:47-03","UNESC","CRI","3498","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","neorubella","Myrcia neorubella","A.R.Lourenço & E.Lucas","Marcos Sobral","Robson dos Santos; Sebastião Aleques Macedo Waltrick","1","1994","04","06","Brasil","Santa Catarina","Içara","Esplanada.","-49.3","-28.7","49º18'W","28º42'S","5","5","CRI000052","CRI000052","Habitat: mata Atlântica (formação terras baixas) Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:54-03","E","E","104115","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","rorida","Myrcia rorida",NA,NA,"Ratter, J.A.; Filho, J. Fonsêca; Bridgewater, S. & Farias, R.",NA,"1998","11","16","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00104115",NA,"<a href=http://data.rbge.org.uk/herb/E00104115 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:113425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:54-03","E","E","104122","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","rorida","Myrcia rorida",NA,NA,"Bridgewater, S., Ratter, J.A. & Filho, J.F.",NA,"1998","11","23","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00104122",NA,"<a href=http://data.rbge.org.uk/herb/E00104122 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:113418",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:54-03","E","E","203000","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","rorida","Myrcia rorida",NA,NA,"Ratter, J.A.; Bridgewater, S.; Filho, J. Fonsêca; Ribeiro, J.F. & Proença, C.","1808","1997","11","11","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00203000",NA,"<a href=http://data.rbge.org.uk/herb/E00203000 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:217949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:54-03","E","E","104119","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","rorida","Myrcia rorida",NA,NA,"Bridgewater, S., Ratter, J.A. & Filho, J.F.",NA,"1998","11","14","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00104119",NA,"<a href=http://data.rbge.org.uk/herb/E00104119 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:113421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:41:54-03","E","E","207049","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","rorida","Myrcia rorida",NA,NA,"Ratter, J.A.; Bridgewater, S.; Filho, J. Fonsêca; Ribeiro, J.F. & Proença, C.","1842","1997","11","13","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00207049",NA,"<a href=http://data.rbge.org.uk/herb/E00207049 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:217948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:41:54-03","E","E","202765","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","rubella","Myrcia rubella",NA,NA,"Simon, M.F.; Amaral, M.F.","292","1999","09","15","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00202765",NA,"<a href=http://data.rbge.org.uk/herb/E00202765 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:216766",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1552410","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","myrtillifolia","Myrcia myrtillifolia","DC.",NA,"R. Fonseca","30","2005","04","22","Brazil","Bahia","Palmeiras","Morro da Mãe Inácia.","-41.47","-12.45",NA,NA,"1000","1150","NY01552410","NY01552410_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1941534' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1522735","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","myrtillifolia","Myrcia myrtillifolia","DC.",NA,"H. S. Irwin","8569","1965","09","22","Brazil","Distrito Federal","Brasília","Ca. 15 km E. of Brasília, on road to Paranoá","-47.77671","-15.7833",NA,NA,"1000","1000","NY01522735","NY01522735_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1776749' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
