"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"1","2016-09-29 21:42:00-03","NY","NYBG","931092","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","caroba","Jacaranda caroba","A. H. Gentry","E. P. Heringer","5314","1980","08","18","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990096' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931092","NY00931092_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","931093","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","caroba","Jacaranda caroba","A. H. Gentry","H. S. Irwin","5137","1964","08","15","South America","Brazil","Distrito Federal","Brasília","Chapada da Contagem, ca. 20 km E. of Brasília.","-47.82","-15.65","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990119' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931093","NY00931093_01","(Vell.) DC.","700","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 21:42:00-03","NY","NYBG","931110","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","caroba","Jacaranda caroba",NA,"A. F. M. Glaziou","17152","1887","08","22","South America","Brazil","Minas Gerais","São João del Rei","S. João d'El Rei","-44.2617","-21.1358","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990312' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931110","NY00931110_01 NY00931110_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 21:45:00-03","NY","NYBG","931146","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","caroba","Jacaranda caroba",NA,"D. R. Hunt","5911","1966","06","10","South America","Brazil","Mato Grosso","Barra do Garças","Barra do Garças - Xavantina road, 25 km. from Xavantina.","-52.29","-14.86539","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993485' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931146","NY00931146_01",NA,"600","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","931106","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","caroba","Jacaranda caroba","A. H. Gentry","W. R. Anderson","35528","1972","02","05","South America","Brazil","Minas Gerais","Datas","Serra do Espinhaço, ca. 15 km S of Diamantina","-43.6897","-18.325","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990293' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931106","NY00931106_01","(Vell.) DC.","1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","402555","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","caroba","Jacaranda caroba","I. de Vattimo","G. G. Hatschbach","44281","1981","10","16","South America","Brazil","Bahia","Vitória da Conquista","Rod. BR-116.","-40.8392","-14.8661","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=447537' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402555","NY00402555_01","(Vell.) DC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 21:42:00-03","NY","NYBG","931099","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","caroba","Jacaranda caroba","A. H. Gentry","E. P. Heringer","3565-3509","1954","09","27","South America","Brazil","Minas Gerais","Paraopeba","Hôrto Florestal de Paraopeba.","-44.4042","-19.2744","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990277' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931099","NY00931099_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 13:14:00-03","NY","NYBG","402561","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","caroba","Jacaranda caroba","I. de Vattimo","L. Riedel","2395","1834","07",NA,"South America","Brazil","São Paulo","Franca","Franca. Iter Brasiliense 1831-35.","-47.408394","-20.588552","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=447536' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402561","NY00402561_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 21:42:00-03","NY","NYBG","931109","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","caroba","Jacaranda caroba","W. Morawetz","L. Emygdio de Mello Filho","3321","1972","07","14","South America","Brazil","Minas Gerais",NA,"Gandarela",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990308' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931109","NY00931109_01",NA,"1025","1025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","931095","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","caroba","Jacaranda caroba","A. H. Gentry","H. S. Irwin","12157","1966","01","31","South America","Brazil","Distrito Federal","Brasília","Chapada da Contagem, ca. 25 km N. E. of Brasília","-47.75172","-15.62355","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990141' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931095","NY00931095_01","(Vell.) DC.","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
