"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","class","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","previousCatalogNumber"
"1","2017-05-17 10:21:00-03","NY","NYBG","02687360","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Ctenitis","fenestralis","Ctenitis fenestralis","R. Engelmann","RE636","2010","03","31","South America","Brazil","Rio de Janeiro","Magé","Serra da Estrela. Trilha entre Piabetá e Petrópolis. Parque Nacional da Serra dos Órgãos","-43.158889","-22.55","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2962900' target='other'> <mi>dwc_moreinfo</mi></a>","NY02687360","NY02687360_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","678859","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Ctenitis","fenestralis","Ctenitis fenestralis","A. C. Brade","14398","1935","06","29","South America","Brazil","Rio de Janeiro","Angra dos Reis","Serra do Mar.","-44.3181","-23.0069","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=811824' target='other'> <mi>dwc_moreinfo</mi></a>","NY00678859","NY00678859_01","(C.Chr.) Copel.","A. Salino","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02687362","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Ctenitis","fenestralis","Ctenitis fenestralis","R. Engelmann","RE604","2010","03","22","South America","Brazil","Rio de Janeiro","Magé","Serra da Estrela. Trilha entre Piabetá e Petrópolis. Parque Nacional da Serra dos Órgãos","-43.164722","-22.548889","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2964528' target='other'> <mi>dwc_moreinfo</mi></a>","NY02687362","NY02687362_01","(C.Chr.) Copel.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","678860","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Ctenitis","fenestralis","Ctenitis fenestralis","P. von Luetzelburg","6925","1916","10",NA,"South America","Brazil","Rio de Janeiro",NA,"Morro Assú.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=811826' target='other'> <mi>dwc_moreinfo</mi></a>","NY00678860","NY00678860_01","(C.Chr.) Copel.","A. Salino","2200","2200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","678858","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Ctenitis","fenestralis","Ctenitis fenestralis","A. P. Duarte","1513","1948","10","12","South America","Brazil","Rio de Janeiro",NA,"Serra de Petrópolis - km 60.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=811823' target='other'> <mi>dwc_moreinfo</mi></a>","NY00678858","NY00678858_01","(C.Chr.) Copel.","A. Salino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2017-05-17 10:21:00-03","NY","NYBG","02687387","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Ctenitis","fenestralis","Ctenitis fenestralis","R. Engelmann","RE604","2010","03","22","South America","Brazil","Rio de Janeiro","Magé","Serra da Estrela. Trilha entre Piabetá e Petrópolis. Parque Nacional da Serra dos Órgãos","-43.164722","-22.548889","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2964624' target='other'> <mi>dwc_moreinfo</mi></a>","NY02687387","NY02687387_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","99431","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Dryopteris","fenestralis","Dryopteris fenestralis spannagelii","C. Spannagel","174","1907",NA,NA,"South America","Brazil","Santa Catarina",NA,"Sao Joaquim",NA,NA,"sheet","Collection number: probably 174 (or 194) <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=307190' target='other'> <mi>dwc_moreinfo</mi></a>","NY00099431",NA,"Rosenst.",NA,NA,NA,"spannagelii","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:27:45-03","MN","R","236140","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Dryopteris","fenestralis","Dryopteris fenestralis","Smith, L.B.; Klein, R.M.","11512","1957","02","19",NA,"Brasil","Santa Catarina","Pinheiral","Xanxerê",NA,NA,NA,NA,"R010046494",NA,"C. Chr.","Morton, C.V.","500","500",NA,NA,"1957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-02-02 14:38:58-02","BGBM","B","B 20 0055534","S","Plantae",NA,NA,"Polypodiaceae","Ctenitis","fenestralis","Ctenitis fenestralis","A. F. M. Glaziou","7026",NA,NA,NA,"Middle and South America","Brazil",NA,NA,"Brasilia.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B200055534 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B200055534","B200055534","Copel.","R. S. Viveros",NA,NA,NA,"isotype","2014","06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-02-02 14:38:58-02","BGBM","B","B 20 0055535","S","Plantae",NA,NA,"Polypodiaceae","Ctenitis","fenestralis","Ctenitis fenestralis","A. F. M. Glaziou","7026",NA,NA,NA,"Middle and South America","Brazil",NA,NA,"Brasilia.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B200055535 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B200055535","B200055535","Copel.","R. S. Viveros",NA,NA,NA,"isotype","2014","06",NA,NA,NA,NA,NA,NA,NA,NA,NA
