"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","previousCatalogNumber","dayIdentified","coordinatePrecision","geoFlag","typeStatus","fieldNumber","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00669759","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","S. D. Knapp","L. A. Mattos Silva","1916","1985","11","20","South America","Brazil","Bahia","Cairu","Ilha de Tinharé. Fazenda dos Piloes.","-39.04","-13.48","20","20","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=50308' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669759","NY00669759_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","663298","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","S. D. Knapp","A. M. Amorim","901","1992","12","14","South America","Brazil","Bahia","Itacaré","Estrada de Itacaré/Taboquinhas, ca 6 km de Itacaré. Loteamento da Marambaia","-39.026455","-14.310972",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=50311' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663298","NY00663298_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2447064","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","S. D. Knapp","R. A. X. Borges","784","2007","02","13","South America","Brazil","Bahia","Itamarajú","Assentamento Pedra Bonita, aproximadamente 20 km da rodovia vicinal de Itamaraju sentido Jucuruçu.","-39.6314","-16.8386","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2346822' target='other'> <mi>dwc_moreinfo</mi></a>","NY02447064","NY02447064_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","669762","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp",NA,"L. Riedel","815","1824",NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=50310' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669762","NY00669762_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","669760","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","M. H. Nee","W. W. Thomas","9244","1992","05","14","South America","Brazil","Bahia","Wenceslau Guimaraes","Ca. 3 km W of Nova Esperança, W edge of Reserva Estadual Wenceslau Guimaraes.","-39.7222","-13.5972","500","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=50307' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669760","NY00669760_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","684368","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","S. D. Knapp","J. G. Jardim","2867","2000","02","24","South America","Brazil","Bahia","Sao Miguel das Matas","Faz. Engenho da Lama (Proprietário, Genival Lucas), ca. 4.5 km ao S da cidade.","-39.4322222","-13.0469444","400","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=821158' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684368","NY00684368_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2240757","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp",NA,"L. L. Giacomin","2008","2013","11","07","South America","Brazil","Bahia",NA,"Mun. Amargosa, Serra do Timbó; área de estudos do Centro Sapucaia, na Fazenda Timbó","-39.6647","-13.1044","674",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2667618' target='other'> <mi>dwc_moreinfo</mi></a>","NY02240757","NY02240757_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","669761","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp",NA,"L. Riedel","s.n.","1823","02",NA,"South America","Brazil","Rio de Janeiro","Magé","Mandioca.","-43.184668","-22.564777",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=50309' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669761","NY00669761_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","12183","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","M. H. Nee","W. W. Thomas","10783","1995","01","15","South America","Brazil","Bahia","Ilhéus","2 km NNE of Banco da Vitoria (5.7 km west of bridge over the Rio Fundao on road to Itabuna) on road leading to west edge of the Mata da Esperança.","-39.0911","-14.7772",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=50306' target='other'> <mi>dwc_moreinfo</mi></a>","NY00012183","NY00012183_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","12182","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","M. H. Nee","W. W. Thomas","10783","1995","01","15","South America","Brazil","Bahia","Ilhéus","2 km NNE of Banco da Vitoria (5.7 km west of bridge over the Rio Fundao on road to Itabuna) on road leading to west edge of the Mata da Esperança.","-39.0911","-14.7772",NA,NA,"separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=50305' target='other'> <mi>dwc_moreinfo</mi></a>","NY00012182","NY00012182_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
